id,label,target,labels,profile
sequence_47781,0,12.0,0,0-0
sequence_47733,0,25.0,0,0-0
sequence_47738,2,55.0,0,2-0
sequence_47799,0,24.0,0,0-0
sequence_47734,1,110.0,0,1-0
sequence_47792,1,12.0,0,1-0
sequence_47800,0,20.0,0,0-0
sequence_47671,0,36.0,0,0-0
sequence_47672,1,76.0,0,1-0
sequence_47784,0,21.0,0,0-0
sequence_47794,1,18.0,0,1-0
sequence_47778,0,26.0,0,0-0
sequence_47752,0,67.0,0,0-0
sequence_47773,2,19.0,0,2-0
sequence_47782,0,17.0,0,0-0
sequence_47757,0,36.0,0,0-0
sequence_47722,2,75.0,0,2-0
sequence_47670,0,97.0,0,0-0
sequence_47663,0,36.0,0,0-0
sequence_47688,1,90.0,0,1-0
sequence_47725,1,57.0,0,1-0
sequence_47793,1,16.0,0,1-0
sequence_47732,1,30.0,0,1-0
sequence_47807,2,42.0,0,2-0
sequence_47748,0,79.0,0,0-0
sequence_47786,1,18.0,0,1-0
sequence_47771,2,18.0,0,2-0
sequence_47667,2,86.0,0,2-0
sequence_47811,1,24.0,0,1-0
sequence_47704,2,98.0,1,2-1
sequence_47730,0,35.0,0,0-0
sequence_47735,0,55.0,0,0-0
sequence_47761,2,120.0,1,2-1
sequence_47695,1,52.0,0,1-0
sequence_47710,1,43.0,0,1-0
sequence_47687,1,92.0,0,1-0
sequence_47751,1,34.0,0,1-0
sequence_47718,2,81.0,0,2-0
sequence_47715,2,101.0,0,2-0
sequence_47675,0,57.0,0,0-0
sequence_47693,0,64.0,0,0-0
sequence_47712,1,49.0,0,1-0
sequence_47795,1,7.0,0,1-0
sequence_47808,1,4.0,0,1-0
sequence_47731,1,32.0,0,1-0
sequence_47696,1,47.0,0,1-0
sequence_47747,0,72.0,0,0-0
sequence_47701,2,63.0,1,2-1
sequence_47740,1,158.0,0,1-0
sequence_47684,1,23.0,0,1-0
sequence_47698,1,56.0,0,1-0
sequence_47726,1,120.0,0,1-0
sequence_47739,2,35.0,0,2-0
sequence_47691,0,40.0,0,0-0
sequence_47744,0,69.0,0,0-0
sequence_47692,0,87.5,0,0-0
sequence_47767,2,105.0,1,2-1
sequence_47788,1,5.0,0,1-0
sequence_47685,1,24.0,0,1-0
sequence_47664,0,32.0,0,0-0
sequence_47806,2,73.0,1,2-1
sequence_47719,0,66.0,0,0-0
sequence_47755,2,100.0,0,2-0
sequence_47721,2,40.0,0,2-0
sequence_47720,0,80.0,0,0-0
sequence_47766,1,4.19,0,1-0
sequence_47758,0,22.0,0,0-0
sequence_47759,2,36.0,0,2-0
sequence_47803,1,12.0,0,1-0
sequence_47674,2,38.0,0,2-0
sequence_47746,0,94.0,0,0-0
sequence_47780,0,23.0,0,0-0
sequence_47676,2,56.0,0,2-0
sequence_47673,2,65.5,0,2-0
sequence_47703,2,95.0,1,2-1
sequence_47668,1,48.0,0,1-0
sequence_47694,1,51.0,0,1-0
sequence_47705,2,71.0,0,2-0
sequence_47754,0,70.0,0,0-0
sequence_47762,2,127.0,1,2-1
sequence_47769,2,25.0,0,2-0
sequence_47779,0,11.0,0,0-0
sequence_47764,2,118.0,1,2-1
sequence_47810,1,5.57,0,1-0
sequence_47749,0,81.0,0,0-0
sequence_47750,1,25.0,0,1-0
sequence_47753,2,74.0,0,2-0
sequence_47743,2,63.0,0,2-0
sequence_47797,1,27.0,0,1-0
sequence_47804,0,23.0,0,0-0
sequence_47699,1,62.0,0,1-0
sequence_47669,1,32.0,0,1-0
sequence_47678,1,37.0,0,1-0
sequence_47714,0,51.0,0,0-0
sequence_47700,2,65.0,1,2-1
sequence_47677,0,103.0,0,0-0
sequence_47742,2,108.0,0,2-0
sequence_47711,2,57.0,0,2-0
sequence_47680,0,73.0,0,0-0
sequence_47774,2,21.0,0,2-0
sequence_47702,2,69.0,1,2-1
sequence_47772,2,12.0,0,2-0
sequence_47741,2,102.0,0,2-0
sequence_47770,0,25.0,0,0-0
sequence_47697,1,55.5,0,1-0
sequence_47775,0,23.0,1,0-1
sequence_47790,1,9.0,0,1-0
sequence_47708,0,111.0,1,0-1
sequence_47791,1,4.0,0,1-0
sequence_47736,1,19.0,0,1-0
sequence_47689,1,52.0,0,1-0
sequence_47662,1,28.0,0,1-0
sequence_47785,0,25.0,0,0-0
sequence_47768,2,17.0,0,2-0
sequence_47661,0,52.0,0,0-0
sequence_47798,0,23.0,0,0-0
sequence_47760,1,26.0,0,1-0
sequence_47756,1,37.0,0,1-0
sequence_47716,0,84.0,0,0-0
sequence_47745,0,83.0,0,0-0
sequence_47729,1,34.0,0,1-0
sequence_47682,1,53.0,0,1-0
sequence_47665,0,50.0,0,0-0
sequence_47723,2,69.0,0,2-0
sequence_47777,0,11.0,0,0-0
sequence_47690,1,63.0,0,1-0
sequence_47783,1,24.5,0,1-0
sequence_47706,2,77.0,1,2-1
sequence_47666,2,69.0,0,2-0
sequence_47802,1,4.0,0,1-0
sequence_47763,2,122.0,1,2-1
sequence_47796,0,20.0,0,0-0
sequence_47707,2,79.0,1,2-1
sequence_47713,0,51.0,0,0-0
sequence_47737,1,27.0,0,1-0
sequence_47686,1,22.0,0,1-0
sequence_47809,1,10.0,0,1-0
sequence_47717,2,66.0,0,2-0
sequence_47727,1,45.0,0,1-0
sequence_47724,1,48.0,0,1-0
sequence_47787,1,5.0,0,1-0
sequence_47679,1,44.0,0,1-0
sequence_47709,0,119.0,0,0-0
sequence_47683,0,75.0,0,0-0
sequence_47805,1,22.0,0,1-0
sequence_47681,1,44.0,0,1-0
sequence_47801,1,4.0,0,1-0
sequence_47789,1,10.0,0,1-0
sequence_47812,2,121.0,1,2-1
sequence_47776,2,9.0,1,2-1
sequence_47765,2,118.0,1,2-1
sequence_47728,1,12.0,0,1-0
