id,label,target,labels,profile
sequence_47692,0,87.5,3-12-12,0-3-12-12
sequence_47704,0,98.0,28-17-17,0-28-17-17
sequence_47719,0,66.0,27-15-15,0-27-15-15
sequence_47663,2,36.0,10-16-16,2-10-16-16
sequence_47713,2,51.0,15-21-21,2-15-21-21
sequence_47761,0,120.0,28-17-17,0-28-17-17
sequence_47694,1,51.0,6-2-2,1-6-2-2
sequence_47764,0,118.0,7-19-19,0-7-19-19
sequence_47673,0,65.5,25-24-24,0-25-24-24
sequence_47795,2,7.0,16-20-20,2-16-20-20
sequence_47723,0,69.0,3-12-12,0-3-12-12
sequence_47791,2,4.0,11-9-9,2-11-9-9
sequence_47703,0,95.0,28-17-17,0-28-17-17
sequence_47677,1,103.0,12-23-23,1-12-23-23
sequence_47780,0,23.0,17-4-4,0-17-4-4
sequence_47773,2,19.0,2-10-10,2-2-10-10
sequence_47730,1,35.0,4-13-13,1-4-13-13
sequence_47688,1,90.0,19-1-1,1-19-1-1
sequence_47721,0,40.0,27-15-15,0-27-15-15
sequence_47711,2,57.0,21-22-22,2-21-22-22
sequence_47685,2,24.0,0-0-0,2-0-0-0
sequence_47722,0,75.0,3-12-12,0-3-12-12
sequence_47771,2,18.0,16-9-9,2-16-9-9
sequence_47729,1,34.0,26-26-26,1-26-26-26
sequence_47667,1,86.0,19-1-1,1-19-1-1
sequence_47796,1,20.0,4-13-13,1-4-13-13
sequence_47762,0,127.0,7-19-19,0-7-19-19
sequence_47672,2,76.0,0-25-25,2-0-25-25
sequence_47782,1,17.0,11-28-28,1-11-28-28
sequence_47812,0,121.0,7-19-19,0-7-19-19
sequence_47715,0,101.0,27-15-15,0-27-15-15
sequence_47772,2,12.0,16-20-20,2-16-20-20
sequence_47801,2,4.0,16-20-20,2-16-20-20
sequence_47763,0,122.0,7-19-19,0-7-19-19
sequence_47732,2,30.0,13-11-11,2-13-11-11
sequence_47689,2,52.0,10-16-16,2-10-16-16
sequence_47686,0,22.0,8-18-18,0-8-18-18
sequence_47809,2,10.0,1-7-7,2-1-7-7
sequence_47671,2,36.0,10-16-16,2-10-16-16
sequence_47797,2,27.0,13-11-11,2-13-11-11
sequence_47803,2,12.0,2-10-10,2-2-10-10
sequence_47787,2,5.0,1-7-7,2-1-7-7
sequence_47662,1,28.0,6-0-0,1-6-0-0
sequence_47712,0,49.0,18-8-8,0-18-8-8
sequence_47811,2,24.0,23-14-14,2-23-14-14
sequence_47802,1,4.0,9-6-6,1-9-6-6
sequence_47804,0,23.0,20-8-8,0-20-8-8
sequence_47697,0,55.5,27-15-15,0-27-15-15
sequence_47768,2,17.0,16-9-9,2-16-9-9
sequence_47661,2,52.0,6-2-2,2-6-2-2
sequence_47676,1,56.0,12-23-23,1-12-23-23
sequence_47668,1,48.0,22-2-2,1-22-2-2
sequence_47681,1,44.0,0-0-0,1-0-0-0
sequence_47696,2,47.0,25-0-0,2-25-0-0
sequence_47760,2,26.0,16-20-20,2-16-20-20
sequence_47799,2,24.0,2-10-10,2-2-10-10
sequence_47699,0,62.0,3-12-12,0-3-12-12
sequence_47744,2,69.0,5-5-5,2-5-5-5
sequence_47714,0,51.0,18-8-8,0-18-8-8
sequence_47728,2,12.0,26-26-26,2-26-26-26
sequence_47680,1,73.0,14-3-3,1-14-3-3
sequence_47781,2,12.0,11-28-28,2-11-28-28
sequence_47716,0,84.0,3-12-12,0-3-12-12
sequence_47665,1,50.0,6-27-27,1-6-27-27
sequence_47709,0,119.0,12-23-23,0-12-23-23
sequence_47741,1,102.0,24-5-5,1-24-5-5
sequence_47765,0,118.0,28-17-17,0-28-17-17
sequence_47695,1,52.0,25-24-24,1-25-24-24
sequence_47738,1,55.0,15-21-21,1-15-21-21
sequence_47784,1,21.0,11-28-28,1-11-28-28
sequence_47682,0,53.0,8-18-18,0-8-18-18
sequence_47736,2,19.0,26-26-26,2-26-26-26
sequence_47742,0,108.0,2-22-22,0-2-22-22
sequence_47790,2,9.0,17-4-4,2-17-4-4
sequence_47669,0,32.0,22-2-2,0-22-2-2
sequence_47746,0,94.0,15-11-11,0-15-11-11
sequence_47745,1,83.0,15-21-21,1-15-21-21
sequence_47798,2,23.0,19-1-1,2-19-1-1
sequence_47806,0,73.0,7-19-19,0-7-19-19
sequence_47759,0,36.0,21-22-22,0-21-22-22
sequence_47670,1,97.0,6-2-2,1-6-2-2
sequence_47794,1,18.0,17-4-4,1-17-4-4
sequence_47675,0,57.0,25-24-24,0-25-24-24
sequence_47800,0,20.0,20-8-8,0-20-8-8
sequence_47788,0,5.0,9-6-6,0-9-6-6
sequence_47766,1,4.19,1-7-7,1-1-7-7
sequence_47757,1,36.0,11-28-28,1-11-28-28
sequence_47733,2,25.0,13-11-11,2-13-11-11
sequence_47750,1,25.0,5-5-5,1-5-5-5
sequence_47678,0,37.0,27-15-15,0-27-15-15
sequence_47720,0,80.0,12-23-23,0-12-23-23
sequence_47706,1,77.0,14-3-3,1-14-3-3
sequence_47664,0,32.0,6-0-0,0-6-0-0
sequence_47684,1,23.0,14-3-3,1-14-3-3
sequence_47805,1,22.0,4-13-13,1-4-13-13
sequence_47789,0,10.0,17-4-4,0-17-4-4
sequence_47737,2,27.0,26-26-26,2-26-26-26
sequence_47810,1,5.57,1-7-7,1-1-7-7
sequence_47701,1,63.0,14-3-3,1-14-3-3
sequence_47785,0,25.0,17-4-4,0-17-4-4
sequence_47774,0,21.0,20-8-8,0-20-8-8
sequence_47776,2,9.0,1-7-7,2-1-7-7
sequence_47754,2,70.0,24-6-6,2-24-6-6
sequence_47718,0,81.0,3-12-12,0-3-12-12
sequence_47739,2,35.0,21-22-22,2-21-22-22
sequence_47690,0,63.0,3-12-12,0-3-12-12
sequence_47726,1,120.0,13-11-11,1-13-11-11
sequence_47786,1,18.0,11-28-28,1-11-28-28
sequence_47767,0,105.0,28-17-17,0-28-17-17
sequence_47793,1,16.0,11-28-28,1-11-28-28
sequence_47725,0,57.0,3-12-12,0-3-12-12
sequence_47756,2,37.0,23-14-14,2-23-14-14
sequence_47683,0,75.0,8-18-18,0-8-18-18
sequence_47753,2,74.0,13-11-11,2-13-11-11
sequence_47808,2,4.0,1-7-7,2-1-7-7
sequence_47666,1,69.0,10-16-16,1-10-16-16
sequence_47775,0,23.0,23-14-14,0-23-14-14
sequence_47749,2,81.0,15-21-21,2-15-21-21
sequence_47740,0,158.0,24-6-6,0-24-6-6
sequence_47743,1,63.0,24-5-5,1-24-5-5
sequence_47807,0,42.0,2-10-10,0-2-10-10
sequence_47708,0,111.0,8-18-18,0-8-18-18
sequence_47751,0,34.0,9-6-6,0-9-6-6
