id,label,target,labels,profile
sequence_47781,0,12.0,0,0-0
sequence_47733,0,25.0,0,0-0
sequence_47738,1,55.0,0,1-0
sequence_47799,0,24.0,0,0-0
sequence_47734,2,110.0,0,2-0
sequence_47792,0,12.0,0,0-0
sequence_47800,0,20.0,0,0-0
sequence_47671,2,36.0,0,2-0
sequence_47672,1,76.0,0,1-0
sequence_47784,0,21.0,0,0-0
sequence_47794,0,18.0,0,0-0
sequence_47778,0,26.0,0,0-0
sequence_47752,2,67.0,0,2-0
sequence_47773,0,19.0,0,0-0
sequence_47782,0,17.0,0,0-0
sequence_47757,2,36.0,0,2-0
sequence_47722,1,75.0,0,1-0
sequence_47670,2,97.0,0,2-0
sequence_47663,2,36.0,0,2-0
sequence_47688,2,90.0,0,2-0
sequence_47725,1,57.0,0,1-0
sequence_47793,0,16.0,0,0-0
sequence_47732,0,30.0,0,0-0
sequence_47807,1,42.0,0,1-0
sequence_47748,2,79.0,0,2-0
sequence_47786,0,18.0,0,0-0
sequence_47771,0,18.0,0,0-0
sequence_47667,1,86.0,0,1-0
sequence_47811,0,24.0,0,0-0
sequence_47704,1,98.0,1,1-1
sequence_47730,0,35.0,0,0-0
sequence_47735,1,55.0,0,1-0
sequence_47761,1,120.0,1,1-1
sequence_47695,2,52.0,0,2-0
sequence_47710,2,43.0,0,2-0
sequence_47687,1,92.0,0,1-0
sequence_47751,2,34.0,0,2-0
sequence_47718,2,81.0,0,2-0
sequence_47715,2,101.0,0,2-0
sequence_47675,1,57.0,0,1-0
sequence_47693,1,64.0,0,1-0
sequence_47712,1,49.0,0,1-0
sequence_47795,0,7.0,0,0-0
sequence_47808,0,4.0,0,0-0
sequence_47731,0,32.0,0,0-0
sequence_47696,2,47.0,0,2-0
sequence_47747,2,72.0,0,2-0
sequence_47701,1,63.0,1,1-1
sequence_47740,2,158.0,0,2-0
sequence_47684,2,23.0,0,2-0
sequence_47698,2,56.0,0,2-0
sequence_47726,2,120.0,0,2-0
sequence_47739,1,35.0,0,1-0
sequence_47691,2,40.0,0,2-0
sequence_47744,2,69.0,0,2-0
sequence_47692,1,87.5,0,1-0
sequence_47767,1,105.0,1,1-1
sequence_47788,0,5.0,0,0-0
sequence_47685,2,24.0,0,2-0
sequence_47664,2,32.0,0,2-0
sequence_47806,1,73.0,1,1-1
sequence_47719,2,66.0,0,2-0
sequence_47755,2,100.0,0,2-0
sequence_47721,2,40.0,0,2-0
sequence_47720,2,80.0,0,2-0
sequence_47766,0,4.19,0,0-0
sequence_47758,2,22.0,0,2-0
sequence_47759,2,36.0,0,2-0
sequence_47803,0,12.0,0,0-0
sequence_47674,1,38.0,0,1-0
sequence_47746,2,94.0,0,2-0
sequence_47780,0,23.0,0,0-0
sequence_47676,1,56.0,0,1-0
sequence_47673,1,65.5,0,1-0
sequence_47703,1,95.0,1,1-1
sequence_47668,2,48.0,0,2-0
sequence_47694,2,51.0,0,2-0
sequence_47705,1,71.0,0,1-0
sequence_47754,2,70.0,0,2-0
sequence_47762,1,127.0,1,1-1
sequence_47769,1,25.0,0,1-0
sequence_47779,0,11.0,0,0-0
sequence_47764,1,118.0,1,1-1
sequence_47810,0,5.57,0,0-0
sequence_47749,2,81.0,0,2-0
sequence_47750,2,25.0,0,2-0
sequence_47753,2,74.0,0,2-0
sequence_47743,2,63.0,0,2-0
sequence_47797,0,27.0,0,0-0
sequence_47804,0,23.0,0,0-0
sequence_47699,1,62.0,0,1-0
sequence_47669,2,32.0,0,2-0
sequence_47678,1,37.0,0,1-0
sequence_47714,1,51.0,0,1-0
sequence_47700,1,65.0,1,1-1
sequence_47677,1,103.0,0,1-0
sequence_47742,2,108.0,0,2-0
sequence_47711,1,57.0,0,1-0
sequence_47680,1,73.0,0,1-0
sequence_47774,0,21.0,0,0-0
sequence_47702,1,69.0,1,1-1
sequence_47772,0,12.0,0,0-0
sequence_47741,2,102.0,0,2-0
sequence_47770,0,25.0,0,0-0
sequence_47697,1,55.5,0,1-0
sequence_47775,0,23.0,1,0-1
sequence_47790,0,9.0,0,0-0
sequence_47708,1,111.0,1,1-1
sequence_47791,0,4.0,0,0-0
sequence_47736,2,19.0,0,2-0
sequence_47689,2,52.0,0,2-0
sequence_47662,2,28.0,0,2-0
sequence_47785,0,25.0,0,0-0
sequence_47768,0,17.0,0,0-0
sequence_47661,2,52.0,0,2-0
sequence_47798,0,23.0,0,0-0
sequence_47760,2,26.0,0,2-0
sequence_47756,2,37.0,0,2-0
sequence_47716,2,84.0,0,2-0
sequence_47745,2,83.0,0,2-0
sequence_47729,0,34.0,0,0-0
sequence_47682,1,53.0,0,1-0
sequence_47665,2,50.0,0,2-0
sequence_47723,1,69.0,0,1-0
sequence_47777,0,11.0,0,0-0
sequence_47690,1,63.0,0,1-0
sequence_47783,0,24.5,0,0-0
sequence_47706,1,77.0,1,1-1
sequence_47666,2,69.0,0,2-0
sequence_47802,0,4.0,0,0-0
sequence_47763,1,122.0,1,1-1
sequence_47796,0,20.0,0,0-0
sequence_47707,1,79.0,1,1-1
sequence_47713,1,51.0,0,1-0
sequence_47737,2,27.0,0,2-0
sequence_47686,1,22.0,0,1-0
sequence_47809,0,10.0,0,0-0
sequence_47717,2,66.0,0,2-0
sequence_47727,0,45.0,0,0-0
sequence_47724,1,48.0,0,1-0
sequence_47787,0,5.0,0,0-0
sequence_47679,1,44.0,0,1-0
sequence_47709,1,119.0,0,1-0
sequence_47683,1,75.0,0,1-0
sequence_47805,0,22.0,0,0-0
sequence_47681,1,44.0,0,1-0
sequence_47801,0,4.0,0,0-0
sequence_47789,0,10.0,0,0-0
sequence_47812,1,121.0,1,1-1
sequence_47776,0,9.0,1,0-1
sequence_47765,1,118.0,1,1-1
sequence_47728,0,12.0,0,0-0
