,id_seq1,target_seq1,id_seq2,target_seq2,distance
176,sequence_51016,-4.626935645431157,sequence_50998,-5.944204158002268,0.5625723433825376
61,sequence_51016,-4.626935645431157,sequence_51054,-5.902809074204358,0.149277572137512
175,sequence_51016,-4.626935645431157,sequence_50997,-7.490956320392341,0.5417317952671697
201,sequence_51016,-4.626935645431157,sequence_51038,-5.012320997946479,0.3623466312087041
94,sequence_51016,-4.626935645431157,sequence_50966,-7.12754277570154,0.3573582061613093
182,sequence_51016,-4.626935645431157,sequence_50965,-8.132680322148055,0.4110048701040416
198,sequence_51016,-4.626935645431157,sequence_50993,-7.312336322903731,0.283517892781975
229,sequence_51016,-4.626935645431157,sequence_50983,-7.874339064617118,0.219279606445705
88,sequence_51016,-4.626935645431157,sequence_50980,-5.395644495280823,0.3957298310493408
73,sequence_51016,-4.626935645431157,sequence_50995,-6.569508668935794,0.4708808440663981
161,sequence_51016,-4.626935645431157,sequence_50991,-8.436912109982138,0.1605932686740724
184,sequence_51016,-4.626935645431157,sequence_50992,-7.440072608002367,0.3897242301170284
71,sequence_51016,-4.626935645431157,sequence_50978,-8.571060179872774,0.5454643750613757
90,sequence_51016,-4.626935645431157,sequence_50996,-8.359746838659895,0.5007990762903016
190,sequence_51016,-4.626935645431157,sequence_50990,-8.580398018436656,0.3968719915528055
212,sequence_51016,-4.626935645431157,sequence_50982,-5.477456019885743,0.4624703510706252
189,sequence_51016,-4.626935645431157,sequence_51001,-8.53182220350879,0.4646283396498785
216,sequence_51016,-4.626935645431157,sequence_50968,-6.107021603142809,0.3223833380365817
195,sequence_51016,-4.626935645431157,sequence_50975,-8.356998357359751,0.4283172239382634
