,id_seq1,target_seq1,id_seq2,target_seq2,distance
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,14909.373124431911
136,sequence_51016,-4.626935645431157,sequence_32142,-5.589646359982146,14894.377641160238
48,sequence_51016,-4.626935645431157,sequence_32129,-8.31556501084656,14962.204741527688
96,sequence_51016,-4.626935645431157,sequence_32159,-6.970724932862983,15661.527682806833
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,14421.82080906288
228,sequence_51016,-4.626935645431157,sequence_32173,-7.412850678006673,15441.823198911816
35,sequence_51016,-4.626935645431157,sequence_32141,-5.887274565323308,15487.691912541246
148,sequence_51016,-4.626935645431157,sequence_32118,-5.976481335612996,15514.048148996357
36,sequence_51016,-4.626935645431157,sequence_32124,-6.481163109642129,16016.158303833196
197,sequence_51016,-4.626935645431157,sequence_32156,-7.327994265882848,14435.264200661268
140,sequence_51016,-4.626935645431157,sequence_32139,-6.187468874223483,15158.704655343065
43,sequence_51016,-4.626935645431157,sequence_32147,-6.122695079257531,15143.103376333003
138,sequence_51016,-4.626935645431157,sequence_32123,-5.794704758333088,15368.074148899928
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,15015.853474915071
241,sequence_51016,-4.626935645431157,sequence_32153,-7.7527305527290675,14927.782174976232
146,sequence_51016,-4.626935645431157,sequence_32136,-9.513216858041744,14767.725035634889
203,sequence_51016,-4.626935645431157,sequence_32154,-6.956779787785928,14247.288187778371
45,sequence_51016,-4.626935645431157,sequence_32122,-5.6780835220027175,15307.11168145916
84,sequence_51016,-4.626935645431157,sequence_32180,-7.4665305235863535,14671.178322664
133,sequence_51016,-4.626935645431157,sequence_32160,-7.729750228413137,15714.07926028314
34,sequence_51016,-4.626935645431157,sequence_32117,-6.013942880307312,15444.543087196049
1,sequence_51016,-4.626935645431157,sequence_32130,-5.7157882520247325,15230.53945386179
38,sequence_51016,-4.626935645431157,sequence_32127,-5.3072183078974415,15266.988698183466
39,sequence_51016,-4.626935645431157,sequence_32133,-6.519779039196885,15457.847702909765
236,sequence_51016,-4.626935645431157,sequence_32144,-5.565961069145386,15168.721058669911
132,sequence_51016,-4.626935645431157,sequence_32134,-6.086948143042816,15250.027867309762
239,sequence_51016,-4.626935645431157,sequence_32145,-7.251058911469951,15179.618911600546
150,sequence_51016,-4.626935645431157,sequence_32138,-6.781133718515557,15004.277833427088
37,sequence_51016,-4.626935645431157,sequence_32126,-5.968435149556656,15006.54769874449
47,sequence_51016,-4.626935645431157,sequence_32128,-5.684063700869746,15188.994753211462
196,sequence_51016,-4.626935645431157,sequence_32155,-8.338521820335119,14751.022934940434
32,sequence_51016,-4.626935645431157,sequence_32151,-7.450035379594821,15782.92781553491
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,14237.385618781522
137,sequence_51016,-4.626935645431157,sequence_32137,-6.099982560129262,15144.764022454869
144,sequence_51016,-4.626935645431157,sequence_32121,-6.578239299103505,15497.813048284415
44,sequence_51016,-4.626935645431157,sequence_32119,-5.975586824902201,15399.023407124265
143,sequence_51016,-4.626935645431157,sequence_32109,-8.8749984685552,15103.744037237904
235,sequence_51016,-4.626935645431157,sequence_32161,-6.390606369080943,15367.13834555039
145,sequence_51016,-4.626935645431157,sequence_32140,-8.622125342490829,14626.744024126
33,sequence_51016,-4.626935645431157,sequence_32148,-6.566272408536558,15373.571598644874
139,sequence_51016,-4.626935645431157,sequence_32143,-6.164881645817131,15776.596187352785
41,sequence_51016,-4.626935645431157,sequence_32174,-6.886395745117742,15260.377521074814
86,sequence_51016,-4.626935645431157,sequence_32181,-7.379938210822062,14570.767496894592
134,sequence_51016,-4.626935645431157,sequence_32110,-6.435581273863229,15342.917526038542
42,sequence_51016,-4.626935645431157,sequence_32114,-8.025415659124889,14994.93190107874
141,sequence_51016,-4.626935645431157,sequence_32135,-5.605247469738862,15157.06300081389
149,sequence_51016,-4.626935645431157,sequence_32146,-7.807595902051432,15246.107698838128
