,id_seq1,target_seq1,id_seq2,target_seq2,distance
35,sequence_51016,-4.626935645431157,sequence_32141,-5.887274565323308,0.1842972063694989
148,sequence_51016,-4.626935645431157,sequence_32118,-5.976481335612996,0.1838694979566681
36,sequence_51016,-4.626935645431157,sequence_32124,-6.481163109642129,0.1895184016448308
140,sequence_51016,-4.626935645431157,sequence_32139,-6.187468874223483,0.1956259601388769
43,sequence_51016,-4.626935645431157,sequence_32147,-6.122695079257531,0.1781447263392732
146,sequence_51016,-4.626935645431157,sequence_32136,-9.513216858041744,0.1894039894726737
45,sequence_51016,-4.626935645431157,sequence_32122,-5.6780835220027175,0.1815820814517444
133,sequence_51016,-4.626935645431157,sequence_32160,-7.729750228413137,0.1839043300469153
1,sequence_51016,-4.626935645431157,sequence_32130,-5.7157882520247325,0.1881410661394121
39,sequence_51016,-4.626935645431157,sequence_32133,-6.519779039196885,0.1887817722368124
236,sequence_51016,-4.626935645431157,sequence_32144,-5.565961069145386,0.1685998430832066
239,sequence_51016,-4.626935645431157,sequence_32145,-7.251058911469951,0.1938654237299186
150,sequence_51016,-4.626935645431157,sequence_32138,-6.781133718515557,0.1917486602125292
37,sequence_51016,-4.626935645431157,sequence_32126,-5.968435149556656,0.198538158497935
47,sequence_51016,-4.626935645431157,sequence_32128,-5.684063700869746,0.1822116763605077
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,0.1399225457798016
137,sequence_51016,-4.626935645431157,sequence_32137,-6.099982560129262,0.1998219927580853
144,sequence_51016,-4.626935645431157,sequence_32121,-6.578239299103505,0.1790510792161735
44,sequence_51016,-4.626935645431157,sequence_32119,-5.975586824902201,0.1836517141452058
143,sequence_51016,-4.626935645431157,sequence_32109,-8.8749984685552,0.1928363352955968
235,sequence_51016,-4.626935645431157,sequence_32161,-6.390606369080943,0.1892850921871705
33,sequence_51016,-4.626935645431157,sequence_32148,-6.566272408536558,0.2012176164143571
41,sequence_51016,-4.626935645431157,sequence_32174,-6.886395745117742,0.1786323412748903
83,sequence_51016,-4.626935645431157,sequence_32158,-7.7252366227309155,0.1753090647130997
134,sequence_51016,-4.626935645431157,sequence_32110,-6.435581273863229,0.1979896360873393
42,sequence_51016,-4.626935645431157,sequence_32114,-8.025415659124889,0.1894109936809646
141,sequence_51016,-4.626935645431157,sequence_32135,-5.605247469738862,0.1855492866375294
149,sequence_51016,-4.626935645431157,sequence_32146,-7.807595902051432,0.1823974509699011
135,sequence_51016,-4.626935645431157,sequence_32120,-5.463833086780952,0.184208893156104
282,sequence_51170,-5.599110392902725,sequence_32141,-5.887274565323308,0.174381886238213
395,sequence_51170,-5.599110392902725,sequence_32118,-5.976481335612996,0.1744935653793486
283,sequence_51170,-5.599110392902725,sequence_32124,-6.481163109642129,0.1644187720973117
387,sequence_51170,-5.599110392902725,sequence_32139,-6.187468874223483,0.1729064811253104
290,sequence_51170,-5.599110392902725,sequence_32147,-6.122695079257531,0.1732141547064051
393,sequence_51170,-5.599110392902725,sequence_32136,-9.513216858041744,0.1688429757821455
292,sequence_51170,-5.599110392902725,sequence_32122,-5.6780835220027175,0.1863042212849963
380,sequence_51170,-5.599110392902725,sequence_32160,-7.729750228413137,0.1715928103281715
248,sequence_51170,-5.599110392902725,sequence_32130,-5.7157882520247325,0.173234408243539
286,sequence_51170,-5.599110392902725,sequence_32133,-6.519779039196885,0.1775130339461417
483,sequence_51170,-5.599110392902725,sequence_32144,-5.565961069145386,0.1744150257492904
486,sequence_51170,-5.599110392902725,sequence_32145,-7.251058911469951,0.1821537558953641
397,sequence_51170,-5.599110392902725,sequence_32138,-6.781133718515557,0.1811774936404513
284,sequence_51170,-5.599110392902725,sequence_32126,-5.968435149556656,0.1686649143255812
294,sequence_51170,-5.599110392902725,sequence_32128,-5.684063700869746,0.1743769492257817
446,sequence_51170,-5.599110392902725,sequence_32157,-7.7422371130498195,0.1539988731292698
384,sequence_51170,-5.599110392902725,sequence_32137,-6.099982560129262,0.171521207539413
391,sequence_51170,-5.599110392902725,sequence_32121,-6.578239299103505,0.1728318238675459
291,sequence_51170,-5.599110392902725,sequence_32119,-5.975586824902201,0.177115691219675
390,sequence_51170,-5.599110392902725,sequence_32109,-8.8749984685552,0.1712273605397225
482,sequence_51170,-5.599110392902725,sequence_32161,-6.390606369080943,0.1694848029984086
280,sequence_51170,-5.599110392902725,sequence_32148,-6.566272408536558,0.1651767673097391
288,sequence_51170,-5.599110392902725,sequence_32174,-6.886395745117742,0.176088867472886
330,sequence_51170,-5.599110392902725,sequence_32158,-7.7252366227309155,0.1418159990191777
381,sequence_51170,-5.599110392902725,sequence_32110,-6.435581273863229,0.1655070512168204
289,sequence_51170,-5.599110392902725,sequence_32114,-8.025415659124889,0.1726439655663851
388,sequence_51170,-5.599110392902725,sequence_32135,-5.605247469738862,0.1775524564899746
396,sequence_51170,-5.599110392902725,sequence_32146,-7.807595902051432,0.1801513342618315
382,sequence_51170,-5.599110392902725,sequence_32120,-5.463833086780952,0.1744502810376831
