,id_seq1,target_seq1,id_seq2,target_seq2,distance
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,0.2670469500582993
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,0.2389777491265935
142,sequence_51016,-4.626935645431157,sequence_32176,-7.495966273349671,0.2731211464458486
78,sequence_51016,-4.626935645431157,sequence_32113,-9.174039097210208,0.2545815504342597
185,sequence_51016,-4.626935645431157,sequence_32165,-6.872613250606912,0.2473844430850156
140,sequence_51016,-4.626935645431157,sequence_32139,-6.187468874223483,0.2747358696623538
87,sequence_51016,-4.626935645431157,sequence_32163,-6.436780987668787,0.2533013092177741
192,sequence_51016,-4.626935645431157,sequence_32172,-6.702704094610732,0.2558770805116695
79,sequence_51016,-4.626935645431157,sequence_32182,-8.313000601877945,0.2654017594127973
156,sequence_51016,-4.626935645431157,sequence_32164,-7.229515353903711,0.215298991189833
191,sequence_51016,-4.626935645431157,sequence_32168,-7.637377800222538,0.2579827623257986
187,sequence_51016,-4.626935645431157,sequence_32177,-8.394682697575568,0.250783850866314
179,sequence_51016,-4.626935645431157,sequence_32175,-7.447858237543301,0.2411239300980727
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,0.2775542368651565
241,sequence_51016,-4.626935645431157,sequence_32153,-7.7527305527290675,0.270094640598449
146,sequence_51016,-4.626935645431157,sequence_32136,-9.513216858041744,0.2680748902302776
45,sequence_51016,-4.626935645431157,sequence_32122,-5.6780835220027175,0.2693345483306645
150,sequence_51016,-4.626935645431157,sequence_32138,-6.781133718515557,0.2727254924758847
172,sequence_51016,-4.626935645431157,sequence_32170,-8.156613556025587,0.2606589562306733
70,sequence_51016,-4.626935645431157,sequence_32112,-8.51762382755167,0.2512655392452426
173,sequence_51016,-4.626935645431157,sequence_32166,-7.342049413024209,0.2484520117193843
46,sequence_51016,-4.626935645431157,sequence_32125,-8.764202037648419,0.2643299052104462
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,0.2532715665340042
145,sequence_51016,-4.626935645431157,sequence_32140,-8.622125342490829,0.2638014953772362
174,sequence_51016,-4.626935645431157,sequence_32179,-7.381695972507586,0.2419150827177102
95,sequence_51016,-4.626935645431157,sequence_32116,-7.723165366142718,0.2485882358237943
83,sequence_51016,-4.626935645431157,sequence_32158,-7.7252366227309155,0.2618338400461731
169,sequence_51016,-4.626935645431157,sequence_32169,-6.044258470366566,0.2610299203361398
149,sequence_51016,-4.626935645431157,sequence_32146,-7.807595902051432,0.2772475028288721
49,sequence_51016,-4.626935645431157,sequence_32132,-7.1048508816280265,0.2725470444049015
50,sequence_51016,-4.626935645431157,sequence_32167,-8.28781536491833,0.2021301966636363
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,0.2650868732251797
319,sequence_51170,-5.599110392902725,sequence_32162,-7.3445848975979535,0.2675554605509982
389,sequence_51170,-5.599110392902725,sequence_32176,-7.495966273349671,0.2803190397880504
325,sequence_51170,-5.599110392902725,sequence_32113,-9.174039097210208,0.2584414163863651
432,sequence_51170,-5.599110392902725,sequence_32165,-6.872613250606912,0.280662473743605
387,sequence_51170,-5.599110392902725,sequence_32139,-6.187468874223483,0.2767782392421128
334,sequence_51170,-5.599110392902725,sequence_32163,-6.436780987668787,0.2613058253482562
439,sequence_51170,-5.599110392902725,sequence_32172,-6.702704094610732,0.2818069275388268
326,sequence_51170,-5.599110392902725,sequence_32182,-8.313000601877945,0.274462472914648
403,sequence_51170,-5.599110392902725,sequence_32164,-7.229515353903711,0.2740891321340934
438,sequence_51170,-5.599110392902725,sequence_32168,-7.637377800222538,0.2855565657400041
434,sequence_51170,-5.599110392902725,sequence_32177,-8.394682697575568,0.2699258824110583
426,sequence_51170,-5.599110392902725,sequence_32175,-7.447858237543301,0.269744733269801
339,sequence_51170,-5.599110392902725,sequence_32150,-7.3196132933177775,0.2897539193024329
488,sequence_51170,-5.599110392902725,sequence_32153,-7.7527305527290675,0.2780208460447654
393,sequence_51170,-5.599110392902725,sequence_32136,-9.513216858041744,0.2660396098347522
292,sequence_51170,-5.599110392902725,sequence_32122,-5.6780835220027175,0.2771496399014969
397,sequence_51170,-5.599110392902725,sequence_32138,-6.781133718515557,0.2746430662850235
419,sequence_51170,-5.599110392902725,sequence_32170,-8.156613556025587,0.2617512174631162
317,sequence_51170,-5.599110392902725,sequence_32112,-8.51762382755167,0.2727716861587594
420,sequence_51170,-5.599110392902725,sequence_32166,-7.342049413024209,0.2727524224651942
293,sequence_51170,-5.599110392902725,sequence_32125,-8.764202037648419,0.2635591510464127
446,sequence_51170,-5.599110392902725,sequence_32157,-7.7422371130498195,0.2602206223362152
392,sequence_51170,-5.599110392902725,sequence_32140,-8.622125342490829,0.2639005584513048
421,sequence_51170,-5.599110392902725,sequence_32179,-7.381695972507586,0.2600289288557721
342,sequence_51170,-5.599110392902725,sequence_32116,-7.723165366142718,0.2648670227611133
330,sequence_51170,-5.599110392902725,sequence_32158,-7.7252366227309155,0.256351493661287
416,sequence_51170,-5.599110392902725,sequence_32169,-6.044258470366566,0.2650420546136565
396,sequence_51170,-5.599110392902725,sequence_32146,-7.807595902051432,0.2716960292876584
296,sequence_51170,-5.599110392902725,sequence_32132,-7.1048508816280265,0.2691956660550001
297,sequence_51170,-5.599110392902725,sequence_32167,-8.28781536491833,0.2751623988151673
534,sequence_32130,-5.7157882520247325,sequence_32131,-6.7244621963556055,0.1161874857640399
566,sequence_32130,-5.7157882520247325,sequence_32162,-7.3445848975979535,0.2141696166999339
636,sequence_32130,-5.7157882520247325,sequence_32176,-7.495966273349671,0.146512181382374
572,sequence_32130,-5.7157882520247325,sequence_32113,-9.174039097210208,0.2170910916396471
679,sequence_32130,-5.7157882520247325,sequence_32165,-6.872613250606912,0.2097418678927054
634,sequence_32130,-5.7157882520247325,sequence_32139,-6.187468874223483,0.0623615890169914
581,sequence_32130,-5.7157882520247325,sequence_32163,-6.436780987668787,0.223206914290711
686,sequence_32130,-5.7157882520247325,sequence_32172,-6.702704094610732,0.2262350169620408
573,sequence_32130,-5.7157882520247325,sequence_32182,-8.313000601877945,0.1748245837265521
650,sequence_32130,-5.7157882520247325,sequence_32164,-7.229515353903711,0.2389161085710217
685,sequence_32130,-5.7157882520247325,sequence_32168,-7.637377800222538,0.21819179112419
681,sequence_32130,-5.7157882520247325,sequence_32177,-8.394682697575568,0.2013284485303885
673,sequence_32130,-5.7157882520247325,sequence_32175,-7.447858237543301,0.2251857181852961
586,sequence_32130,-5.7157882520247325,sequence_32150,-7.3196132933177775,0.2024132960776272
735,sequence_32130,-5.7157882520247325,sequence_32153,-7.7527305527290675,0.1469261932246782
640,sequence_32130,-5.7157882520247325,sequence_32136,-9.513216858041744,0.0971401312161465
539,sequence_32130,-5.7157882520247325,sequence_32122,-5.6780835220027175,0.0744019083257381
644,sequence_32130,-5.7157882520247325,sequence_32138,-6.781133718515557,0.0615852307016236
666,sequence_32130,-5.7157882520247325,sequence_32170,-8.156613556025587,0.2233409329810888
564,sequence_32130,-5.7157882520247325,sequence_32112,-8.51762382755167,0.2100114280798497
667,sequence_32130,-5.7157882520247325,sequence_32166,-7.342049413024209,0.22144446925355
540,sequence_32130,-5.7157882520247325,sequence_32125,-8.764202037648419,0.1147034837524378
693,sequence_32130,-5.7157882520247325,sequence_32157,-7.7422371130498195,0.2064607156850858
639,sequence_32130,-5.7157882520247325,sequence_32140,-8.622125342490829,0.1324500438068375
668,sequence_32130,-5.7157882520247325,sequence_32179,-7.381695972507586,0.2227007446208818
589,sequence_32130,-5.7157882520247325,sequence_32116,-7.723165366142718,0.1984039824454314
577,sequence_32130,-5.7157882520247325,sequence_32158,-7.7252366227309155,0.2173887727780368
663,sequence_32130,-5.7157882520247325,sequence_32169,-6.044258470366566,0.2418485731486337
