,id_seq1,target_seq1,id_seq2,target_seq2,distance
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,0.08
180,sequence_51016,-4.626935645431157,sequence_32178,-7.97958130655809,0.125
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,0.1530999999999999
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,0.0933
48,sequence_51016,-4.626935645431157,sequence_32129,-8.31556501084656,0.0936
96,sequence_51016,-4.626935645431157,sequence_32159,-6.970724932862983,0.0994999999999999
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,0.0799999999999999
228,sequence_51016,-4.626935645431157,sequence_32173,-7.412850678006673,0.0944
142,sequence_51016,-4.626935645431157,sequence_32176,-7.495966273349671,0.1165999999999999
78,sequence_51016,-4.626935645431157,sequence_32113,-9.174039097210208,0.0952999999999999
35,sequence_51016,-4.626935645431157,sequence_32141,-5.887274565323308,0.081
148,sequence_51016,-4.626935645431157,sequence_32118,-5.976481335612996,0.0984
36,sequence_51016,-4.626935645431157,sequence_32124,-6.481163109642129,0.0882
185,sequence_51016,-4.626935645431157,sequence_32165,-6.872613250606912,0.1226999999999999
197,sequence_51016,-4.626935645431157,sequence_32156,-7.327994265882848,0.1181999999999999
140,sequence_51016,-4.626935645431157,sequence_32139,-6.187468874223483,0.0845
87,sequence_51016,-4.626935645431157,sequence_32163,-6.436780987668787,0.0727999999999999
192,sequence_51016,-4.626935645431157,sequence_32172,-6.702704094610732,0.1302999999999999
79,sequence_51016,-4.626935645431157,sequence_32182,-8.313000601877945,0.0929
156,sequence_51016,-4.626935645431157,sequence_32164,-7.229515353903711,0.1364999999999999
191,sequence_51016,-4.626935645431157,sequence_32168,-7.637377800222538,0.2009999999999999
187,sequence_51016,-4.626935645431157,sequence_32177,-8.394682697575568,0.1473999999999998
179,sequence_51016,-4.626935645431157,sequence_32175,-7.447858237543301,0.1263999999999999
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,0.1364999999999999
241,sequence_51016,-4.626935645431157,sequence_32153,-7.7527305527290675,0.0738
75,sequence_51016,-4.626935645431157,sequence_32115,-8.287149988801819,0.0774
146,sequence_51016,-4.626935645431157,sequence_32136,-9.513216858041744,0.0853
203,sequence_51016,-4.626935645431157,sequence_32154,-6.956779787785928,0.0874999999999999
45,sequence_51016,-4.626935645431157,sequence_32122,-5.6780835220027175,0.1073
84,sequence_51016,-4.626935645431157,sequence_32180,-7.4665305235863535,0.1048
133,sequence_51016,-4.626935645431157,sequence_32160,-7.729750228413137,0.0899999999999999
1,sequence_51016,-4.626935645431157,sequence_32130,-5.7157882520247325,0.0846
39,sequence_51016,-4.626935645431157,sequence_32133,-6.519779039196885,0.0950999999999999
236,sequence_51016,-4.626935645431157,sequence_32144,-5.565961069145386,0.1140999999999999
239,sequence_51016,-4.626935645431157,sequence_32145,-7.251058911469951,0.092
150,sequence_51016,-4.626935645431157,sequence_32138,-6.781133718515557,0.102
172,sequence_51016,-4.626935645431157,sequence_32170,-8.156613556025587,0.1161999999999999
173,sequence_51016,-4.626935645431157,sequence_32166,-7.342049413024209,0.0896
46,sequence_51016,-4.626935645431157,sequence_32125,-8.764202037648419,0.077
196,sequence_51016,-4.626935645431157,sequence_32155,-8.338521820335119,0.0952999999999999
32,sequence_51016,-4.626935645431157,sequence_32151,-7.450035379594821,0.0851
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,0.1138
137,sequence_51016,-4.626935645431157,sequence_32137,-6.099982560129262,0.0970999999999999
144,sequence_51016,-4.626935645431157,sequence_32121,-6.578239299103505,0.0858
44,sequence_51016,-4.626935645431157,sequence_32119,-5.975586824902201,0.0929
143,sequence_51016,-4.626935645431157,sequence_32109,-8.8749984685552,0.0844999999999999
235,sequence_51016,-4.626935645431157,sequence_32161,-6.390606369080943,0.0921999999999999
145,sequence_51016,-4.626935645431157,sequence_32140,-8.622125342490829,0.0839
