,id_seq1,target_seq1,id_seq2,target_seq2,distance
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,0.0065408748864247
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,0.0168219111451721
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,0.0116547343370781
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,0.0136377839589824
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,0.0070885834435541
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,0.0009522449537159
61,sequence_51016,-4.626935645431157,sequence_51054,-5.902809074204358,0.0034741336847945
201,sequence_51016,-4.626935645431157,sequence_51038,-5.012320997946479,0.0049420417360959
227,sequence_51016,-4.626935645431157,sequence_51049,-5.345308323514202,0.0091442392403912
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,0.0166521370724974
57,sequence_51016,-4.626935645431157,sequence_51019,-6.115112568237896,0.0010658835600796
230,sequence_51016,-4.626935645431157,sequence_51044,-7.448598078099795,0.0051671615094021
242,sequence_51016,-4.626935645431157,sequence_50986,-6.800648200608334,0.0051042293898084
240,sequence_51016,-4.626935645431157,sequence_50985,-4.308443704891928,0.0022379699599714
113,sequence_51016,-4.626935645431157,sequence_51161,-8.29923749627917,0.0159385583417658
246,sequence_51016,-4.626935645431157,sequence_51146,-3.958357370465748,0.007266519310064
181,sequence_51016,-4.626935645431157,sequence_51041,-6.943692311648196,0.0049384118134112
66,sequence_51016,-4.626935645431157,sequence_51012,-5.769612631669962,0.0011007614140605
160,sequence_51016,-4.626935645431157,sequence_51013,-4.687136967133388,0.0007633811380697
245,sequence_51016,-4.626935645431157,sequence_51037,-4.148785252262823,0.0066072438247315
73,sequence_51016,-4.626935645431157,sequence_50995,-6.569508668935794,0.0073281777412715
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,0.0170293004230256
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,0.0161167997792266
243,sequence_51016,-4.626935645431157,sequence_51042,-4.418679342702412,0.0105616742177195
90,sequence_51016,-4.626935645431157,sequence_50996,-8.359746838659895,0.0074034031144815
200,sequence_51016,-4.626935645431157,sequence_51193,-5.950238637114008,0.0153158845667449
63,sequence_51016,-4.626935645431157,sequence_51033,-7.601809103963952,0.0010602069603617
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,0.0160788023054559
177,sequence_51016,-4.626935645431157,sequence_50999,-5.527187128279114,0.0059105992692796
18,sequence_51016,-4.626935645431157,sequence_51171,-5.988608431336485,0.0171286632398303
226,sequence_51016,-4.626935645431157,sequence_50964,-5.326405663918352,0.0138772435289452
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,0.0172685655860713
19,sequence_51016,-4.626935645431157,sequence_51182,-5.384437728556348,0.0129199067858831
81,sequence_51016,-4.626935645431157,sequence_51052,-7.931613379354088,0.007650156194558
22,sequence_51016,-4.626935645431157,sequence_51196,-7.3141295128133885,0.0158220319692748
232,sequence_51016,-4.626935645431157,sequence_51201,-6.724658769791372,0.0153091265082119
237,sequence_51016,-4.626935645431157,sequence_51139,-6.942655461209572,0.0150664890204702
152,sequence_51016,-4.626935645431157,sequence_51050,-4.353862895527104,0.0023794178058633
222,sequence_51016,-4.626935645431157,sequence_51143,-5.813377959587455,0.0152763663356696
162,sequence_51016,-4.626935645431157,sequence_51043,-5.997333168034557,0.004176362785167
115,sequence_51016,-4.626935645431157,sequence_51156,-6.2249740524313975,0.0167218629433272
170,sequence_51016,-4.626935645431157,sequence_51000,-7.071213324987105,0.0134964443526491
220,sequence_51016,-4.626935645431157,sequence_51039,-4.871173881568278,0.0041465048196827
52,sequence_51016,-4.626935645431157,sequence_51045,-6.269934534978312,0.0024576735035994
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,0.0106210469552668
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,0.0014601312587597
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,0.0129042277562091
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,0.0055711307629309
346,sequence_51170,-5.599110392902725,sequence_51189,-4.558817450583756,0.0112511709535635
300,sequence_51170,-5.599110392902725,sequence_51003,-4.688170977244142,0.0166612649857054
308,sequence_51170,-5.599110392902725,sequence_51054,-5.902809074204358,0.0172923925153365
448,sequence_51170,-5.599110392902725,sequence_51038,-5.012320997946479,0.0106191618836639
474,sequence_51170,-5.599110392902725,sequence_51049,-5.345308323514202,0.0195921682308145
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,0.0011069908886374
304,sequence_51170,-5.599110392902725,sequence_51019,-6.115112568237896,0.0166134967065624
477,sequence_51170,-5.599110392902725,sequence_51044,-7.448598078099795,0.0150211507109659
489,sequence_51170,-5.599110392902725,sequence_50986,-6.800648200608334,0.0159331575986557
487,sequence_51170,-5.599110392902725,sequence_50985,-4.308443704891928,0.0151083144387539
360,sequence_51170,-5.599110392902725,sequence_51161,-8.29923749627917,0.0018505116582425
493,sequence_51170,-5.599110392902725,sequence_51146,-3.958357370465748,0.0094320975321371
428,sequence_51170,-5.599110392902725,sequence_51041,-6.943692311648196,0.0116143621800185
313,sequence_51170,-5.599110392902725,sequence_51012,-5.769612631669962,0.0162248184367614
407,sequence_51170,-5.599110392902725,sequence_51013,-4.687136967133388,0.0161921713627134
492,sequence_51170,-5.599110392902725,sequence_51037,-4.148785252262823,0.0130271442749989
320,sequence_51170,-5.599110392902725,sequence_50995,-6.569508668935794,0.0125810800644311
260,sequence_51170,-5.599110392902725,sequence_51183,-7.546017632580344,0.0008554353485249
353,sequence_51170,-5.599110392902725,sequence_51176,-6.977819960699303,0.0005125772772828
490,sequence_51170,-5.599110392902725,sequence_51042,-4.418679342702412,0.0149648857121089
337,sequence_51170,-5.599110392902725,sequence_50996,-8.359746838659895,0.0111542847980945
447,sequence_51170,-5.599110392902725,sequence_51193,-5.950238637114008,0.0050153595015215
310,sequence_51170,-5.599110392902725,sequence_51033,-7.601809103963952,0.0172570144189245
350,sequence_51170,-5.599110392902725,sequence_51178,-5.206388367343241,0.0006721749417094
424,sequence_51170,-5.599110392902725,sequence_50999,-5.527187128279114,0.0153201119940777
265,sequence_51170,-5.599110392902725,sequence_51171,-5.988608431336485,0.001472479447413
473,sequence_51170,-5.599110392902725,sequence_50964,-5.326405663918352,0.0144545135334142
251,sequence_51170,-5.599110392902725,sequence_51140,-6.732490772637745,0.0016572896991711
266,sequence_51170,-5.599110392902725,sequence_51182,-5.384437728556348,0.0044801354652326
328,sequence_51170,-5.599110392902725,sequence_51052,-7.931613379354088,0.0146013034417197
269,sequence_51170,-5.599110392902725,sequence_51196,-7.3141295128133885,0.0081039633927351
