,id_seq1,target_seq1,id_seq2,target_seq2,distance
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,0.1866043943748378
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,0.2991306905016601
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,0.2482876557543689
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,0.2684787328635175
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,0.193850896309509
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,0.0715648656814221
61,sequence_51016,-4.626935645431157,sequence_51054,-5.902809074204358,0.135868613005359
201,sequence_51016,-4.626935645431157,sequence_51038,-5.012320997946479,0.1631048742374059
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,0.2995689903845189
57,sequence_51016,-4.626935645431157,sequence_51019,-6.115112568237896,0.0760221678196563
230,sequence_51016,-4.626935645431157,sequence_51044,-7.448598078099795,0.1656308546135049
240,sequence_51016,-4.626935645431157,sequence_50985,-4.308443704891928,0.1123592007803544
113,sequence_51016,-4.626935645431157,sequence_51161,-8.29923749627917,0.2934702710667641
246,sequence_51016,-4.626935645431157,sequence_51146,-3.958357370465748,0.1965687665932713
181,sequence_51016,-4.626935645431157,sequence_51041,-6.943692311648196,0.1626567244229392
66,sequence_51016,-4.626935645431157,sequence_51012,-5.769612631669962,0.0765161420877973
160,sequence_51016,-4.626935645431157,sequence_51013,-4.687136967133388,0.063756568289079
245,sequence_51016,-4.626935645431157,sequence_51037,-4.148785252262823,0.1871847750219018
73,sequence_51016,-4.626935645431157,sequence_50995,-6.569508668935794,0.1976548506867463
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,0.3040879806897996
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,0.2960916918793906
243,sequence_51016,-4.626935645431157,sequence_51042,-4.418679342702412,0.2399759362936209
90,sequence_51016,-4.626935645431157,sequence_50996,-8.359746838659895,0.1982916538838687
200,sequence_51016,-4.626935645431157,sequence_51193,-5.950238637114008,0.2843665767983291
177,sequence_51016,-4.626935645431157,sequence_50999,-5.527187128279114,0.178529521368316
19,sequence_51016,-4.626935645431157,sequence_51182,-5.384437728556348,0.2680999254009594
81,sequence_51016,-4.626935645431157,sequence_51052,-7.931613379354088,0.202159268894602
22,sequence_51016,-4.626935645431157,sequence_51196,-7.3141295128133885,0.2889757429266338
232,sequence_51016,-4.626935645431157,sequence_51201,-6.724658769791372,0.2843486943877183
237,sequence_51016,-4.626935645431157,sequence_51139,-6.942655461209572,0.2833260312784549
152,sequence_51016,-4.626935645431157,sequence_51050,-4.353862895527104,0.1125220422850563
162,sequence_51016,-4.626935645431157,sequence_51043,-5.997333168034557,0.1492399745376553
121,sequence_51016,-4.626935645431157,sequence_51179,-6.743875944193901,0.3006970402248748
115,sequence_51016,-4.626935645431157,sequence_51156,-6.2249740524313975,0.2979543757020527
220,sequence_51016,-4.626935645431157,sequence_51039,-4.871173881568278,0.1488217726006514
52,sequence_51016,-4.626935645431157,sequence_51045,-6.269934534978312,0.1146001745199369
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,0.2374252092765214
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,0.0884203596464072
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,0.2621684000790331
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,0.1748512510678719
346,sequence_51170,-5.599110392902725,sequence_51189,-4.558817450583756,0.2479950402729861
300,sequence_51170,-5.599110392902725,sequence_51003,-4.688170977244142,0.303487693325446
308,sequence_51170,-5.599110392902725,sequence_51054,-5.902809074204358,0.3035236234628204
448,sequence_51170,-5.599110392902725,sequence_51038,-5.012320997946479,0.2358636682492664
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,0.0738759094698671
304,sequence_51170,-5.599110392902725,sequence_51019,-6.115112568237896,0.3041301366191781
477,sequence_51170,-5.599110392902725,sequence_51044,-7.448598078099795,0.2856215152960294
487,sequence_51170,-5.599110392902725,sequence_50985,-4.308443704891928,0.2972348229935381
360,sequence_51170,-5.599110392902725,sequence_51161,-8.29923749627917,0.0951311200396589
493,sequence_51170,-5.599110392902725,sequence_51146,-3.958357370465748,0.224430011362117
428,sequence_51170,-5.599110392902725,sequence_51041,-6.943692311648196,0.2471957928444576
313,sequence_51170,-5.599110392902725,sequence_51012,-5.769612631669962,0.2974721667652287
407,sequence_51170,-5.599110392902725,sequence_51013,-4.687136967133388,0.2960728457660379
492,sequence_51170,-5.599110392902725,sequence_51037,-4.148785252262823,0.26448245688514
320,sequence_51170,-5.599110392902725,sequence_50995,-6.569508668935794,0.255851304471953
260,sequence_51170,-5.599110392902725,sequence_51183,-7.546017632580344,0.0641692293860538
353,sequence_51170,-5.599110392902725,sequence_51176,-6.977819960699303,0.049794979666629
490,sequence_51170,-5.599110392902725,sequence_51042,-4.418679342702412,0.2962444261079016
337,sequence_51170,-5.599110392902725,sequence_50996,-8.359746838659895,0.2433995275262464
447,sequence_51170,-5.599110392902725,sequence_51193,-5.950238637114008,0.1688202594477333
424,sequence_51170,-5.599110392902725,sequence_50999,-5.527187128279114,0.2797383777746628
266,sequence_51170,-5.599110392902725,sequence_51182,-5.384437728556348,0.1467244355927123
328,sequence_51170,-5.599110392902725,sequence_51052,-7.931613379354088,0.2855599761871401
269,sequence_51170,-5.599110392902725,sequence_51196,-7.3141295128133885,0.2086729738130935
479,sequence_51170,-5.599110392902725,sequence_51201,-6.724658769791372,0.1739710608118488
484,sequence_51170,-5.599110392902725,sequence_51139,-6.942655461209572,0.1853614576981957
399,sequence_51170,-5.599110392902725,sequence_51050,-4.353862895527104,0.2994365709127727
409,sequence_51170,-5.599110392902725,sequence_51043,-5.997333168034557,0.2918452329574702
368,sequence_51170,-5.599110392902725,sequence_51179,-6.743875944193901,0.217705397268878
362,sequence_51170,-5.599110392902725,sequence_51156,-6.2249740524313975,0.0963400228357871
467,sequence_51170,-5.599110392902725,sequence_51039,-4.871173881568278,0.2739805650041623
299,sequence_51170,-5.599110392902725,sequence_51045,-6.269934534978312,0.3008892321104229
