,id_seq1,target_seq1,id_seq2,target_seq2,distance
48,sequence_51016,-4.626935645431157,sequence_32129,-8.31556501084656,4042.8497445876246
96,sequence_51016,-4.626935645431157,sequence_32159,-6.970724932862983,4116.106612247851
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,4283.595718242542
228,sequence_51016,-4.626935645431157,sequence_32173,-7.412850678006673,4200.51873572012
35,sequence_51016,-4.626935645431157,sequence_32141,-5.887274565323308,4113.823554863668
148,sequence_51016,-4.626935645431157,sequence_32118,-5.976481335612996,4028.1079161596954
36,sequence_51016,-4.626935645431157,sequence_32124,-6.481163109642129,4074.777022011007
197,sequence_51016,-4.626935645431157,sequence_32156,-7.327994265882848,4288.035251703453
140,sequence_51016,-4.626935645431157,sequence_32139,-6.187468874223483,4101.3531187823455
43,sequence_51016,-4.626935645431157,sequence_32147,-6.122695079257531,4110.678452733355
187,sequence_51016,-4.626935645431157,sequence_32177,-8.394682697575568,4152.560700869061
138,sequence_51016,-4.626935645431157,sequence_32123,-5.794704758333088,4043.199886472608
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,4086.409168910699
241,sequence_51016,-4.626935645431157,sequence_32153,-7.7527305527290675,4117.295965098178
146,sequence_51016,-4.626935645431157,sequence_32136,-9.513216858041744,4079.687123526464
203,sequence_51016,-4.626935645431157,sequence_32154,-6.956779787785928,4242.286399832286
45,sequence_51016,-4.626935645431157,sequence_32122,-5.6780835220027175,4076.519153390522
84,sequence_51016,-4.626935645431157,sequence_32180,-7.4665305235863535,4180.347915871319
133,sequence_51016,-4.626935645431157,sequence_32160,-7.729750228413137,4122.366176420491
34,sequence_51016,-4.626935645431157,sequence_32117,-6.013942880307312,4110.258216922495
1,sequence_51016,-4.626935645431157,sequence_32130,-5.7157882520247325,4074.209940153429
38,sequence_51016,-4.626935645431157,sequence_32127,-5.3072183078974415,4065.4860529528814
39,sequence_51016,-4.626935645431157,sequence_32133,-6.519779039196885,4125.401545485378
236,sequence_51016,-4.626935645431157,sequence_32144,-5.565961069145386,4030.011078585778
132,sequence_51016,-4.626935645431157,sequence_32134,-6.086948143042816,4083.189934352375
239,sequence_51016,-4.626935645431157,sequence_32145,-7.251058911469951,4154.979200284324
150,sequence_51016,-4.626935645431157,sequence_32138,-6.781133718515557,4158.207743992936
37,sequence_51016,-4.626935645431157,sequence_32126,-5.968435149556656,4089.142544021727
47,sequence_51016,-4.626935645431157,sequence_32128,-5.684063700869746,4116.702464546244
70,sequence_51016,-4.626935645431157,sequence_32112,-8.51762382755167,4305.256918855152
46,sequence_51016,-4.626935645431157,sequence_32125,-8.764202037648419,4081.132583501637
196,sequence_51016,-4.626935645431157,sequence_32155,-8.338521820335119,4353.595754896112
32,sequence_51016,-4.626935645431157,sequence_32151,-7.450035379594821,4073.963528459568
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,4318.151406685199
137,sequence_51016,-4.626935645431157,sequence_32137,-6.099982560129262,4085.967672684708
144,sequence_51016,-4.626935645431157,sequence_32121,-6.578239299103505,4128.99189684282
44,sequence_51016,-4.626935645431157,sequence_32119,-5.975586824902201,4164.7281961856925
143,sequence_51016,-4.626935645431157,sequence_32109,-8.8749984685552,4112.393188849182
235,sequence_51016,-4.626935645431157,sequence_32161,-6.390606369080943,4158.909833271319
33,sequence_51016,-4.626935645431157,sequence_32148,-6.566272408536558,4046.440554038228
77,sequence_51016,-4.626935645431157,sequence_32152,-7.840763601366848,4293.103563380131
139,sequence_51016,-4.626935645431157,sequence_32143,-6.164881645817131,4102.839251472721
41,sequence_51016,-4.626935645431157,sequence_32174,-6.886395745117742,4083.449173656184
86,sequence_51016,-4.626935645431157,sequence_32181,-7.379938210822062,4294.381751429304
134,sequence_51016,-4.626935645431157,sequence_32110,-6.435581273863229,4022.9723080324975
42,sequence_51016,-4.626935645431157,sequence_32114,-8.025415659124889,4102.3635841108535
141,sequence_51016,-4.626935645431157,sequence_32135,-5.605247469738862,4114.805620099499
149,sequence_51016,-4.626935645431157,sequence_32146,-7.807595902051432,4061.601747188732
135,sequence_51016,-4.626935645431157,sequence_32120,-5.463833086780952,4098.132609043906
295,sequence_51170,-5.599110392902725,sequence_32129,-8.31556501084656,4401.853053383573
343,sequence_51170,-5.599110392902725,sequence_32159,-6.970724932862983,4446.62894908437
344,sequence_51170,-5.599110392902725,sequence_32149,-7.516758509933092,4408.432460595694
475,sequence_51170,-5.599110392902725,sequence_32173,-7.412850678006673,4422.598309471253
282,sequence_51170,-5.599110392902725,sequence_32141,-5.887274565323308,4479.651806986554
395,sequence_51170,-5.599110392902725,sequence_32118,-5.976481335612996,4490.716731857163
283,sequence_51170,-5.599110392902725,sequence_32124,-6.481163109642129,4474.7103033441335
444,sequence_51170,-5.599110392902725,sequence_32156,-7.327994265882848,4348.895325353969
387,sequence_51170,-5.599110392902725,sequence_32139,-6.187468874223483,4453.138131235268
290,sequence_51170,-5.599110392902725,sequence_32147,-6.122695079257531,4435.016021575661
434,sequence_51170,-5.599110392902725,sequence_32177,-8.394682697575568,4368.585842021433
385,sequence_51170,-5.599110392902725,sequence_32123,-5.794704758333088,4467.082611335959
339,sequence_51170,-5.599110392902725,sequence_32150,-7.3196132933177775,4416.654260788321
488,sequence_51170,-5.599110392902725,sequence_32153,-7.7527305527290675,4465.495729674447
393,sequence_51170,-5.599110392902725,sequence_32136,-9.513216858041744,4484.161129908366
450,sequence_51170,-5.599110392902725,sequence_32154,-6.956779787785928,4382.994114127312
292,sequence_51170,-5.599110392902725,sequence_32122,-5.6780835220027175,4515.253119445731
331,sequence_51170,-5.599110392902725,sequence_32180,-7.4665305235863535,4371.177628366167
380,sequence_51170,-5.599110392902725,sequence_32160,-7.729750228413137,4491.960296367982
281,sequence_51170,-5.599110392902725,sequence_32117,-6.013942880307312,4435.623706351812
248,sequence_51170,-5.599110392902725,sequence_32130,-5.7157882520247325,4463.101522907299
285,sequence_51170,-5.599110392902725,sequence_32127,-5.3072183078974415,4449.654264696465
286,sequence_51170,-5.599110392902725,sequence_32133,-6.519779039196885,4507.935077379039
483,sequence_51170,-5.599110392902725,sequence_32144,-5.565961069145386,4486.523641355433
379,sequence_51170,-5.599110392902725,sequence_32134,-6.086948143042816,4465.83545023477
486,sequence_51170,-5.599110392902725,sequence_32145,-7.251058911469951,4400.705827448526
397,sequence_51170,-5.599110392902725,sequence_32138,-6.781133718515557,4495.28233576594
284,sequence_51170,-5.599110392902725,sequence_32126,-5.968435149556656,4390.805528247433
294,sequence_51170,-5.599110392902725,sequence_32128,-5.684063700869746,4442.976258062408
317,sequence_51170,-5.599110392902725,sequence_32112,-8.51762382755167,4402.663581885813
293,sequence_51170,-5.599110392902725,sequence_32125,-8.764202037648419,4474.980450725608
443,sequence_51170,-5.599110392902725,sequence_32155,-8.338521820335119,4422.888470484547
279,sequence_51170,-5.599110392902725,sequence_32151,-7.450035379594821,4481.560595739664
