,id_seq1,target_seq1,id_seq2,target_seq2,distance
180,sequence_51016,-4.626935645431157,sequence_32178,-7.97958130655809,0.9580720281449998
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,0.9869846907941436
72,sequence_51016,-4.626935645431157,sequence_32162,-7.3445848975979535,1.0106695906152088
97,sequence_51016,-4.626935645431157,sequence_32149,-7.516758509933092,1.029797806776434
197,sequence_51016,-4.626935645431157,sequence_32156,-7.327994265882848,1.0228434006283595
87,sequence_51016,-4.626935645431157,sequence_32163,-6.436780987668787,1.043469918777757
156,sequence_51016,-4.626935645431157,sequence_32164,-7.229515353903711,0.9617584503029086
179,sequence_51016,-4.626935645431157,sequence_32175,-7.447858237543301,0.927257848973972
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,0.9916061202551284
203,sequence_51016,-4.626935645431157,sequence_32154,-6.956779787785928,1.0397952608206995
174,sequence_51016,-4.626935645431157,sequence_32179,-7.381695972507586,0.9743257266161256
95,sequence_51016,-4.626935645431157,sequence_32116,-7.723165366142718,1.0207143380947488
50,sequence_51016,-4.626935645431157,sequence_32167,-8.28781536491833,0.9678452983865148
427,sequence_51170,-5.599110392902725,sequence_32178,-7.97958130655809,1.007552092124771
418,sequence_51170,-5.599110392902725,sequence_32171,-6.784871272007103,1.0329122247683316
319,sequence_51170,-5.599110392902725,sequence_32162,-7.3445848975979535,1.0413970100906502
344,sequence_51170,-5.599110392902725,sequence_32149,-7.516758509933092,1.036626110680799
444,sequence_51170,-5.599110392902725,sequence_32156,-7.327994265882848,1.0365336590015262
334,sequence_51170,-5.599110392902725,sequence_32163,-6.436780987668787,1.0347096062589458
403,sequence_51170,-5.599110392902725,sequence_32164,-7.229515353903711,1.0359197823243722
426,sequence_51170,-5.599110392902725,sequence_32175,-7.447858237543301,1.0377003834565104
339,sequence_51170,-5.599110392902725,sequence_32150,-7.3196132933177775,1.0426219502853933
450,sequence_51170,-5.599110392902725,sequence_32154,-6.956779787785928,1.0200865214175077
421,sequence_51170,-5.599110392902725,sequence_32179,-7.381695972507586,1.02707255559318
342,sequence_51170,-5.599110392902725,sequence_32116,-7.723165366142718,1.0144059721582874
297,sequence_51170,-5.599110392902725,sequence_32167,-8.28781536491833,1.0238116628879963
