,id_seq1,target_seq1,id_seq2,target_seq2,distance
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,0.0249307479224376
231,sequence_51016,-4.626935645431157,sequence_51006,-4.088195248253983,0.0997229916897507
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,0.0277008310249307
163,sequence_51016,-4.626935645431157,sequence_51009,-4.573850042256471,0.0055401662049861
175,sequence_51016,-4.626935645431157,sequence_50997,-7.490956320392341,0.2714681440443213
201,sequence_51016,-4.626935645431157,sequence_51038,-5.012320997946479,0.1717451523545706
94,sequence_51016,-4.626935645431157,sequence_50966,-7.12754277570154,0.1828254847645429
57,sequence_51016,-4.626935645431157,sequence_51019,-6.115112568237896,0.0277008310249307
230,sequence_51016,-4.626935645431157,sequence_51044,-7.448598078099795,0.1080332409972299
157,sequence_51016,-4.626935645431157,sequence_51035,-6.5243104484277685,0.0304709141274238
151,sequence_51016,-4.626935645431157,sequence_50962,-7.232986764011962,0.0969529085872576
62,sequence_51016,-4.626935645431157,sequence_51002,-5.509785716570097,0.0277008310249307
60,sequence_51016,-4.626935645431157,sequence_50984,-4.153545460917198,0.0193905817174515
58,sequence_51016,-4.626935645431157,sequence_51017,-7.84298595409709,0.0443213296398892
181,sequence_51016,-4.626935645431157,sequence_51041,-6.943692311648196,0.224376731301939
66,sequence_51016,-4.626935645431157,sequence_51012,-5.769612631669962,0.0221606648199446
229,sequence_51016,-4.626935645431157,sequence_50983,-7.874339064617118,0.1080332409972299
160,sequence_51016,-4.626935645431157,sequence_51013,-4.687136967133388,0.0166204986149584
245,sequence_51016,-4.626935645431157,sequence_51037,-4.148785252262823,0.1385041551246537
88,sequence_51016,-4.626935645431157,sequence_50980,-5.395644495280823,0.1966759002770083
209,sequence_51016,-4.626935645431157,sequence_51056,-5.850855450691768,0.185595567867036
54,sequence_51016,-4.626935645431157,sequence_51032,-8.147653535627581,0.0277008310249307
234,sequence_51016,-4.626935645431157,sequence_50967,-5.218809117262096,0.1108033240997229
164,sequence_51016,-4.626935645431157,sequence_51031,-4.656133116104559,0.0415512465373961
208,sequence_51016,-4.626935645431157,sequence_51057,-7.239446757304117,0.2216066481994459
90,sequence_51016,-4.626935645431157,sequence_50996,-8.359746838659895,0.2409972299168975
233,sequence_51016,-4.626935645431157,sequence_51036,-7.334007950928568,0.1218836565096952
67,sequence_51016,-4.626935645431157,sequence_51018,-7.920386157149045,0.0498614958448753
63,sequence_51016,-4.626935645431157,sequence_51033,-7.601809103963952,0.0166204986149584
68,sequence_51016,-4.626935645431157,sequence_51015,-5.194006961724645,0.0332409972299169
55,sequence_51016,-4.626935645431157,sequence_51028,-7.264425589948742,0.0692520775623268
153,sequence_51016,-4.626935645431157,sequence_51029,-4.668263389644887,0.0110803324099723
166,sequence_51016,-4.626935645431157,sequence_51034,-8.187646078101817,0.0277008310249307
204,sequence_51016,-4.626935645431157,sequence_51030,-4.598021987750988,0.0581717451523545
189,sequence_51016,-4.626935645431157,sequence_51001,-8.53182220350879,0.260387811634349
