,id_seq1,target_seq1,id_seq2,target_seq2,distance
91,sequence_53082,55.0,sequence_19431,50.5,0.1306965808476382
10,sequence_53082,55.0,sequence_19453,47.3,0.1370584613832968
117,sequence_53082,55.0,sequence_19521,53.0,0.1229198034087268
62,sequence_53082,55.0,sequence_19505,42.4,0.1357464433639474
162,sequence_53082,55.0,sequence_19395,49.7,0.1297218888599008
129,sequence_53082,55.0,sequence_20049,43.9,0.1286045069780977
351,sequence_19402,43.0,sequence_19431,50.5,0.1125179444819273
270,sequence_19402,43.0,sequence_19453,47.3,0.1076974896058102
377,sequence_19402,43.0,sequence_19521,53.0,0.0981232951216592
322,sequence_19402,43.0,sequence_19505,42.4,0.0932841913737199
422,sequence_19402,43.0,sequence_19395,49.7,0.0791953028043426
389,sequence_19402,43.0,sequence_20049,43.9,0.0868376299209608
611,sequence_20054,49.0,sequence_19431,50.5,0.0665673323892356
530,sequence_20054,49.0,sequence_19453,47.3,0.0718893404731126
637,sequence_20054,49.0,sequence_19521,53.0,0.0822562611097842
582,sequence_20054,49.0,sequence_19505,42.4,0.0811620783340494
682,sequence_20054,49.0,sequence_19395,49.7,0.0843571739683915
649,sequence_20054,49.0,sequence_20049,43.9,0.0888033351767558
