,id_seq1,target_seq1,id_seq2,target_seq2,distance
112,sequence_53082,55.0,sequence_19445,45.5,0.0561349223531151
57,sequence_53082,55.0,sequence_20040,47.2,0.0494321660017309
67,sequence_53082,55.0,sequence_19526,49.3,0.0505044638850318
158,sequence_53082,55.0,sequence_19437,46.7,0.0558993415683509
152,sequence_53082,55.0,sequence_19529,48.8,0.0502960067537705
125,sequence_53082,55.0,sequence_19429,50.9,0.0555241421950716
171,sequence_53082,55.0,sequence_19524,46.4,0.0530880663435762
59,sequence_53082,55.0,sequence_19432,51.0,0.0567669917004235
89,sequence_53082,55.0,sequence_19422,46.6,0.0499059352103955
82,sequence_53082,55.0,sequence_19378,52.4,0.0531885694982529
189,sequence_53082,55.0,sequence_19452,44.2,0.0520579453254412
93,sequence_53082,55.0,sequence_19488,51.3,0.0518940511825962
2,sequence_53082,55.0,sequence_20048,39.8,0.0504689569995197
0,sequence_53082,55.0,sequence_19402,43.0,0.0557160152880757
170,sequence_53082,55.0,sequence_20066,49.9,0.049466039701892
45,sequence_53082,55.0,sequence_19446,39.5,0.0539542422410584
250,sequence_53082,55.0,sequence_53098,42.0,0.0401264738818259
13,sequence_53082,55.0,sequence_19523,50.8,0.0526251919231357
103,sequence_53082,55.0,sequence_19389,44.0,0.0509188179616644
164,sequence_53082,55.0,sequence_19489,49.1,0.0547212279989668
78,sequence_53082,55.0,sequence_20051,42.5,0.0483819322605315
242,sequence_53082,55.0,sequence_53088,48.0,0.0370354736414434
91,sequence_53082,55.0,sequence_19431,50.5,0.0524375093963395
22,sequence_53082,55.0,sequence_53079,47.8,0.0443116687923707
49,sequence_53082,55.0,sequence_19490,52.9,0.0527856133535852
126,sequence_53082,55.0,sequence_19416,49.4,0.0541451193521448
30,sequence_53082,55.0,sequence_19430,45.7,0.0526249152636257
1,sequence_53082,55.0,sequence_20054,49.0,0.0528826344648347
37,sequence_53082,55.0,sequence_19506,49.3,0.054160617527826
154,sequence_53082,55.0,sequence_19491,48.8,0.0543194997277681
84,sequence_53082,55.0,sequence_19433,50.1,0.0547263156506022
64,sequence_53082,55.0,sequence_19392,50.5,0.0505102754458147
155,sequence_53082,55.0,sequence_19421,53.0,0.0495040091274997
71,sequence_53082,55.0,sequence_19390,46.3,0.048791535216386
10,sequence_53082,55.0,sequence_19453,47.3,0.0515460114616955
180,sequence_53082,55.0,sequence_53067,40.9,0.0446476458201782
4,sequence_53082,55.0,sequence_19525,48.8,0.0536878759100981
29,sequence_53082,55.0,sequence_53059,47.1,0.0457701086267382
148,sequence_53082,55.0,sequence_19457,43.6,0.0550212291211725
168,sequence_53082,55.0,sequence_19372,49.2,0.0515638786825227
39,sequence_53082,55.0,sequence_19530,45.6,0.0522033360649237
179,sequence_53082,55.0,sequence_19456,48.0,0.0528474406067492
135,sequence_53082,55.0,sequence_19435,51.4,0.053356555199945
90,sequence_53082,55.0,sequence_19495,58.9,0.0532492143580201
117,sequence_53082,55.0,sequence_19521,53.0,0.0470368250736475
111,sequence_53082,55.0,sequence_19492,58.5,0.0479898979758967
186,sequence_53082,55.0,sequence_19528,47.1,0.0489010233129094
86,sequence_53082,55.0,sequence_19393,53.7,0.0538910772935125
62,sequence_53082,55.0,sequence_19505,42.4,0.0531231941992733
38,sequence_53082,55.0,sequence_20064,47.3,0.0466141565787386
32,sequence_53082,55.0,sequence_19369,47.9,0.0512512824029263
106,sequence_53082,55.0,sequence_19420,40.6,0.0493062673697336
162,sequence_53082,55.0,sequence_19395,49.7,0.048295312273488
75,sequence_53082,55.0,sequence_20041,48.5,0.0508991129034387
87,sequence_53082,55.0,sequence_20065,46.5,0.0499809918053561
133,sequence_53082,55.0,sequence_19396,43.1,0.0524139858517305
169,sequence_53082,55.0,sequence_19507,46.0,0.0512194928956329
167,sequence_53082,55.0,sequence_53076,46.3,0.0459484599285457
31,sequence_53082,55.0,sequence_20052,42.9,0.0481018546662684
23,sequence_53082,55.0,sequence_20042,49.4,0.0462127816966526
28,sequence_53082,55.0,sequence_19509,50.6,0.0534971599686289
193,sequence_53082,55.0,sequence_19487,55.9,0.049347266058626
176,sequence_53082,55.0,sequence_19484,52.0,0.0541035942984254
187,sequence_53082,55.0,sequence_19455,44.5,0.0520566622539654
14,sequence_53082,55.0,sequence_53078,43.3,0.0464152638672339
137,sequence_53082,55.0,sequence_19418,47.2,0.0504511689196504
163,sequence_53082,55.0,sequence_19510,47.8,0.0506290289316291
58,sequence_53082,55.0,sequence_19370,51.7,0.0529211616068367
127,sequence_53082,55.0,sequence_20055,46.3,0.05186182499769
134,sequence_53082,55.0,sequence_19527,50.1,0.0542507940782751
102,sequence_53082,55.0,sequence_19486,54.2,0.0546987532251001
12,sequence_53082,55.0,sequence_19522,45.4,0.0525848703272786
24,sequence_53082,55.0,sequence_19419,53.3,0.050003038172658
248,sequence_53082,55.0,sequence_53068,36.0,0.0383788455255419
173,sequence_53082,55.0,sequence_19485,58.0,0.0553404643331248
20,sequence_53082,55.0,sequence_19391,46.8,0.0519026407806839
18,sequence_53082,55.0,sequence_53066,39.2,0.0457064480579714
41,sequence_53082,55.0,sequence_19504,50.6,0.0532763307207135
60,sequence_53082,55.0,sequence_19371,49.0,0.0539221382916908
245,sequence_53082,55.0,sequence_53086,40.0,0.041105002124801
247,sequence_53082,55.0,sequence_19400,43.0,0.0536475194651342
61,sequence_53082,55.0,sequence_19434,48.0,0.0545563168802605
120,sequence_53082,55.0,sequence_19508,49.5,0.0528141458152668
151,sequence_53082,55.0,sequence_19454,43.1,0.0560692421363732
63,sequence_53082,55.0,sequence_53070,45.7,0.04375817269161
50,sequence_53082,55.0,sequence_19376,53.0,0.0476537614300882
80,sequence_53082,55.0,sequence_19394,45.4,0.053260872434153
81,sequence_53082,55.0,sequence_19374,50.7,0.0485593019270819
129,sequence_53082,55.0,sequence_20049,43.9,0.0451046846789775
124,sequence_53082,55.0,sequence_53077,43.5,0.0435389766674248
128,sequence_53082,55.0,sequence_19388,48.4,0.0553556812409694
6,sequence_53082,55.0,sequence_19496,48.3,0.0537069407111284
132,sequence_53082,55.0,sequence_19373,53.1,0.0513769594583906
110,sequence_53082,55.0,sequence_19436,46.4,0.0532733427332689
175,sequence_53082,55.0,sequence_19493,50.4,0.0491527441565141
206,sequence_53082,55.0,sequence_53060,47.9,0.0484410519895762
150,sequence_53082,55.0,sequence_19494,60.0,0.0506488291487023
94,sequence_53082,55.0,sequence_19375,49.9,0.0539806479995995
