,id_seq1,target_seq1,id_seq2,target_seq2,distance
34,sequence_40826,539,sequence_40861,464,0.0445558217338745
36,sequence_40826,539,sequence_40854,465,0.0451161020266743
30,sequence_40826,539,sequence_40843,495,0.0435530235218715
37,sequence_40826,539,sequence_40853,463,0.0433913874162735
40,sequence_40826,539,sequence_40850,462,0.0482350082586559
28,sequence_40826,539,sequence_40858,495,0.0472688490705832
24,sequence_40826,539,sequence_40856,498,0.0502123674538853
25,sequence_40826,539,sequence_40815,498,0.0434590268189807
38,sequence_40826,539,sequence_40848,461,0.0461246260114455
27,sequence_40826,539,sequence_40847,486,0.0434237383078858
