,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,2586.1656000000003
95,sequence_53082,55.0,sequence_19511,62.4,8316.5205
112,sequence_53082,55.0,sequence_19445,45.5,11967.8098
228,sequence_53082,55.0,sequence_19351,60.9,10227.0995
113,sequence_53082,55.0,sequence_19403,50.9,9935.4353
125,sequence_53082,55.0,sequence_19429,50.9,11926.017
208,sequence_53082,55.0,sequence_19459,59.2,8854.1803
16,sequence_53082,55.0,sequence_53062,49.1,7851.653699999999
258,sequence_53082,55.0,sequence_19380,48.1,8573.0648
241,sequence_53082,55.0,sequence_53083,51.0,1198.0489
253,sequence_53082,55.0,sequence_53099,53.0,2379.8524
252,sequence_53082,55.0,sequence_53084,39.0,2542.8557
47,sequence_53082,55.0,sequence_20043,46.6,10775.762
117,sequence_53082,55.0,sequence_19521,53.0,6135.1987
38,sequence_53082,55.0,sequence_20064,47.3,8037.6754
256,sequence_53082,55.0,sequence_19379,50.3,4389.9342
257,sequence_53082,55.0,sequence_19348,46.7,6769.2962
66,sequence_53082,55.0,sequence_20056,56.9,8982.3699
32,sequence_53082,55.0,sequence_19369,47.9,10492.5896
221,sequence_53082,55.0,sequence_19461,61.2,7306.2358
167,sequence_53082,55.0,sequence_53076,46.3,7701.708
213,sequence_53082,55.0,sequence_19463,62.7,8862.8248
178,sequence_53082,55.0,sequence_20034,52.0,10733.9692
143,sequence_53082,55.0,sequence_53061,50.6,7588.3691
229,sequence_53082,55.0,sequence_19460,61.0,4850.7794
176,sequence_53082,55.0,sequence_19484,52.0,10628.2268
249,sequence_53082,55.0,sequence_53072,47.0,1357.6468
58,sequence_53082,55.0,sequence_19370,51.7,12142.475000000002
259,sequence_53082,55.0,sequence_19401,47.4,5512.3741
198,sequence_53082,55.0,sequence_19458,62.9,6398.723900000001
226,sequence_53082,55.0,sequence_19349,58.9,7762.9986
216,sequence_53082,55.0,sequence_19350,60.1,10218.455
41,sequence_53082,55.0,sequence_19504,50.6,10424.024
44,sequence_53082,55.0,sequence_19404,51.3,10085.4088
141,sequence_53082,55.0,sequence_19512,54.4,8712.4896
224,sequence_53082,55.0,sequence_19462,63.2,6407.368400000001
251,sequence_53082,55.0,sequence_53052,55.0,1243.0479
124,sequence_53082,55.0,sequence_53077,43.5,6408.403600000001
246,sequence_53082,55.0,sequence_53087,52.0,789.476
243,sequence_53082,55.0,sequence_19381,50.0,10839.9932
244,sequence_53082,55.0,sequence_53081,53.0,1581.39
254,sequence_53082,55.0,sequence_53056,52.0,2186.2874
515,sequence_19402,43.0,sequence_19347,58.9,20613.8717
355,sequence_19402,43.0,sequence_19511,62.4,20684.6026
372,sequence_19402,43.0,sequence_19445,45.5,20436.6785
488,sequence_19402,43.0,sequence_19351,60.9,19600.520000000004
373,sequence_19402,43.0,sequence_19403,50.9,18887.1924
385,sequence_19402,43.0,sequence_19429,50.9,20988.993700000003
468,sequence_19402,43.0,sequence_19459,59.2,20657.4652
276,sequence_19402,43.0,sequence_53062,49.1,21286.948
518,sequence_19402,43.0,sequence_19380,48.1,18601.5711
501,sequence_19402,43.0,sequence_53083,51.0,23161.0568
513,sequence_19402,43.0,sequence_53099,53.0,20820.1849
512,sequence_19402,43.0,sequence_53084,39.0,23222.6792
307,sequence_19402,43.0,sequence_20043,46.6,20829.2057
377,sequence_19402,43.0,sequence_19521,53.0,20558.6392
298,sequence_19402,43.0,sequence_20064,47.3,22947.6591
516,sequence_19402,43.0,sequence_19379,50.3,18810.1031
517,sequence_19402,43.0,sequence_19348,46.7,20405.3397
326,sequence_19402,43.0,sequence_20056,56.9,23389.2256
292,sequence_19402,43.0,sequence_19369,47.9,19272.162700000004
481,sequence_19402,43.0,sequence_19461,61.2,20261.5827
427,sequence_19402,43.0,sequence_53076,46.3,23300.042500000003
473,sequence_19402,43.0,sequence_19463,62.7,20964.7947
