,id_seq1,target_seq1,id_seq2,target_seq2,distance
199,sequence_53082,55.0,sequence_19470,61.0,4815.889312783096
131,sequence_53082,55.0,sequence_19467,64.4,4731.867763797294
220,sequence_53082,55.0,sequence_19353,64.3,4870.862302816954
56,sequence_53082,55.0,sequence_19354,60.0,4859.236329292412
210,sequence_53082,55.0,sequence_19465,62.9,4761.359172654712
211,sequence_53082,55.0,sequence_19476,62.2,4784.759388975079
214,sequence_53082,55.0,sequence_19464,62.2,4783.700742576597
218,sequence_53082,55.0,sequence_19471,60.0,4793.69776367615
225,sequence_53082,55.0,sequence_19362,61.0,4893.738939948194
149,sequence_53082,55.0,sequence_19466,56.9,4754.347921384038
233,sequence_53082,55.0,sequence_19356,59.0,4924.179959643895
202,sequence_53082,55.0,sequence_19361,55.6,4915.478861298256
51,sequence_53082,55.0,sequence_19406,53.8,4775.725669960239
239,sequence_53082,55.0,sequence_19513,61.0,4676.100848123909
156,sequence_53082,55.0,sequence_19514,53.0,4745.083314204918
65,sequence_53082,55.0,sequence_19357,58.5,4902.478623253122
230,sequence_53082,55.0,sequence_19352,58.5,4892.703873780632
459,sequence_19402,43.0,sequence_19470,61.0,3084.6311828615217
391,sequence_19402,43.0,sequence_19467,64.4,3317.1475274483364
480,sequence_19402,43.0,sequence_19353,64.3,3191.7089177253083
316,sequence_19402,43.0,sequence_19354,60.0,2816.590394633082
470,sequence_19402,43.0,sequence_19465,62.9,3352.874023500938
471,sequence_19402,43.0,sequence_19476,62.2,3175.9131319818102
474,sequence_19402,43.0,sequence_19464,62.2,3273.852727506161
478,sequence_19402,43.0,sequence_19471,60.0,3168.375304529044
485,sequence_19402,43.0,sequence_19362,61.0,3005.2730025597343
409,sequence_19402,43.0,sequence_19466,56.9,3237.2542660082745
493,sequence_19402,43.0,sequence_19356,59.0,2908.640770583669
462,sequence_19402,43.0,sequence_19361,55.6,2916.8498905234324
311,sequence_19402,43.0,sequence_19406,53.8,2841.080200476268
499,sequence_19402,43.0,sequence_19513,61.0,3373.472909609072
416,sequence_19402,43.0,sequence_19514,53.0,2850.427985210128
325,sequence_19402,43.0,sequence_19357,58.5,2997.3060685170944
490,sequence_19402,43.0,sequence_19352,58.5,3108.5934567613403
