,id_seq1,target_seq1,id_seq2,target_seq2,distance
13,sequence_40826,539,sequence_40841,528,0.0004018753997545
69,sequence_40826,539,sequence_40798,579,0.0036970393432589
79,sequence_40826,539,sequence_40867,622,0.0068667220540661
20,sequence_40826,539,sequence_40827,525,0.0009326487404075
76,sequence_40826,539,sequence_40866,620,0.0048275402267283
77,sequence_40826,539,sequence_40799,597,0.0057270109027933
12,sequence_40826,539,sequence_40840,528,0.0007209235340233
68,sequence_40826,539,sequence_40830,558,0.0019739318959499
78,sequence_40826,539,sequence_40788,510,0.0039809597541372
70,sequence_40826,539,sequence_40865,580,0.0024810216500863
21,sequence_40826,539,sequence_40828,519,0.0033655191970595
72,sequence_40826,539,sequence_40801,561,0.002171278397988
