,id_seq1,target_seq1,id_seq2,target_seq2,distance
214,sequence_53082,55.0,sequence_19464,62.2,0.0175567142109865
229,sequence_53082,55.0,sequence_19460,61.0,0.0152208500643988
149,sequence_53082,55.0,sequence_19466,56.9,0.0158031176064389
198,sequence_53082,55.0,sequence_19458,62.9,0.017583438391613
226,sequence_53082,55.0,sequence_19349,58.9,0.0176673083670779
219,sequence_53082,55.0,sequence_19475,59.1,0.0156404545282947
207,sequence_53082,55.0,sequence_19473,60.6,0.017038755706037
230,sequence_53082,55.0,sequence_19352,58.5,0.0175227796134975
474,sequence_19402,43.0,sequence_19464,62.2,0.0191856229256051
489,sequence_19402,43.0,sequence_19460,61.0,0.0190559632022779
409,sequence_19402,43.0,sequence_19466,56.9,0.0191739081367791
458,sequence_19402,43.0,sequence_19458,62.9,0.0195209071580439
486,sequence_19402,43.0,sequence_19349,58.9,0.0177637860782589
479,sequence_19402,43.0,sequence_19475,59.1,0.0186413949619682
467,sequence_19402,43.0,sequence_19473,60.6,0.0183009293617277
490,sequence_19402,43.0,sequence_19352,58.5,0.0172012754520679
734,sequence_20054,49.0,sequence_19464,62.2,0.0160909531084028
749,sequence_20054,49.0,sequence_19460,61.0,0.0171716392205284
669,sequence_20054,49.0,sequence_19466,56.9,0.0153165973866723
718,sequence_20054,49.0,sequence_19458,62.9,0.0183195867354436
746,sequence_20054,49.0,sequence_19349,58.9,0.0192936226999762
739,sequence_20054,49.0,sequence_19475,59.1,0.01622738979312
727,sequence_20054,49.0,sequence_19473,60.6,0.0163371755706558
750,sequence_20054,49.0,sequence_19352,58.5,0.0172323151910237
