,id_seq1,target_seq1,id_seq2,target_seq2,distance
89,sequence_53082,55.0,sequence_19422,46.6,265.8117470287421
78,sequence_53082,55.0,sequence_20051,42.5,295.4766238695021
194,sequence_53082,55.0,sequence_19398,46.2,264.9999512073556
37,sequence_53082,55.0,sequence_19506,49.3,294.2313636145177
148,sequence_53082,55.0,sequence_19457,43.6,294.52532444830285
86,sequence_53082,55.0,sequence_19393,53.7,291.7693084648459
106,sequence_53082,55.0,sequence_19420,40.6,250.49201567281963
31,sequence_53082,55.0,sequence_20052,42.9,285.4367280403469
247,sequence_53082,55.0,sequence_19400,43.0,251.4354581831437
120,sequence_53082,55.0,sequence_19508,49.5,293.5224947775491
79,sequence_53082,55.0,sequence_19397,49.6,287.7551365042305
349,sequence_19402,43.0,sequence_19422,46.6,168.37298820176406
338,sequence_19402,43.0,sequence_20051,42.5,191.10537744479024
454,sequence_19402,43.0,sequence_19398,46.2,161.47590153666428
297,sequence_19402,43.0,sequence_19506,49.3,210.40553718569095
408,sequence_19402,43.0,sequence_19457,43.6,226.59707763200956
346,sequence_19402,43.0,sequence_19393,53.7,226.7314295015614
366,sequence_19402,43.0,sequence_19420,40.6,207.7963506109637
291,sequence_19402,43.0,sequence_20052,42.9,211.6547226389374
507,sequence_19402,43.0,sequence_19400,43.0,109.334741897043
380,sequence_19402,43.0,sequence_19508,49.5,189.88121335484857
339,sequence_19402,43.0,sequence_19397,49.6,206.27929123695668
