,id_seq1,target_seq1,id_seq2,target_seq2,distance
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,1.0
231,sequence_51016,-4.626935645431157,sequence_51006,-4.088195248253983,1.0
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,1.0
76,sequence_51016,-4.626935645431157,sequence_50979,-6.9793484717108525,1.0
176,sequence_51016,-4.626935645431157,sequence_50998,-5.944204158002268,1.0
53,sequence_51016,-4.626935645431157,sequence_51003,-4.688170977244142,1.0
61,sequence_51016,-4.626935645431157,sequence_51054,-5.902809074204358,1.0
163,sequence_51016,-4.626935645431157,sequence_51009,-4.573850042256471,1.0
223,sequence_51016,-4.626935645431157,sequence_50981,-7.512823751591346,1.0
175,sequence_51016,-4.626935645431157,sequence_50997,-7.490956320392341,1.0
154,sequence_51016,-4.626935645431157,sequence_51008,-4.585620137449986,1.0
201,sequence_51016,-4.626935645431157,sequence_51038,-5.012320997946479,1.0
227,sequence_51016,-4.626935645431157,sequence_51049,-5.345308323514202,1.0
59,sequence_51016,-4.626935645431157,sequence_51014,-4.875093284104756,1.0
94,sequence_51016,-4.626935645431157,sequence_50966,-7.12754277570154,1.0
218,sequence_51016,-4.626935645431157,sequence_50976,-7.644636157990131,1.0
57,sequence_51016,-4.626935645431157,sequence_51019,-6.115112568237896,1.0
230,sequence_51016,-4.626935645431157,sequence_51044,-7.448598078099795,1.0
242,sequence_51016,-4.626935645431157,sequence_50986,-6.800648200608334,1.0
80,sequence_51016,-4.626935645431157,sequence_50987,-8.15482384172899,1.0
182,sequence_51016,-4.626935645431157,sequence_50965,-8.132680322148055,1.0
157,sequence_51016,-4.626935645431157,sequence_51035,-6.5243104484277685,1.0
240,sequence_51016,-4.626935645431157,sequence_50985,-4.308443704891928,1.0
85,sequence_51016,-4.626935645431157,sequence_51046,-7.53760401737095,1.0
151,sequence_51016,-4.626935645431157,sequence_50962,-7.232986764011962,1.0
183,sequence_51016,-4.626935645431157,sequence_51048,-8.515067054902179,1.0
205,sequence_51016,-4.626935645431157,sequence_51021,-5.061021415988704,1.0
62,sequence_51016,-4.626935645431157,sequence_51002,-5.509785716570097,1.0
60,sequence_51016,-4.626935645431157,sequence_50984,-4.153545460917198,1.0
58,sequence_51016,-4.626935645431157,sequence_51017,-7.84298595409709,1.0
198,sequence_51016,-4.626935645431157,sequence_50993,-7.312336322903731,1.0
181,sequence_51016,-4.626935645431157,sequence_51041,-6.943692311648196,1.0
66,sequence_51016,-4.626935645431157,sequence_51012,-5.769612631669962,1.0
229,sequence_51016,-4.626935645431157,sequence_50983,-7.874339064617118,1.0
160,sequence_51016,-4.626935645431157,sequence_51013,-4.687136967133388,1.0
245,sequence_51016,-4.626935645431157,sequence_51037,-4.148785252262823,1.0
88,sequence_51016,-4.626935645431157,sequence_50980,-5.395644495280823,1.0
209,sequence_51016,-4.626935645431157,sequence_51056,-5.850855450691768,1.0
