,id_seq1,target_seq1,id_seq2,target_seq2,distance
235,sequence_53082,55.0,sequence_19517,61.6,0.4909321364454745
223,sequence_53082,55.0,sequence_19472,59.9,0.5028992059694907
93,sequence_53082,55.0,sequence_19488,51.3,0.541618095077263
212,sequence_53082,55.0,sequence_19480,62.8,0.5129772701814983
145,sequence_53082,55.0,sequence_19469,50.5,0.5003043276084946
231,sequence_53082,55.0,sequence_19482,59.3,0.4968579284524257
40,sequence_53082,55.0,sequence_19498,63.2,0.5017718783398627
210,sequence_53082,55.0,sequence_19465,62.9,0.5094153630739934
211,sequence_53082,55.0,sequence_19476,62.2,0.4904086909962714
218,sequence_53082,55.0,sequence_19471,60.0,0.5166374688685387
160,sequence_53082,55.0,sequence_19501,57.2,0.5018638079561949
9,sequence_53082,55.0,sequence_19500,51.2,0.4990149721135719
236,sequence_53082,55.0,sequence_19520,58.7,0.4989564768295958
193,sequence_53082,55.0,sequence_19487,55.9,0.5484931128721443
209,sequence_53082,55.0,sequence_19481,63.1,0.513759043602627
99,sequence_53082,55.0,sequence_19515,50.4,0.46867114348977
149,sequence_53082,55.0,sequence_19466,56.9,0.49247546949479
219,sequence_53082,55.0,sequence_19475,59.1,0.4895955449569735
234,sequence_53082,55.0,sequence_19503,60.0,0.5089735226449904
222,sequence_53082,55.0,sequence_19483,60.6,0.4976618687712951
156,sequence_53082,55.0,sequence_19514,53.0,0.474736846176477
43,sequence_53082,55.0,sequence_19519,50.3,0.4827556745607456
192,sequence_53082,55.0,sequence_19499,53.3,0.4787078301990383
6,sequence_53082,55.0,sequence_19496,48.3,0.5394570053700362
205,sequence_53082,55.0,sequence_19474,64.4,0.5065394138879834
