,id_seq1,target_seq1,id_seq2,target_seq2,distance
10,sequence_47787,5.0,sequence_47795,7.0,0.0026187341107628
143,sequence_47787,5.0,sequence_47791,4.0,0.0008003197446697
27,sequence_47787,5.0,sequence_47773,19.0,0.0010002373040794
65,sequence_47787,5.0,sequence_47721,40.0,0.0027315771617459
12,sequence_47787,5.0,sequence_47685,24.0,0.0021709966551244
145,sequence_47787,5.0,sequence_47729,34.0,0.0027873467470421
16,sequence_47787,5.0,sequence_47686,22.0,0.0016203209364642
146,sequence_47787,5.0,sequence_47809,10.0,0.0036731767350483
138,sequence_47787,5.0,sequence_47802,4.0,0.0014514910842458
37,sequence_47787,5.0,sequence_47697,55.5,0.0023913586205391
31,sequence_47787,5.0,sequence_47696,47.0,0.0029424270146059
26,sequence_47787,5.0,sequence_47760,26.0,0.0036168235344845
14,sequence_47787,5.0,sequence_47695,52.0,0.0022621057793293
2,sequence_47787,5.0,sequence_47790,9.0,0.0015749044369748
139,sequence_47787,5.0,sequence_47794,18.0,0.0041707388070091
25,sequence_47787,5.0,sequence_47750,25.0,0.0026632563965666
38,sequence_47787,5.0,sequence_47678,37.0,0.0024894088082624
0,sequence_47787,5.0,sequence_47684,23.0,0.0014909140301285
137,sequence_47787,5.0,sequence_47805,22.0,0.0034901774148814
147,sequence_47787,5.0,sequence_47737,27.0,0.004537624021006
11,sequence_47787,5.0,sequence_47776,9.0,0.0009942036599505
7,sequence_47787,5.0,sequence_47786,18.0,0.0029318281251051
135,sequence_47787,5.0,sequence_47793,16.0,0.0027201711907598
141,sequence_47787,5.0,sequence_47808,4.0,0.0017600668459541
56,sequence_47787,5.0,sequence_47751,34.0,0.0033437477421661
142,sequence_47787,5.0,sequence_47792,12.0,0.0019198556256286
