,id_seq1,target_seq1,id_seq2,target_seq2,distance
108,sequence_47787,5.0,sequence_47667,86.0,5.8981841997807205
24,sequence_47787,5.0,sequence_47796,20.0,2.817218791918285
115,sequence_47787,5.0,sequence_47732,30.0,4.817218791918285
48,sequence_47787,5.0,sequence_47671,36.0,5.817218791918285
112,sequence_47787,5.0,sequence_47662,28.0,5.817218791918285
111,sequence_47787,5.0,sequence_47811,24.0,4.817218791918285
107,sequence_47787,5.0,sequence_47661,52.0,5.419359204775544
104,sequence_47787,5.0,sequence_47668,48.0,6.419359204775544
106,sequence_47787,5.0,sequence_47665,50.0,5.599938832342818
103,sequence_47787,5.0,sequence_47669,32.0,6.076801008909641
105,sequence_47787,5.0,sequence_47670,97.0,6.037238469763071
125,sequence_47787,5.0,sequence_47720,80.0,5.715754711877299
46,sequence_47787,5.0,sequence_47664,32.0,4.419359204775544
109,sequence_47787,5.0,sequence_47726,120.0,5.817218791918285
50,sequence_47787,5.0,sequence_47756,37.0,5.817218791918285
47,sequence_47787,5.0,sequence_47666,69.0,4.8981841997807205
51,sequence_47787,5.0,sequence_47775,23.0,4.817218791918285
49,sequence_47787,5.0,sequence_47727,45.0,4.817218791918285
113,sequence_47787,5.0,sequence_47731,32.0,4.817218791918285
62,sequence_47787,5.0,sequence_47748,79.0,4.817218791918285
110,sequence_47787,5.0,sequence_47734,110.0,5.997798419485559
53,sequence_47787,5.0,sequence_47758,22.0,4.817218791918285
