,id_seq1,target_seq1,id_seq2,target_seq2,distance
112,sequence_53082,55.0,sequence_19445,45.5,0.0204714253089585
57,sequence_53082,55.0,sequence_20040,47.2,0.0213701144681189
158,sequence_53082,55.0,sequence_19437,46.7,0.0253696864122239
152,sequence_53082,55.0,sequence_19529,48.8,0.0157956349150208
125,sequence_53082,55.0,sequence_19429,50.9,0.0192970744271506
59,sequence_53082,55.0,sequence_19432,51.0,0.0238110109086756
89,sequence_53082,55.0,sequence_19422,46.6,0.0170973750090895
82,sequence_53082,55.0,sequence_19378,52.4,0.0230686932979926
189,sequence_53082,55.0,sequence_19452,44.2,0.0121069029034971
93,sequence_53082,55.0,sequence_19488,51.3,0.020414714037134
2,sequence_53082,55.0,sequence_20048,39.8,0.0200677535090576
170,sequence_53082,55.0,sequence_20066,49.9,0.0234828785584353
45,sequence_53082,55.0,sequence_19446,39.5,0.0171716253558281
13,sequence_53082,55.0,sequence_19523,50.8,0.0145538702947528
164,sequence_53082,55.0,sequence_19489,49.1,0.0245203427614837
126,sequence_53082,55.0,sequence_19416,49.4,0.0187781461061404
30,sequence_53082,55.0,sequence_19430,45.7,0.0149566591268862
194,sequence_53082,55.0,sequence_19398,46.2,0.0166111428420254
1,sequence_53082,55.0,sequence_20054,49.0,0.0206472455323333
84,sequence_53082,55.0,sequence_19433,50.1,0.0210997139189133
155,sequence_53082,55.0,sequence_19421,53.0,0.016510624672388
4,sequence_53082,55.0,sequence_19525,48.8,0.0209329124222689
148,sequence_53082,55.0,sequence_19457,43.6,0.0221525080524133
168,sequence_53082,55.0,sequence_19372,49.2,0.0167842060796468
39,sequence_53082,55.0,sequence_19530,45.6,0.020117173865889
135,sequence_53082,55.0,sequence_19435,51.4,0.0186814747374622
90,sequence_53082,55.0,sequence_19495,58.9,0.0208827607895757
186,sequence_53082,55.0,sequence_19528,47.1,0.0132944969302786
86,sequence_53082,55.0,sequence_19393,53.7,0.0182162722211989
115,sequence_53082,55.0,sequence_19377,50.3,0.0204430079965529
32,sequence_53082,55.0,sequence_19369,47.9,0.0163341495475474
75,sequence_53082,55.0,sequence_20041,48.5,0.0206749208815206
