,id_seq1,target_seq1,id_seq2,target_seq2,distance
59,sequence_47787,5.0,sequence_47752,67.0,411.9454
137,sequence_47787,5.0,sequence_47805,22.0,403.2623
143,sequence_47787,5.0,sequence_47791,4.0,403.2623
116,sequence_47787,5.0,sequence_47755,100.0,403.2623
76,sequence_47787,5.0,sequence_47691,40.0,403.2623
139,sequence_47787,5.0,sequence_47794,18.0,403.2623
8,sequence_47787,5.0,sequence_47782,17.0,340.5388
61,sequence_47787,5.0,sequence_47747,72.0,218.4286
64,sequence_47787,5.0,sequence_47744,69.0,411.9454
29,sequence_47787,5.0,sequence_47771,18.0,242.3017
135,sequence_47787,5.0,sequence_47793,16.0,403.2623
80,sequence_47787,5.0,sequence_47698,56.0,403.2623
