id,label
sequence_47692,2
sequence_47704,0
sequence_47719,0
sequence_47663,2
sequence_47713,1
sequence_47761,0
sequence_47694,0
sequence_47764,0
sequence_47673,0
sequence_47795,1
sequence_47723,0
sequence_47791,0
sequence_47703,0
sequence_47677,0
sequence_47780,2
sequence_47773,1
sequence_47730,2
sequence_47688,2
sequence_47721,0
sequence_47711,0
sequence_47685,2
sequence_47722,0
sequence_47771,2
sequence_47729,0
sequence_47667,2
sequence_47796,2
sequence_47762,0
sequence_47672,0
sequence_47782,0
sequence_47812,0
sequence_47715,2
sequence_47772,0
sequence_47801,0
sequence_47763,0
sequence_47732,2
sequence_47689,2
sequence_47686,1
sequence_47809,0
sequence_47671,2
sequence_47797,2
sequence_47803,0
sequence_47787,0
sequence_47662,2
sequence_47712,0
sequence_47811,2
sequence_47802,0
sequence_47804,0
sequence_47697,2
sequence_47768,2
sequence_47661,2
sequence_47676,0
sequence_47668,2
sequence_47681,0
sequence_47696,2
sequence_47760,0
sequence_47799,2
sequence_47699,0
sequence_47744,2
sequence_47714,1
sequence_47728,0
sequence_47680,0
sequence_47781,1
sequence_47716,0
sequence_47665,2
sequence_47709,0
sequence_47741,2
sequence_47765,0
sequence_47695,2
sequence_47738,2
sequence_47784,2
sequence_47682,0
sequence_47736,0
sequence_47742,2
sequence_47790,2
sequence_47669,2
sequence_47746,0
sequence_47745,0
sequence_47798,2
sequence_47806,0
sequence_47759,2
sequence_47670,2
sequence_47794,0
sequence_47675,0
sequence_47800,0
sequence_47788,0
sequence_47766,0
sequence_47757,2
sequence_47733,2
sequence_47750,0
sequence_47678,2
sequence_47720,0
sequence_47706,0
sequence_47664,2
sequence_47684,1
sequence_47805,0
sequence_47789,0
sequence_47737,0
sequence_47810,2
sequence_47701,0
sequence_47785,2
sequence_47774,0
sequence_47776,0
sequence_47754,0
sequence_47718,2
sequence_47739,0
sequence_47690,0
sequence_47726,2
sequence_47786,0
sequence_47767,0
sequence_47793,0
sequence_47725,0
sequence_47756,2
sequence_47683,0
sequence_47753,0
sequence_47808,0
sequence_47666,2
sequence_47775,2
sequence_47749,2
sequence_47740,0
sequence_47743,2
sequence_47807,0
sequence_47708,0
sequence_47751,0
sequence_47778,0
sequence_47724,0
sequence_47707,0
sequence_47710,2
sequence_47769,0
sequence_47792,0
sequence_47779,2
sequence_47705,0
sequence_47727,2
sequence_47679,0
sequence_47777,1
sequence_47752,0
sequence_47693,0
sequence_47717,2
sequence_47702,0
sequence_47770,0
sequence_47731,2
sequence_47735,1
sequence_47691,2
sequence_47674,0
sequence_47783,2
sequence_47700,0
sequence_47748,2
sequence_47698,0
sequence_47747,0
sequence_47734,2
sequence_47755,2
sequence_47758,2
sequence_47687,0
