,id_seq1,target_seq1,id_seq2,target_seq2,distance
27,sequence_40826,539,sequence_40847,486,0.0134228187919463
34,sequence_40826,539,sequence_40861,464,0.0134228187919463
25,sequence_40826,539,sequence_40815,498,0.0134228187919463
37,sequence_40826,539,sequence_40853,463,0.0134228187919463
38,sequence_40826,539,sequence_40848,461,0.0134228187919463
39,sequence_40826,539,sequence_40849,464,0.0134228187919463
40,sequence_40826,539,sequence_40850,462,0.0134228187919463
35,sequence_40826,539,sequence_40812,464,0.0134228187919463
24,sequence_40826,539,sequence_40856,498,0.0134228187919463
28,sequence_40826,539,sequence_40858,495,0.0134228187919463
36,sequence_40826,539,sequence_40854,465,0.0134228187919463
32,sequence_40826,539,sequence_40791,454,0.0134228187919463
33,sequence_40826,539,sequence_40793,456,0.0134228187919463
31,sequence_40826,539,sequence_40846,483,0.0134228187919463
