,id_seq1,target_seq1,id_seq2,target_seq2,distance
27,sequence_40826,539,sequence_40847,486,365.6509000000001
34,sequence_40826,539,sequence_40861,464,329.0357
25,sequence_40826,539,sequence_40815,498,397.71400000000006
37,sequence_40826,539,sequence_40853,463,405.3884000000001
38,sequence_40826,539,sequence_40848,461,371.6604
39,sequence_40826,539,sequence_40849,464,368.2776
40,sequence_40826,539,sequence_40850,462,329.92920000000004
29,sequence_40826,539,sequence_40852,474,321.4293
35,sequence_40826,539,sequence_40812,464,364.9937000000001
24,sequence_40826,539,sequence_40856,498,363.9177000000001
28,sequence_40826,539,sequence_40858,495,391.9646000000001
36,sequence_40826,539,sequence_40854,465,365.6509
32,sequence_40826,539,sequence_40791,454,381.0701
33,sequence_40826,539,sequence_40793,456,378.6797
30,sequence_40826,539,sequence_40843,495,319.69610000000006
