,id_seq1,target_seq1,id_seq2,target_seq2,distance
49,sequence_47787,5.0,sequence_47727,45.0,5756.412256020545
115,sequence_47787,5.0,sequence_47732,30.0,6327.121977647977
23,sequence_47787,5.0,sequence_47783,24.5,5437.569218841924
112,sequence_47787,5.0,sequence_47662,28.0,6205.169828389306
110,sequence_47787,5.0,sequence_47734,110.0,6776.721293453565
111,sequence_47787,5.0,sequence_47811,24.0,5457.096121980203
54,sequence_47787,5.0,sequence_47797,27.0,6011.6873505482
51,sequence_47787,5.0,sequence_47775,23.0,5475.768030085236
109,sequence_47787,5.0,sequence_47726,120.0,6108.427155911677
50,sequence_47787,5.0,sequence_47756,37.0,5778.431628538955
