,id_seq1,target_seq1,id_seq2,target_seq2,distance
89,sequence_53082,55.0,sequence_19422,46.6,4.813524978640913
78,sequence_53082,55.0,sequence_20051,42.5,5.275988582246933
194,sequence_53082,55.0,sequence_19398,46.2,4.758868439030437
148,sequence_53082,55.0,sequence_19457,43.6,5.256634237798937
86,sequence_53082,55.0,sequence_19393,53.7,5.402383909904961
106,sequence_53082,55.0,sequence_19420,40.6,4.413433070751159
31,sequence_53082,55.0,sequence_20052,42.9,5.074349572112666
247,sequence_53082,55.0,sequence_19400,43.0,4.191708527557706
120,sequence_53082,55.0,sequence_19508,49.5,5.210776611984053
79,sequence_53082,55.0,sequence_19397,49.6,5.253349087011067
349,sequence_19402,43.0,sequence_19422,46.6,2.7772545436095704
338,sequence_19402,43.0,sequence_20051,42.5,2.951928552658413
454,sequence_19402,43.0,sequence_19398,46.2,2.694173008550118
408,sequence_19402,43.0,sequence_19457,43.6,3.805079141095492
346,sequence_19402,43.0,sequence_19393,53.7,4.001925038028573
366,sequence_19402,43.0,sequence_19420,40.6,3.485347978322968
291,sequence_19402,43.0,sequence_20052,42.9,3.3930762915089296
507,sequence_19402,43.0,sequence_19400,43.0,1.4367296405378425
380,sequence_19402,43.0,sequence_19508,49.5,2.979457631851811
339,sequence_19402,43.0,sequence_19397,49.6,3.503435050061581
609,sequence_20054,49.0,sequence_19422,46.6,5.358172305926714
598,sequence_20054,49.0,sequence_20051,42.5,4.363459389062765
714,sequence_20054,49.0,sequence_19398,46.2,5.046601196845259
668,sequence_20054,49.0,sequence_19457,43.6,3.5473736608933675
606,sequence_20054,49.0,sequence_19393,53.7,3.782516510208516
626,sequence_20054,49.0,sequence_19420,40.6,4.180632307438672
551,sequence_20054,49.0,sequence_20052,42.9,3.670021381409105
767,sequence_20054,49.0,sequence_19400,43.0,4.729642259198892
640,sequence_20054,49.0,sequence_19508,49.5,3.904083129237901
599,sequence_20054,49.0,sequence_19397,49.6,4.130905889753483
