,id_seq1,target_seq1,id_seq2,target_seq2,distance
64,sequence_40826,539,sequence_40823,546,0.0152273515794291
51,sequence_40826,539,sequence_40803,549,0.0415882184426032
65,sequence_40826,539,sequence_40834,546,0.0366964680159209
62,sequence_40826,539,sequence_40821,549,0.0170179117588996
63,sequence_40826,539,sequence_40822,549,0.016957238811172
59,sequence_40826,539,sequence_40836,543,0.0240237232495395
12,sequence_40826,539,sequence_40840,528,0.0285709947011503
79,sequence_40826,539,sequence_40867,622,0.033977009279657
15,sequence_40826,539,sequence_40844,519,0.0012021322926278
56,sequence_40826,539,sequence_40810,549,0.0129440477241384
69,sequence_40826,539,sequence_40798,579,0.0175901222940061
75,sequence_40826,539,sequence_40795,562,0.018477469049915
76,sequence_40826,539,sequence_40866,620,0.028676695293369
78,sequence_40826,539,sequence_40788,510,0.0285062317564817
68,sequence_40826,539,sequence_40830,558,0.0156971574985954
19,sequence_40826,539,sequence_40818,522,0.0378800373602046
61,sequence_40826,539,sequence_40820,543,0.0294391407488986
21,sequence_40826,539,sequence_40828,519,0.0234157013929353
43,sequence_40826,539,sequence_40860,535,0.0111410187226555
49,sequence_40826,539,sequence_40797,558,0.0092220055251545
52,sequence_40826,539,sequence_40804,561,0.0108100817199424
13,sequence_40826,539,sequence_40841,528,0.0159557344163043
16,sequence_40826,539,sequence_40838,531,0.0118632325007313
5,sequence_40826,539,sequence_40809,528,0.0416123474494501
48,sequence_40826,539,sequence_40825,532,0.0349357209012053
4,sequence_40826,539,sequence_40807,528,0.0482641112272532
1,sequence_40826,539,sequence_40789,510,0.0249462974067375
3,sequence_40826,539,sequence_40806,525,0.0235642070006845
14,sequence_40826,539,sequence_40842,522,0.0145277996401508
71,sequence_40826,539,sequence_40863,566,0.0407737306299345
77,sequence_40826,539,sequence_40799,597,0.0277885493381099
20,sequence_40826,539,sequence_40827,525,0.0260412340279087
53,sequence_40826,539,sequence_40805,564,0.0110042430444116
55,sequence_40826,539,sequence_40808,543,0.0401906013955735
74,sequence_40826,539,sequence_40796,567,0.0218675788206732
73,sequence_40826,539,sequence_40802,560,0.0296680612260876
54,sequence_40826,539,sequence_40864,549,0.0391210160648504
57,sequence_40826,539,sequence_40862,546,0.0295195038434644
42,sequence_40826,539,sequence_40790,523,0.0292346169359271
18,sequence_40826,539,sequence_40817,528,0.0008542297182947
7,sequence_40826,539,sequence_40813,528,0.0124456796554015
66,sequence_40826,539,sequence_40832,555,0.023465075861855
72,sequence_40826,539,sequence_40801,561,0.0167286683160518
45,sequence_40826,539,sequence_40835,535,0.0180534218886906
41,sequence_40826,539,sequence_40792,517,0.0168162967804784
2,sequence_40826,539,sequence_40794,519,0.0161118424422584
30,sequence_40826,539,sequence_40843,495,0.0236554239791102
70,sequence_40826,539,sequence_40865,580,0.0396481209139079
