,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,3910.3788845549047
153,sequence_53082,55.0,sequence_19426,56.3,4107.766365926803
235,sequence_53082,55.0,sequence_19517,61.6,4036.952819906007
21,sequence_53082,55.0,sequence_19447,51.0,4007.3527247709817
57,sequence_53082,55.0,sequence_20040,47.2,4343.226066025066
67,sequence_53082,55.0,sequence_19526,49.3,4187.046474978287
158,sequence_53082,55.0,sequence_19437,46.7,4300.354318324604
152,sequence_53082,55.0,sequence_19529,48.8,4143.830870502593
223,sequence_53082,55.0,sequence_19472,59.9,4057.25216114868
85,sequence_53082,55.0,sequence_20062,57.9,4040.1945799857176
171,sequence_53082,55.0,sequence_19524,46.4,4157.203501967059
227,sequence_53082,55.0,sequence_19478,60.1,4070.350335685834
100,sequence_53082,55.0,sequence_20057,51.9,3975.128118507381
59,sequence_53082,55.0,sequence_19432,51.0,4329.2821056071625
220,sequence_53082,55.0,sequence_19353,64.3,4155.645862642021
89,sequence_53082,55.0,sequence_19422,46.6,4269.399056015439
82,sequence_53082,55.0,sequence_19378,52.4,4318.259473318969
189,sequence_53082,55.0,sequence_19452,44.2,4264.642020706459
19,sequence_53082,55.0,sequence_19417,47.9,4282.379592346108
93,sequence_53082,55.0,sequence_19488,51.3,4162.538322696355
2,sequence_53082,55.0,sequence_20048,39.8,4335.156393134782
0,sequence_53082,55.0,sequence_19402,43.0,4287.713214306191
122,sequence_53082,55.0,sequence_20073,51.0,4031.518390939544
195,sequence_53082,55.0,sequence_19424,50.9,4059.6189476979152
170,sequence_53082,55.0,sequence_20066,49.9,4265.221128738446
45,sequence_53082,55.0,sequence_19446,39.5,4263.415595062103
250,sequence_53082,55.0,sequence_53098,42.0,4148.371103707964
13,sequence_53082,55.0,sequence_19523,50.8,4142.985409892417
103,sequence_53082,55.0,sequence_19389,44.0,4281.475230804764
212,sequence_53082,55.0,sequence_19480,62.8,4059.222561901143
164,sequence_53082,55.0,sequence_19489,49.1,4148.011358485081
78,sequence_53082,55.0,sequence_20051,42.5,4323.230169728208
242,sequence_53082,55.0,sequence_53088,48.0,3996.321183745482
91,sequence_53082,55.0,sequence_19431,50.5,4367.447963478211
182,sequence_53082,55.0,sequence_20053,54.7,4179.308441288291
114,sequence_53082,55.0,sequence_19428,49.3,4117.769589717443
22,sequence_53082,55.0,sequence_53079,47.8,4004.622790246957
72,sequence_53082,55.0,sequence_19439,49.5,4099.564247207999
49,sequence_53082,55.0,sequence_19490,52.9,4223.066992836734
166,sequence_53082,55.0,sequence_19408,51.1,4058.304564722997
126,sequence_53082,55.0,sequence_19416,49.4,4252.309079711429
30,sequence_53082,55.0,sequence_19430,45.7,4313.79203306717
194,sequence_53082,55.0,sequence_19398,46.2,4326.194954530741
204,sequence_53082,55.0,sequence_19360,63.5,4201.705031092292
1,sequence_53082,55.0,sequence_20054,49.0,4353.231609701225
145,sequence_53082,55.0,sequence_19469,50.5,3925.7679822182536
74,sequence_53082,55.0,sequence_19451,51.0,4103.297090130511
37,sequence_53082,55.0,sequence_19506,49.3,4289.148922264152
123,sequence_53082,55.0,sequence_19442,47.4,4070.0241539956232
154,sequence_53082,55.0,sequence_19491,48.8,4206.621591327972
136,sequence_53082,55.0,sequence_53069,50.9,3959.385595971208
34,sequence_53082,55.0,sequence_20072,48.7,3999.5622351624447
84,sequence_53082,55.0,sequence_19433,50.1,4271.620798231153
52,sequence_53082,55.0,sequence_19405,48.7,4087.929346616673
64,sequence_53082,55.0,sequence_19392,50.5,4439.657149410855
155,sequence_53082,55.0,sequence_19421,53.0,4356.7224741007885
71,sequence_53082,55.0,sequence_19390,46.3,4311.421257865512
10,sequence_53082,55.0,sequence_19453,47.3,4244.808906712007
3,sequence_53082,55.0,sequence_20036,52.9,4122.45965749923
180,sequence_53082,55.0,sequence_53067,40.9,4201.897352353244
101,sequence_53082,55.0,sequence_19438,56.1,4145.074096471738
4,sequence_53082,55.0,sequence_19525,48.8,4173.600005960392
29,sequence_53082,55.0,sequence_53059,47.1,4210.222448680758
40,sequence_53082,55.0,sequence_19498,63.2,4082.212083840603
56,sequence_53082,55.0,sequence_19354,60.0,4078.5810787924615
148,sequence_53082,55.0,sequence_19457,43.6,4325.041738846507
168,sequence_53082,55.0,sequence_19372,49.2,4315.610004039906
190,sequence_53082,55.0,sequence_19407,49.2,4054.924271888079
201,sequence_53082,55.0,sequence_19366,60.0,4187.328721658059
196,sequence_53082,55.0,sequence_20037,57.8,4197.7299416707965
39,sequence_53082,55.0,sequence_19530,45.6,4127.0697437734025
179,sequence_53082,55.0,sequence_19456,48.0,4338.976042865292
185,sequence_53082,55.0,sequence_20047,49.9,4176.86133426098
135,sequence_53082,55.0,sequence_19435,51.4,4387.293384347287
42,sequence_53082,55.0,sequence_19386,50.7,4117.004316397327
238,sequence_53082,55.0,sequence_19411,58.0,4151.228134965333
200,sequence_53082,55.0,sequence_19364,57.1,4198.116943510867
142,sequence_53082,55.0,sequence_19387,47.7,4129.912989072091
210,sequence_53082,55.0,sequence_19465,62.9,4026.531822737591
90,sequence_53082,55.0,sequence_19495,58.9,4269.133376007787
107,sequence_53082,55.0,sequence_20076,55.7,4017.819372152729
111,sequence_53082,55.0,sequence_19492,58.5,4307.832163153901
186,sequence_53082,55.0,sequence_19528,47.1,4169.235588125876
211,sequence_53082,55.0,sequence_19476,62.2,4012.723744052361
86,sequence_53082,55.0,sequence_19393,53.7,4426.03982658543
214,sequence_53082,55.0,sequence_19464,62.2,4041.4954629831072
62,sequence_53082,55.0,sequence_19505,42.4,4240.4865932854855
144,sequence_53082,55.0,sequence_19448,46.3,4003.8444180800993
115,sequence_53082,55.0,sequence_19377,50.3,4302.414301984831
121,sequence_53082,55.0,sequence_53080,50.4,3886.964724114532
106,sequence_53082,55.0,sequence_19420,40.6,4309.936827664178
162,sequence_53082,55.0,sequence_19395,49.7,4364.154830891292
181,sequence_53082,55.0,sequence_19502,59.9,4067.413447434436
160,sequence_53082,55.0,sequence_19501,57.2,4032.257922341536
75,sequence_53082,55.0,sequence_20041,48.5,4342.269772443964
87,sequence_53082,55.0,sequence_20065,46.5,4219.855287142479
119,sequence_53082,55.0,sequence_19412,55.3,4074.0797867884103
7,sequence_53082,55.0,sequence_19477,61.5,3995.4126486160576
33,sequence_53082,55.0,sequence_53064,48.4,4003.540024740679
133,sequence_53082,55.0,sequence_19396,43.1,4350.301176952839
177,sequence_53082,55.0,sequence_53073,53.8,3828.4458711825914
169,sequence_53082,55.0,sequence_19507,46.0,4244.944365799135
31,sequence_53082,55.0,sequence_20052,42.9,4338.999326277153
23,sequence_53082,55.0,sequence_20042,49.4,4401.053550118046
165,sequence_53082,55.0,sequence_19440,48.5,4099.233197730679
109,sequence_53082,55.0,sequence_19399,47.5,4310.143056935213
46,sequence_53082,55.0,sequence_20063,48.9,3961.140856509792
92,sequence_53082,55.0,sequence_20058,54.9,4053.1354028750234
130,sequence_53082,55.0,sequence_20059,52.3,3991.232106457154
97,sequence_53082,55.0,sequence_53074,48.3,3796.796990319172
27,sequence_53082,55.0,sequence_53085,51.2,3722.9229646262634
28,sequence_53082,55.0,sequence_19509,50.6,4276.922272787622
25,sequence_53082,55.0,sequence_19425,56.9,4087.752851475934
9,sequence_53082,55.0,sequence_19500,51.2,4000.222598994479
105,sequence_53082,55.0,sequence_20068,50.6,4000.600449539623
225,sequence_53082,55.0,sequence_19362,61.0,4142.268202598287
15,sequence_53082,55.0,sequence_20069,53.4,4061.338564976093
146,sequence_53082,55.0,sequence_19449,54.3,4132.599353040628
