,id_seq1,target_seq1,id_seq2,target_seq2,distance
51,sequence_40826,539,sequence_40803,549,25.95695208348589
48,sequence_40826,539,sequence_40825,532,24.114768617842135
8,sequence_40826,539,sequence_40814,510,24.637106776421863
17,sequence_40826,539,sequence_40816,531,25.31275990241704
69,sequence_40826,539,sequence_40798,579,36.04318527743132
62,sequence_40826,539,sequence_40821,549,26.67708768958873
47,sequence_40826,539,sequence_40824,523,33.2181319467961
22,sequence_40826,539,sequence_40829,528,28.690324866043703
14,sequence_40826,539,sequence_40842,522,22.51352897871979
6,sequence_40826,539,sequence_40811,534,27.819553453437443
64,sequence_40826,539,sequence_40823,546,36.91134387371394
79,sequence_40826,539,sequence_40867,622,50.294731245928666
54,sequence_40826,539,sequence_40864,549,16.347355404247
45,sequence_40826,539,sequence_40835,535,34.32012299707275
41,sequence_40826,539,sequence_40792,517,35.40403765346792
20,sequence_40826,539,sequence_40827,525,36.45579860580327
76,sequence_40826,539,sequence_40866,620,44.26873261358212
52,sequence_40826,539,sequence_40804,561,16.77548474835527
77,sequence_40826,539,sequence_40799,597,43.67355402032376
19,sequence_40826,539,sequence_40818,522,36.28406875431202
43,sequence_40826,539,sequence_40860,535,38.14948405574537
9,sequence_40826,539,sequence_40845,495,30.969911194898597
58,sequence_40826,539,sequence_40859,543,32.216243833728925
2,sequence_40826,539,sequence_40794,519,50.362614579898256
67,sequence_40826,539,sequence_40833,549,46.89029042604778
63,sequence_40826,539,sequence_40822,549,32.22092199855139
61,sequence_40826,539,sequence_40820,543,29.276091155937017
1,sequence_40826,539,sequence_40789,510,34.2839717016649
65,sequence_40826,539,sequence_40834,546,37.311387900866336
16,sequence_40826,539,sequence_40838,531,33.27081279562219
68,sequence_40826,539,sequence_40830,558,27.162603019959707
75,sequence_40826,539,sequence_40795,562,33.949779411338405
78,sequence_40826,539,sequence_40788,510,48.61159608430636
74,sequence_40826,539,sequence_40796,567,42.958570191525055
50,sequence_40826,539,sequence_40800,558,39.32286228214693
42,sequence_40826,539,sequence_40790,523,36.22810265856555
70,sequence_40826,539,sequence_40865,580,34.4524507967281
21,sequence_40826,539,sequence_40828,519,48.83403087555557
0,sequence_40826,539,sequence_40787,510,33.095954801783606
71,sequence_40826,539,sequence_40863,566,32.54720550978087
72,sequence_40826,539,sequence_40801,561,44.757293496641104
