,id_seq1,target_seq1,id_seq2,target_seq2,distance
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,149248.2021
3,sequence_51016,-4.626935645431157,sequence_51191,-4.187052068679792,122159.4508
118,sequence_51016,-4.626935645431157,sequence_51194,-5.951019832085327,148771.5905
99,sequence_51016,-4.626935645431157,sequence_51189,-4.558817450583756,126060.5956
130,sequence_51016,-4.626935645431157,sequence_51135,-7.603076627631569,154331.6754
246,sequence_51016,-4.626935645431157,sequence_51146,-3.958357370465748,133767.6385
119,sequence_51016,-4.626935645431157,sequence_51154,-7.492004982128037,150457.1076
28,sequence_51016,-4.626935645431157,sequence_51187,-6.886468446878718,141588.5589
110,sequence_51016,-4.626935645431157,sequence_51195,-4.719117050535875,156170.9841
200,sequence_51016,-4.626935645431157,sequence_51193,-5.950238637114008,148343.8042
24,sequence_51016,-4.626935645431157,sequence_51192,-5.696734269383801,145201.0001
131,sequence_51016,-4.626935645431157,sequence_51190,-8.743963500717465,135432.3515
128,sequence_51016,-4.626935645431157,sequence_51128,-7.354080449503878,150890.4757
19,sequence_51016,-4.626935645431157,sequence_51182,-5.384437728556348,148577.838
31,sequence_51016,-4.626935645431157,sequence_51137,-8.113936450186205,144406.4627
129,sequence_51016,-4.626935645431157,sequence_51134,-7.793345450173909,144959.8225
23,sequence_51016,-4.626935645431157,sequence_51202,-6.673839708394163,145271.8926
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,157310.6787
250,sequence_51170,-5.599110392902725,sequence_51191,-4.187052068679792,149197.20880000002
365,sequence_51170,-5.599110392902725,sequence_51194,-5.951019832085327,122359.6131
346,sequence_51170,-5.599110392902725,sequence_51189,-4.558817450583756,147254.8548
377,sequence_51170,-5.599110392902725,sequence_51135,-7.603076627631569,108205.2112
493,sequence_51170,-5.599110392902725,sequence_51146,-3.958357370465748,141571.73129999998
366,sequence_51170,-5.599110392902725,sequence_51154,-7.492004982128037,94038.3666
275,sequence_51170,-5.599110392902725,sequence_51187,-6.886468446878718,144781.4293
357,sequence_51170,-5.599110392902725,sequence_51195,-4.719117050535875,103140.7989
447,sequence_51170,-5.599110392902725,sequence_51193,-5.950238637114008,122904.7738
271,sequence_51170,-5.599110392902725,sequence_51192,-5.696734269383801,144325.17690000002
378,sequence_51170,-5.599110392902725,sequence_51190,-8.743963500717465,146622.6171
375,sequence_51170,-5.599110392902725,sequence_51128,-7.354080449503878,118840.0385
266,sequence_51170,-5.599110392902725,sequence_51182,-5.384437728556348,114010.5232
278,sequence_51170,-5.599110392902725,sequence_51137,-8.113936450186205,122089.7731
376,sequence_51170,-5.599110392902725,sequence_51134,-7.793345450173909,127291.2061
270,sequence_51170,-5.599110392902725,sequence_51202,-6.673839708394163,127034.0832
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,157081.5794
497,sequence_32130,-5.7157882520247325,sequence_51191,-4.187052068679792,167228.8015
612,sequence_32130,-5.7157882520247325,sequence_51194,-5.951019832085327,168777.7582
593,sequence_32130,-5.7157882520247325,sequence_51189,-4.558817450583756,169267.4941
624,sequence_32130,-5.7157882520247325,sequence_51135,-7.603076627631569,143854.0765
740,sequence_32130,-5.7157882520247325,sequence_51146,-3.958357370465748,167283.466
613,sequence_32130,-5.7157882520247325,sequence_51154,-7.492004982128037,154279.65509999997
522,sequence_32130,-5.7157882520247325,sequence_51187,-6.886468446878718,161504.44160000002
604,sequence_32130,-5.7157882520247325,sequence_51195,-4.719117050535875,173225.50179999997
694,sequence_32130,-5.7157882520247325,sequence_51193,-5.950238637114008,166152.0559
518,sequence_32130,-5.7157882520247325,sequence_51192,-5.696734269383801,151930.794
625,sequence_32130,-5.7157882520247325,sequence_51190,-8.743963500717465,161636.88319999998
622,sequence_32130,-5.7157882520247325,sequence_51128,-7.354080449503878,130724.0664
513,sequence_32130,-5.7157882520247325,sequence_51182,-5.384437728556348,157937.83370000002
525,sequence_32130,-5.7157882520247325,sequence_51137,-8.113936450186205,144682.1784
623,sequence_32130,-5.7157882520247325,sequence_51134,-7.793345450173909,143491.9278
517,sequence_32130,-5.7157882520247325,sequence_51202,-6.673839708394163,154760.35470000005
