,id_seq1,target_seq1,id_seq2,target_seq2,distance
67,sequence_53082,55.0,sequence_19526,49.3,0.0448999999999999
158,sequence_53082,55.0,sequence_19437,46.7,0.0442
125,sequence_53082,55.0,sequence_19429,50.9,0.0468
89,sequence_53082,55.0,sequence_19422,46.6,0.0443999999999999
82,sequence_53082,55.0,sequence_19378,52.4,0.0458
170,sequence_53082,55.0,sequence_20066,49.9,0.0449999999999999
250,sequence_53082,55.0,sequence_53098,42.0,0.0460999999999999
78,sequence_53082,55.0,sequence_20051,42.5,0.0450999999999999
49,sequence_53082,55.0,sequence_19490,52.9,0.0459999999999999
194,sequence_53082,55.0,sequence_19398,46.2,0.0460999999999999
154,sequence_53082,55.0,sequence_19491,48.8,0.0457
155,sequence_53082,55.0,sequence_19421,53.0,0.0464
10,sequence_53082,55.0,sequence_19453,47.3,0.0469
148,sequence_53082,55.0,sequence_19457,43.6,0.0458
179,sequence_53082,55.0,sequence_19456,48.0,0.0453
135,sequence_53082,55.0,sequence_19435,51.4,0.0455999999999999
90,sequence_53082,55.0,sequence_19495,58.9,0.0464
117,sequence_53082,55.0,sequence_19521,53.0,0.0441
111,sequence_53082,55.0,sequence_19492,58.5,0.0458
186,sequence_53082,55.0,sequence_19528,47.1,0.0448
38,sequence_53082,55.0,sequence_20064,47.3,0.0459999999999999
115,sequence_53082,55.0,sequence_19377,50.3,0.0453999999999999
32,sequence_53082,55.0,sequence_19369,47.9,0.0463
106,sequence_53082,55.0,sequence_19420,40.6,0.0455999999999999
162,sequence_53082,55.0,sequence_19395,49.7,0.0459999999999999
75,sequence_53082,55.0,sequence_20041,48.5,0.0460999999999999
133,sequence_53082,55.0,sequence_19396,43.1,0.0467
169,sequence_53082,55.0,sequence_19507,46.0,0.0460999999999999
31,sequence_53082,55.0,sequence_20052,42.9,0.0454999999999999
23,sequence_53082,55.0,sequence_20042,49.4,0.0457
109,sequence_53082,55.0,sequence_19399,47.5,0.0463
187,sequence_53082,55.0,sequence_19455,44.5,0.0452
163,sequence_53082,55.0,sequence_19510,47.8,0.0448999999999999
58,sequence_53082,55.0,sequence_19370,51.7,0.0464
134,sequence_53082,55.0,sequence_19527,50.1,0.0455999999999999
18,sequence_53082,55.0,sequence_53066,39.2,0.0449999999999999
61,sequence_53082,55.0,sequence_19434,48.0,0.0467
50,sequence_53082,55.0,sequence_19376,53.0,0.0453
6,sequence_53082,55.0,sequence_19496,48.3,0.0444999999999999
175,sequence_53082,55.0,sequence_19493,50.4,0.0449999999999999
150,sequence_53082,55.0,sequence_19494,60.0,0.0458999999999999
