,id_seq1,target_seq1,id_seq2,target_seq2,distance
17,sequence_40826,539,sequence_40816,531,0.0065113151799844
64,sequence_40826,539,sequence_40823,546,0.0025174843097742
10,sequence_40826,539,sequence_40855,522,0.0008170769183877
51,sequence_40826,539,sequence_40803,549,0.00191529376783
65,sequence_40826,539,sequence_40834,546,0.0038822894071364
62,sequence_40826,539,sequence_40821,549,0.0042349638524535
63,sequence_40826,539,sequence_40822,549,0.0037816758112595
59,sequence_40826,539,sequence_40836,543,0.0023427483348244
79,sequence_40826,539,sequence_40867,622,0.0085817723508015
44,sequence_40826,539,sequence_40839,538,0.0008170769183877
56,sequence_40826,539,sequence_40810,549,0.0024364342302695
69,sequence_40826,539,sequence_40798,579,0.0044701641330199
75,sequence_40826,539,sequence_40795,562,0.0064001577863344
76,sequence_40826,539,sequence_40866,620,0.0062171512349577
58,sequence_40826,539,sequence_40859,543,0.0052588198801745
78,sequence_40826,539,sequence_40788,510,0.005350895144169
19,sequence_40826,539,sequence_40818,522,0.0078189411690767
61,sequence_40826,539,sequence_40820,543,0.0038789237298043
43,sequence_40826,539,sequence_40860,535,0.0010717734258346
49,sequence_40826,539,sequence_40797,558,0.0021491301253678
52,sequence_40826,539,sequence_40804,561,0.0010735241903555
16,sequence_40826,539,sequence_40838,531,0.0014992010762032
5,sequence_40826,539,sequence_40809,528,0.0011601984981695
60,sequence_40826,539,sequence_40837,543,0.0051311124179674
47,sequence_40826,539,sequence_40824,523,0.0018669957033796
50,sequence_40826,539,sequence_40800,558,0.0007219635515636
4,sequence_40826,539,sequence_40807,528,0.0004392853136693
67,sequence_40826,539,sequence_40833,549,0.0007209225918939
1,sequence_40826,539,sequence_40789,510,0.0008733557726789
3,sequence_40826,539,sequence_40806,525,0.0025653394684081
14,sequence_40826,539,sequence_40842,522,0.0025544103134498
71,sequence_40826,539,sequence_40863,566,0.0054067206253364
77,sequence_40826,539,sequence_40799,597,0.0068327100284361
6,sequence_40826,539,sequence_40811,534,0.0023016265664783
53,sequence_40826,539,sequence_40805,564,0.0013868369494753
55,sequence_40826,539,sequence_40808,543,0.0002649308815683
0,sequence_40826,539,sequence_40787,510,0.0065668834551886
74,sequence_40826,539,sequence_40796,567,0.0087409477958385
73,sequence_40826,539,sequence_40802,560,0.0045733528068199
54,sequence_40826,539,sequence_40864,549,0.0011618890525237
57,sequence_40826,539,sequence_40862,546,0.0038510311689771
42,sequence_40826,539,sequence_40790,523,0.0038789237298043
18,sequence_40826,539,sequence_40817,528,0.0008184143333106
7,sequence_40826,539,sequence_40813,528,0.0003532935218098
46,sequence_40826,539,sequence_40819,532,0.001393261415071
66,sequence_40826,539,sequence_40832,555,0.0017439309279544
45,sequence_40826,539,sequence_40835,535,0.0042618518694576
41,sequence_40826,539,sequence_40792,517,0.0042349638524535
2,sequence_40826,539,sequence_40794,519,0.0026205103179668
