,id_seq1,target_seq1,id_seq2,target_seq2,distance
18,sequence_47787,5.0,sequence_47780,23.0,105.8303332271991
129,sequence_47787,5.0,sequence_47722,75.0,113.45920728817032
43,sequence_47787,5.0,sequence_47804,23.0,94.75325744242252
30,sequence_47787,5.0,sequence_47681,44.0,122.20221305070544
32,sequence_47787,5.0,sequence_47680,73.0,118.35758415433293
19,sequence_47787,5.0,sequence_47785,25.0,78.03591983811046
119,sequence_47787,5.0,sequence_47753,74.0,117.12369089176624
42,sequence_47787,5.0,sequence_47807,42.0,106.03976007837817
17,sequence_47787,5.0,sequence_47778,26.0,105.8303332271991
4,sequence_47787,5.0,sequence_47777,11.0,105.73704302301064
