,id_seq1,target_seq1,id_seq2,target_seq2,distance
122,sequence_53082,55.0,sequence_20073,51.0,0.0503870022922578
46,sequence_53082,55.0,sequence_20063,48.9,0.0469451807963288
92,sequence_53082,55.0,sequence_20058,54.9,0.0513947468132687
15,sequence_53082,55.0,sequence_20069,53.4,0.0505232619691167
73,sequence_53082,55.0,sequence_20071,44.9,0.0422590818641389
108,sequence_53082,55.0,sequence_20070,51.8,0.0413415045686535
161,sequence_53082,55.0,sequence_20074,47.1,0.0459104563253296
54,sequence_53082,55.0,sequence_20067,50.8,0.0515730549802898
382,sequence_19402,43.0,sequence_20073,51.0,0.0423564634973223
306,sequence_19402,43.0,sequence_20063,48.9,0.0460159754867806
352,sequence_19402,43.0,sequence_20058,54.9,0.0483392180325664
275,sequence_19402,43.0,sequence_20069,53.4,0.0464077579721321
333,sequence_19402,43.0,sequence_20071,44.9,0.0452182485286637
368,sequence_19402,43.0,sequence_20070,51.8,0.0505477991607943
421,sequence_19402,43.0,sequence_20074,47.1,0.0437386556720711
314,sequence_19402,43.0,sequence_20067,50.8,0.0489440496894157
642,sequence_20054,49.0,sequence_20073,51.0,0.055776876929423
566,sequence_20054,49.0,sequence_20063,48.9,0.0517530675419341
612,sequence_20054,49.0,sequence_20058,54.9,0.0464487890046662
535,sequence_20054,49.0,sequence_20069,53.4,0.0497669569091782
593,sequence_20054,49.0,sequence_20071,44.9,0.0450088880111473
628,sequence_20054,49.0,sequence_20070,51.8,0.0455821236890077
681,sequence_20054,49.0,sequence_20074,47.1,0.054611537242601
574,sequence_20054,49.0,sequence_20067,50.8,0.0478410911246806
