,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,8766.73093216307
153,sequence_53082,55.0,sequence_19426,56.3,9240.061209183856
235,sequence_53082,55.0,sequence_19517,61.6,8456.02920538993
21,sequence_53082,55.0,sequence_19447,51.0,9086.303909498802
57,sequence_53082,55.0,sequence_20040,47.2,9742.009187422183
67,sequence_53082,55.0,sequence_19526,49.3,8614.322797034141
158,sequence_53082,55.0,sequence_19437,46.7,9362.27250813814
152,sequence_53082,55.0,sequence_19529,48.8,9027.164560052232
223,sequence_53082,55.0,sequence_19472,59.9,9301.269389886507
85,sequence_53082,55.0,sequence_20062,57.9,9280.973496461864
171,sequence_53082,55.0,sequence_19524,46.4,9372.173982308064
131,sequence_53082,55.0,sequence_19467,64.4,8646.07120998339
100,sequence_53082,55.0,sequence_20057,51.9,9406.936988122112
59,sequence_53082,55.0,sequence_19432,51.0,9716.886155002863
220,sequence_53082,55.0,sequence_19353,64.3,9084.988111079869
89,sequence_53082,55.0,sequence_19422,46.6,9401.467867383306
82,sequence_53082,55.0,sequence_19378,52.4,9255.52540520898
189,sequence_53082,55.0,sequence_19452,44.2,8910.40587424363
19,sequence_53082,55.0,sequence_19417,47.9,9755.56578118395
93,sequence_53082,55.0,sequence_19488,51.3,8570.262325460253
2,sequence_53082,55.0,sequence_20048,39.8,9956.539490341263
0,sequence_53082,55.0,sequence_19402,43.0,9488.733256689104
122,sequence_53082,55.0,sequence_20073,51.0,9761.371425465888
195,sequence_53082,55.0,sequence_19424,50.9,9045.323650629967
170,sequence_53082,55.0,sequence_20066,49.9,9533.983144069018
45,sequence_53082,55.0,sequence_19446,39.5,9761.606437817216
250,sequence_53082,55.0,sequence_53098,42.0,8140.940604985977
13,sequence_53082,55.0,sequence_19523,50.8,9168.835916694665
103,sequence_53082,55.0,sequence_19389,44.0,9468.388652071064
212,sequence_53082,55.0,sequence_19480,62.8,8372.190154628817
164,sequence_53082,55.0,sequence_19489,49.1,9131.241619019958
78,sequence_53082,55.0,sequence_20051,42.5,9969.24780335902
242,sequence_53082,55.0,sequence_53088,48.0,7938.398763015293
91,sequence_53082,55.0,sequence_19431,50.5,8761.69621793698
182,sequence_53082,55.0,sequence_20053,54.7,9480.346595481758
114,sequence_53082,55.0,sequence_19428,49.3,8572.815817146791
22,sequence_53082,55.0,sequence_53079,47.8,8703.770440026228
72,sequence_53082,55.0,sequence_19439,49.5,8781.019091517985
49,sequence_53082,55.0,sequence_19490,52.9,9081.080112408734
166,sequence_53082,55.0,sequence_19408,51.1,9409.58618541138
126,sequence_53082,55.0,sequence_19416,49.4,9491.64599896114
30,sequence_53082,55.0,sequence_19430,45.7,8930.80048597569
194,sequence_53082,55.0,sequence_19398,46.2,9481.222619722004
1,sequence_53082,55.0,sequence_20054,49.0,9907.36594487721
145,sequence_53082,55.0,sequence_19469,50.5,8845.819838364381
74,sequence_53082,55.0,sequence_19451,51.0,9260.177838836213
37,sequence_53082,55.0,sequence_19506,49.3,9590.221954865585
123,sequence_53082,55.0,sequence_19442,47.4,8604.34930620602
154,sequence_53082,55.0,sequence_19491,48.8,9243.838920181386
34,sequence_53082,55.0,sequence_20072,48.7,9163.751942338597
84,sequence_53082,55.0,sequence_19433,50.1,9540.546571896362
52,sequence_53082,55.0,sequence_19405,48.7,9416.959074408049
64,sequence_53082,55.0,sequence_19392,50.5,8993.66242038993
231,sequence_53082,55.0,sequence_19482,59.3,8091.329129197757
155,sequence_53082,55.0,sequence_19421,53.0,8770.34218409267
71,sequence_53082,55.0,sequence_19390,46.3,8668.557666962804
10,sequence_53082,55.0,sequence_19453,47.3,8698.220598712032
3,sequence_53082,55.0,sequence_20036,52.9,9425.898333744644
180,sequence_53082,55.0,sequence_53067,40.9,9356.18312649854
101,sequence_53082,55.0,sequence_19438,56.1,9509.104085509072
4,sequence_53082,55.0,sequence_19525,48.8,9219.552734207748
29,sequence_53082,55.0,sequence_53059,47.1,9025.727230810187
40,sequence_53082,55.0,sequence_19498,63.2,9004.101014450733
148,sequence_53082,55.0,sequence_19457,43.6,9615.693104633949
168,sequence_53082,55.0,sequence_19372,49.2,8785.848149481564
196,sequence_53082,55.0,sequence_20037,57.8,9282.028105167154
39,sequence_53082,55.0,sequence_19530,45.6,9346.88024430802
179,sequence_53082,55.0,sequence_19456,48.0,8820.578606239238
185,sequence_53082,55.0,sequence_20047,49.9,9521.606068066492
135,sequence_53082,55.0,sequence_19435,51.4,8868.622595605068
42,sequence_53082,55.0,sequence_19386,50.7,9292.83034512864
238,sequence_53082,55.0,sequence_19411,58.0,9004.471873370885
142,sequence_53082,55.0,sequence_19387,47.7,8750.16423285256
210,sequence_53082,55.0,sequence_19465,62.9,8862.953769672853
90,sequence_53082,55.0,sequence_19495,58.9,9216.97538867368
107,sequence_53082,55.0,sequence_20076,55.7,9050.896850369048
111,sequence_53082,55.0,sequence_19492,58.5,8376.46772340923
