,id_seq1,target_seq1,id_seq2,target_seq2,distance
47,sequence_47787,5.0,sequence_47666,69.0,867.4757
107,sequence_47787,5.0,sequence_47661,52.0,866.6131999999998
81,sequence_47787,5.0,sequence_47688,90.0,645.3238999999999
21,sequence_47787,5.0,sequence_47663,36.0,716.7943999999998
113,sequence_47787,5.0,sequence_47731,32.0,783.7591000000002
114,sequence_47787,5.0,sequence_47733,25.0,854.8581999999997
105,sequence_47787,5.0,sequence_47670,97.0,899.9143999999997
46,sequence_47787,5.0,sequence_47664,32.0,858.5299999999997
104,sequence_47787,5.0,sequence_47668,48.0,922.0063999999998
53,sequence_47787,5.0,sequence_47758,22.0,771.5843000000004
48,sequence_47787,5.0,sequence_47671,36.0,846.9090999999999
52,sequence_47787,5.0,sequence_47730,35.0,752.1887999999999
22,sequence_47787,5.0,sequence_47757,36.0,587.9503
103,sequence_47787,5.0,sequence_47669,32.0,957.2668
119,sequence_47787,5.0,sequence_47753,74.0,987.3575
6,sequence_47787,5.0,sequence_47784,21.0,401.9690000000001
