,id_seq1,target_seq1,id_seq2,target_seq2,distance
63,sequence_40826,539,sequence_40822,549,8.073137351805038e-05
59,sequence_40826,539,sequence_40836,543,5.935699726311583e-05
44,sequence_40826,539,sequence_40839,538,4.1650314976382496e-05
69,sequence_40826,539,sequence_40798,579,6.147232541842129e-05
76,sequence_40826,539,sequence_40866,620,0.0001309581544426
58,sequence_40826,539,sequence_40859,543,5.3579075119158937e-05
68,sequence_40826,539,sequence_40830,558,5.074456770226554e-05
61,sequence_40826,539,sequence_40820,543,1.983439475627957e-05
21,sequence_40826,539,sequence_40828,519,0.0002116074513065
13,sequence_40826,539,sequence_40841,528,3.1193398894013846e-05
48,sequence_40826,539,sequence_40825,532,1.1208793137762464e-05
60,sequence_40826,539,sequence_40837,543,5.184004685432342e-05
22,sequence_40826,539,sequence_40829,528,0.0001943909539696
6,sequence_40826,539,sequence_40811,534,4.839006282630898e-05
74,sequence_40826,539,sequence_40796,567,6.596342545284184e-05
7,sequence_40826,539,sequence_40813,528,2.436964030783084e-05
45,sequence_40826,539,sequence_40835,535,9.862968244855884e-05
