,id_seq1,target_seq1,id_seq2,target_seq2,distance
4,sequence_47787,5.0,sequence_47777,11.0,0.0017297526524941
83,sequence_47787,5.0,sequence_47708,111.0,0.0031986770804329
130,sequence_47787,5.0,sequence_47674,38.0,0.0033467449936097
101,sequence_47787,5.0,sequence_47714,51.0,0.0033019036118486
145,sequence_47787,5.0,sequence_47729,34.0,0.0019214437260617
59,sequence_47787,5.0,sequence_47752,67.0,0.0024105493278911
72,sequence_47787,5.0,sequence_47702,69.0,0.0031934328201951
41,sequence_47787,5.0,sequence_47806,73.0,0.0023554568864113
71,sequence_47787,5.0,sequence_47769,25.0,0.0025091654484105
19,sequence_47787,5.0,sequence_47785,25.0,0.0010637185015623
131,sequence_47787,5.0,sequence_47676,56.0,0.0031833503173677
147,sequence_47787,5.0,sequence_47737,27.0,0.0043244941763446
137,sequence_47787,5.0,sequence_47805,22.0,0.0015405966426752
7,sequence_47787,5.0,sequence_47786,18.0,0.0017989896250139
128,sequence_47787,5.0,sequence_47723,69.0,0.0025883763019178
102,sequence_47787,5.0,sequence_47725,57.0,0.0020521780075085
120,sequence_47787,5.0,sequence_47740,158.0,0.0054524605968505
28,sequence_47787,5.0,sequence_47768,17.0,0.0024021997160609
134,sequence_47787,5.0,sequence_47735,55.0,0.0055819229654009
68,sequence_47787,5.0,sequence_47770,25.0,0.0017156291757454
90,sequence_47787,5.0,sequence_47765,118.0,0.0039612361171103
26,sequence_47787,5.0,sequence_47760,26.0,0.0035973519106862
141,sequence_47787,5.0,sequence_47808,4.0,0.0024270213212244
85,sequence_47787,5.0,sequence_47677,103.0,0.0030558338802756
34,sequence_47787,5.0,sequence_47700,65.0,0.0029229997033398
89,sequence_47787,5.0,sequence_47762,127.0,0.0042474717404756
82,sequence_47787,5.0,sequence_47704,98.0,0.0029025027503688
129,sequence_47787,5.0,sequence_47722,75.0,0.0028153210542685
45,sequence_47787,5.0,sequence_47799,24.0,0.0019724950242604
93,sequence_47787,5.0,sequence_47761,120.0,0.004151463871628
63,sequence_47787,5.0,sequence_47749,81.0,0.0027860659886267
43,sequence_47787,5.0,sequence_47804,23.0,0.0012964789906357
98,sequence_47787,5.0,sequence_47693,64.0,0.002519747420387
96,sequence_47787,5.0,sequence_47699,62.0,0.0019723272531858
139,sequence_47787,5.0,sequence_47794,18.0,0.0018104531284575
67,sequence_47787,5.0,sequence_47774,21.0,0.0018337342189204
84,sequence_47787,5.0,sequence_47709,119.0,0.002763828932547
56,sequence_47787,5.0,sequence_47751,34.0,0.002294478508041
88,sequence_47787,5.0,sequence_47707,79.0,0.003326322474449
92,sequence_47787,5.0,sequence_47812,121.0,0.0030326595141847
30,sequence_47787,5.0,sequence_47681,44.0,0.0026749540601102
91,sequence_47787,5.0,sequence_47767,105.0,0.0024378139213852
146,sequence_47787,5.0,sequence_47809,10.0,0.0036592828170189
95,sequence_47787,5.0,sequence_47763,122.0,0.0026249639472402
42,sequence_47787,5.0,sequence_47807,42.0,0.0019202013819125
64,sequence_47787,5.0,sequence_47744,69.0,0.0029578031387414
25,sequence_47787,5.0,sequence_47750,25.0,0.0020246333356098
135,sequence_47787,5.0,sequence_47793,16.0,0.0014048987936804
79,sequence_47787,5.0,sequence_47675,57.0,0.0037889866994905
150,sequence_47787,5.0,sequence_47736,19.0,0.0030948991880132
73,sequence_47787,5.0,sequence_47672,76.0,0.0026763955838726
100,sequence_47787,5.0,sequence_47712,49.0,0.0022394817442878
87,sequence_47787,5.0,sequence_47703,95.0,0.0030300984677515
80,sequence_47787,5.0,sequence_47698,56.0,0.0021353670848498
132,sequence_47787,5.0,sequence_47711,57.0,0.0034485817200717
33,sequence_47787,5.0,sequence_47673,65.5,0.0030761933909663
142,sequence_47787,5.0,sequence_47792,12.0,0.0012497544583642
78,sequence_47787,5.0,sequence_47706,77.0,0.0032249770878272
74,sequence_47787,5.0,sequence_47705,71.0,0.0026872765554357
77,sequence_47787,5.0,sequence_47701,63.0,0.0029287829387507
44,sequence_47787,5.0,sequence_47800,20.0,0.0020382752872626
3,sequence_47787,5.0,sequence_47781,12.0,0.0017955457097368
