,id_seq1,target_seq1,id_seq2,target_seq2,distance
82,sequence_47787,5.0,sequence_47704,98.0,0.0101924544154753
127,sequence_47787,5.0,sequence_47719,66.0,0.0103059820012257
87,sequence_47787,5.0,sequence_47703,95.0,0.010381189331065
85,sequence_47787,5.0,sequence_47677,103.0,0.0102238827839326
122,sequence_47787,5.0,sequence_47715,101.0,0.01003993201746
131,sequence_47787,5.0,sequence_47676,56.0,0.0104065608907171
39,sequence_47787,5.0,sequence_47682,53.0,0.0101200996212575
36,sequence_47787,5.0,sequence_47683,75.0,0.0098951619045729
40,sequence_47787,5.0,sequence_47724,48.0,0.0094456998309437
124,sequence_47787,5.0,sequence_47717,66.0,0.0097004507546453
