id,label,target,labels,profile
sequence_47692,0,87.5,8-0-2,0-8-0-2
sequence_47704,0,98.0,8-0-27,0-8-0-27
sequence_47719,0,66.0,17-0-18,0-17-0-18
sequence_47663,0,36.0,11-0-4,0-11-0-4
sequence_47713,0,51.0,11-0-10,0-11-0-10
sequence_47761,0,120.0,7-0-17,0-7-0-17
sequence_47694,2,51.0,0-0-21,2-0-0-21
sequence_47764,0,118.0,7-0-17,0-7-0-17
sequence_47673,0,65.5,14-0-6,0-14-0-6
sequence_47795,2,7.0,2-0-16,2-2-0-16
sequence_47723,0,69.0,27-0-14,0-27-0-14
sequence_47791,2,4.0,2-0-13,2-2-0-13
sequence_47703,0,95.0,15-0-22,0-15-0-22
sequence_47677,0,103.0,8-0-2,0-8-0-2
sequence_47780,1,23.0,6-0-24,1-6-0-24
sequence_47773,2,19.0,13-0-9,2-13-0-9
sequence_47730,2,35.0,12-0-3,2-12-0-3
sequence_47688,0,90.0,24-0-8,0-24-0-8
sequence_47721,2,40.0,22-0-20,2-22-0-20
sequence_47711,0,57.0,3-0-0,0-3-0-0
sequence_47685,2,24.0,0-0-21,2-0-0-21
sequence_47722,0,75.0,17-0-18,0-17-0-18
sequence_47771,2,18.0,4-0-13,2-4-0-13
sequence_47729,0,34.0,16-0-1,0-16-0-1
sequence_47667,0,86.0,23-0-4,0-23-0-4
sequence_47796,2,20.0,12-0-3,2-12-0-3
sequence_47762,0,127.0,7-0-17,0-7-0-17
sequence_47672,0,76.0,14-0-6,0-14-0-6
sequence_47782,0,17.0,16-0-1,0-16-0-1
sequence_47812,0,121.0,7-0-17,0-7-0-17
sequence_47715,0,101.0,10-0-12,0-10-0-12
sequence_47772,2,12.0,2-0-16,2-2-0-16
sequence_47801,2,4.0,2-0-16,2-2-0-16
sequence_47763,0,122.0,7-0-17,0-7-0-17
sequence_47732,2,30.0,12-0-3,2-12-0-3
sequence_47689,0,52.0,24-0-8,0-24-0-8
sequence_47686,2,22.0,0-0-21,2-0-0-21
sequence_47809,0,10.0,16-0-1,0-16-0-1
sequence_47671,0,36.0,11-0-10,0-11-0-10
sequence_47797,2,27.0,12-0-3,2-12-0-3
sequence_47803,2,12.0,13-0-9,2-13-0-9
sequence_47787,2,5.0,2-0-16,2-2-0-16
sequence_47662,0,28.0,23-0-4,0-23-0-4
sequence_47712,2,49.0,27-0-14,2-27-0-14
sequence_47811,0,24.0,20-0-5,0-20-0-5
sequence_47802,2,4.0,13-0-9,2-13-0-9
sequence_47804,2,23.0,5-0-15,2-5-0-15
sequence_47697,2,55.5,0-0-21,2-0-0-21
sequence_47768,0,17.0,19-0-19,0-19-0-19
sequence_47661,0,52.0,10-0-5,0-10-0-5
sequence_47676,0,56.0,3-0-0,0-3-0-0
sequence_47668,0,48.0,25-0-23,0-25-0-23
sequence_47681,0,44.0,3-0-0,0-3-0-0
sequence_47696,2,47.0,0-0-21,2-0-0-21
sequence_47760,2,26.0,18-0-7,2-18-0-7
sequence_47799,0,24.0,6-0-24,0-6-0-24
sequence_47699,0,62.0,8-0-2,0-8-0-2
sequence_47744,0,69.0,26-0-12,0-26-0-12
sequence_47714,2,51.0,27-0-14,2-27-0-14
sequence_47728,2,12.0,2-0-16,2-2-0-16
sequence_47680,0,73.0,3-0-0,0-3-0-0
sequence_47781,0,12.0,4-0-13,0-4-0-13
sequence_47716,0,84.0,17-0-18,0-17-0-18
sequence_47665,2,50.0,10-0-5,2-10-0-5
sequence_47709,1,119.0,8-0-27,1-8-0-27
sequence_47741,0,102.0,11-0-10,0-11-0-10
sequence_47765,0,118.0,7-0-17,0-7-0-17
sequence_47695,2,52.0,21-0-25,2-21-0-25
sequence_47738,0,55.0,11-0-10,0-11-0-10
sequence_47784,2,21.0,4-0-13,2-4-0-13
sequence_47682,0,53.0,3-0-0,0-3-0-0
sequence_47736,2,19.0,18-0-7,2-18-0-7
sequence_47742,0,108.0,1-0-12,0-1-0-12
sequence_47790,2,9.0,13-0-9,2-13-0-9
sequence_47669,0,32.0,25-0-23,0-25-0-23
sequence_47746,2,94.0,9-0-28,2-9-0-28
sequence_47745,2,83.0,1-0-26,2-1-0-26
sequence_47798,2,23.0,12-0-3,2-12-0-3
sequence_47806,2,73.0,6-0-24,2-6-0-24
sequence_47759,2,36.0,22-0-20,2-22-0-20
sequence_47670,0,97.0,10-0-5,0-10-0-5
sequence_47794,1,18.0,16-0-1,1-16-0-1
sequence_47675,0,57.0,3-0-8,0-3-0-8
sequence_47800,2,20.0,5-0-15,2-5-0-15
sequence_47788,2,5.0,13-0-9,2-13-0-9
sequence_47766,2,4.19,18-0-7,2-18-0-7
sequence_47757,0,36.0,10-0-5,0-10-0-5
sequence_47733,2,25.0,12-0-3,2-12-0-3
sequence_47750,0,25.0,18-0-7,0-18-0-7
sequence_47678,2,37.0,0-0-21,2-0-0-21
sequence_47720,1,80.0,17-0-18,1-17-0-18
sequence_47706,0,77.0,15-0-22,0-15-0-22
sequence_47664,0,32.0,10-0-5,0-10-0-5
sequence_47684,2,23.0,18-0-25,2-18-0-25
sequence_47805,0,22.0,16-0-1,0-16-0-1
sequence_47789,2,10.0,13-0-9,2-13-0-9
sequence_47737,0,27.0,16-0-1,0-16-0-1
sequence_47810,2,5.57,18-0-7,2-18-0-7
sequence_47701,0,63.0,15-0-22,0-15-0-22
sequence_47785,2,25.0,5-0-15,2-5-0-15
sequence_47774,2,21.0,5-0-15,2-5-0-15
sequence_47776,2,9.0,2-0-16,2-2-0-16
sequence_47754,2,70.0,9-0-28,2-9-0-28
sequence_47718,0,81.0,17-0-18,0-17-0-18
sequence_47739,0,35.0,3-0-0,0-3-0-0
sequence_47690,1,63.0,8-0-2,1-8-0-2
sequence_47726,0,120.0,20-0-11,0-20-0-11
sequence_47786,2,18.0,4-0-13,2-4-0-13
sequence_47767,0,105.0,7-0-17,0-7-0-17
sequence_47793,2,16.0,16-0-1,2-16-0-1
sequence_47725,1,57.0,27-0-14,1-27-0-14
sequence_47756,0,37.0,10-0-5,0-10-0-5
sequence_47683,2,75.0,8-0-2,2-8-0-2
sequence_47753,2,74.0,9-0-28,2-9-0-28
sequence_47808,2,4.0,18-0-7,2-18-0-7
sequence_47666,0,69.0,23-0-4,0-23-0-4
sequence_47775,2,23.0,20-0-11,2-20-0-11
sequence_47749,0,81.0,1-0-26,0-1-0-26
sequence_47740,0,158.0,26-0-12,0-26-0-12
sequence_47743,0,63.0,1-0-26,0-1-0-26
sequence_47807,2,42.0,6-0-24,2-6-0-24
sequence_47708,0,111.0,8-0-27,0-8-0-27
sequence_47751,2,34.0,22-0-20,2-22-0-20
sequence_47778,2,26.0,4-0-13,2-4-0-13
sequence_47724,0,48.0,3-0-0,0-3-0-0
sequence_47707,0,79.0,15-0-22,0-15-0-22
sequence_47710,2,43.0,21-0-25,2-21-0-25
sequence_47769,2,25.0,4-0-13,2-4-0-13
sequence_47792,2,12.0,16-0-1,2-16-0-1
sequence_47779,0,11.0,19-0-19,0-19-0-19
sequence_47705,0,71.0,15-0-22,0-15-0-22
sequence_47727,0,45.0,20-0-11,0-20-0-11
sequence_47679,0,44.0,14-0-6,0-14-0-6
sequence_47777,0,11.0,19-0-19,0-19-0-19
sequence_47752,0,67.0,26-0-12,0-26-0-12
sequence_47693,0,64.0,8-0-2,0-8-0-2
sequence_47717,0,66.0,17-0-18,0-17-0-18
sequence_47702,0,69.0,15-0-22,0-15-0-22
sequence_47770,2,25.0,5-0-15,2-5-0-15
sequence_47731,2,32.0,12-0-3,2-12-0-3
sequence_47735,0,55.0,3-0-0,0-3-0-0
sequence_47691,0,40.0,8-0-2,0-8-0-2
sequence_47674,0,38.0,3-0-0,0-3-0-0
sequence_47783,2,24.5,20-0-11,2-20-0-11
sequence_47700,0,65.0,15-0-6,0-15-0-6
sequence_47748,2,79.0,1-0-26,2-1-0-26
sequence_47698,0,56.0,8-0-2,0-8-0-2
sequence_47747,2,72.0,1-0-26,2-1-0-26
