,id_seq1,target_seq1,id_seq2,target_seq2,distance
199,sequence_53082,55.0,sequence_19470,61.0,0.0799899251188098
48,sequence_53082,55.0,sequence_19497,54.9,0.0780222283554478
114,sequence_53082,55.0,sequence_19428,49.3,0.0744256371404328
72,sequence_53082,55.0,sequence_19439,49.5,0.0677239397495832
123,sequence_53082,55.0,sequence_19442,47.4,0.0632845513796576
214,sequence_53082,55.0,sequence_19464,62.2,0.0836499327341876
25,sequence_53082,55.0,sequence_19425,56.9,0.0674688614114434
259,sequence_53082,55.0,sequence_19401,47.4,0.0694790956519939
73,sequence_53082,55.0,sequence_20071,44.9,0.086160853504094
138,sequence_53082,55.0,sequence_20075,54.9,0.0872375100030958
192,sequence_53082,55.0,sequence_19499,53.3,0.0762217657485629
459,sequence_19402,43.0,sequence_19470,61.0,0.0676426142187716
308,sequence_19402,43.0,sequence_19497,54.9,0.0669097562535318
374,sequence_19402,43.0,sequence_19428,49.3,0.0693347193347193
332,sequence_19402,43.0,sequence_19439,49.5,0.0801428480404379
383,sequence_19402,43.0,sequence_19442,47.4,0.0688194145274065
474,sequence_19402,43.0,sequence_19464,62.2,0.0791567800484057
285,sequence_19402,43.0,sequence_19425,56.9,0.0775531106009192
519,sequence_19402,43.0,sequence_19401,47.4,0.0677559461986042
333,sequence_19402,43.0,sequence_20071,44.9,0.0757332322509097
398,sequence_19402,43.0,sequence_20075,54.9,0.084019934181553
452,sequence_19402,43.0,sequence_19499,53.3,0.0687237132471672
719,sequence_20054,49.0,sequence_19470,61.0,0.0710934325102495
568,sequence_20054,49.0,sequence_19497,54.9,0.0704444523607509
634,sequence_20054,49.0,sequence_19428,49.3,0.0688102258391155
592,sequence_20054,49.0,sequence_19439,49.5,0.0731666501368314
643,sequence_20054,49.0,sequence_19442,47.4,0.0750315622288265
734,sequence_20054,49.0,sequence_19464,62.2,0.0676465267640119
545,sequence_20054,49.0,sequence_19425,56.9,0.0714072238256171
779,sequence_20054,49.0,sequence_19401,47.4,0.0830058712123418
593,sequence_20054,49.0,sequence_20071,44.9,0.0707286704920001
658,sequence_20054,49.0,sequence_20075,54.9,0.0753643223794165
712,sequence_20054,49.0,sequence_19499,53.3,0.0726132549925196
