,id_seq1,target_seq1,id_seq2,target_seq2,distance
227,sequence_53082,55.0,sequence_19478,60.1,0.0051999999999999
200,sequence_53082,55.0,sequence_19364,57.1,0.0051
236,sequence_53082,55.0,sequence_19520,58.7,0.0062
140,sequence_53082,55.0,sequence_19516,51.9,0.0047999999999999
209,sequence_53082,55.0,sequence_19481,63.1,0.0067
234,sequence_53082,55.0,sequence_19503,60.0,0.0062
222,sequence_53082,55.0,sequence_19483,60.6,0.0063
487,sequence_19402,43.0,sequence_19478,60.1,0.0062
460,sequence_19402,43.0,sequence_19364,57.1,0.0063
496,sequence_19402,43.0,sequence_19520,58.7,0.0071
400,sequence_19402,43.0,sequence_19516,51.9,0.0064
469,sequence_19402,43.0,sequence_19481,63.1,0.0069999999999999
494,sequence_19402,43.0,sequence_19503,60.0,0.0064
482,sequence_19402,43.0,sequence_19483,60.6,0.0074
