,id_seq1,target_seq1,id_seq2,target_seq2,distance
33,sequence_47787,5.0,sequence_47673,65.5,1.0
143,sequence_47787,5.0,sequence_47791,4.0,1.0
29,sequence_47787,5.0,sequence_47771,18.0,1.0
73,sequence_47787,5.0,sequence_47672,76.0,1.0
8,sequence_47787,5.0,sequence_47782,17.0,1.0
28,sequence_47787,5.0,sequence_47768,17.0,1.0
30,sequence_47787,5.0,sequence_47681,44.0,1.0
64,sequence_47787,5.0,sequence_47744,69.0,1.0
32,sequence_47787,5.0,sequence_47680,73.0,1.0
3,sequence_47787,5.0,sequence_47781,12.0,1.0
57,sequence_47787,5.0,sequence_47741,102.0,1.0
70,sequence_47787,5.0,sequence_47738,55.0,1.0
139,sequence_47787,5.0,sequence_47794,18.0,1.0
79,sequence_47787,5.0,sequence_47675,57.0,1.0
78,sequence_47787,5.0,sequence_47706,77.0,1.0
137,sequence_47787,5.0,sequence_47805,22.0,1.0
77,sequence_47787,5.0,sequence_47701,63.0,1.0
7,sequence_47787,5.0,sequence_47786,18.0,1.0
135,sequence_47787,5.0,sequence_47793,16.0,1.0
63,sequence_47787,5.0,sequence_47749,81.0,1.0
58,sequence_47787,5.0,sequence_47743,63.0,1.0
5,sequence_47787,5.0,sequence_47779,11.0,1.0
74,sequence_47787,5.0,sequence_47705,71.0,1.0
13,sequence_47787,5.0,sequence_47679,44.0,1.0
4,sequence_47787,5.0,sequence_47777,11.0,1.0
59,sequence_47787,5.0,sequence_47752,67.0,1.0
72,sequence_47787,5.0,sequence_47702,69.0,1.0
76,sequence_47787,5.0,sequence_47691,40.0,1.0
130,sequence_47787,5.0,sequence_47674,38.0,1.0
34,sequence_47787,5.0,sequence_47700,65.0,1.0
80,sequence_47787,5.0,sequence_47698,56.0,1.0
61,sequence_47787,5.0,sequence_47747,72.0,1.0
116,sequence_47787,5.0,sequence_47755,100.0,1.0
