,id_seq1,target_seq1,id_seq2,target_seq2,distance
158,sequence_51016,-4.626935645431157,sequence_51005,-5.462621475453159,362.8132
188,sequence_51016,-4.626935645431157,sequence_50963,-4.781440038086389,8615.0111
176,sequence_51016,-4.626935645431157,sequence_50998,-5.944204158002268,9061.959
163,sequence_51016,-4.626935645431157,sequence_51009,-4.573850042256471,52.178
223,sequence_51016,-4.626935645431157,sequence_50981,-7.512823751591346,9614.188
154,sequence_51016,-4.626935645431157,sequence_51008,-4.585620137449986,2139.5252
227,sequence_51016,-4.626935645431157,sequence_51049,-5.345308323514202,4539.6644
59,sequence_51016,-4.626935645431157,sequence_51014,-4.875093284104756,1479.5672
94,sequence_51016,-4.626935645431157,sequence_50966,-7.12754277570154,5411.5926
218,sequence_51016,-4.626935645431157,sequence_50976,-7.644636157990131,9320.897
57,sequence_51016,-4.626935645431157,sequence_51019,-6.115112568237896,884.3972
80,sequence_51016,-4.626935645431157,sequence_50987,-8.15482384172899,9395.4173
182,sequence_51016,-4.626935645431157,sequence_50965,-8.132680322148055,7037.6715
157,sequence_51016,-4.626935645431157,sequence_51035,-6.5243104484277685,741.8532
240,sequence_51016,-4.626935645431157,sequence_50985,-4.308443704891928,3299.7846
85,sequence_51016,-4.626935645431157,sequence_51046,-7.53760401737095,7555.7073
151,sequence_51016,-4.626935645431157,sequence_50962,-7.232986764011962,3096.9769
183,sequence_51016,-4.626935645431157,sequence_51048,-8.515067054902179,5216.532799999999
205,sequence_51016,-4.626935645431157,sequence_51021,-5.061021415988704,2319.8907
62,sequence_51016,-4.626935645431157,sequence_51002,-5.509785716570097,848.5244
58,sequence_51016,-4.626935645431157,sequence_51017,-7.84298595409709,1467.2777999999998
198,sequence_51016,-4.626935645431157,sequence_50993,-7.312336322903731,4948.7739
66,sequence_51016,-4.626935645431157,sequence_51012,-5.769612631669962,652.905
88,sequence_51016,-4.626935645431157,sequence_50980,-5.395644495280823,5835.247600000001
209,sequence_51016,-4.626935645431157,sequence_51056,-5.850855450691768,6120.3956
161,sequence_51016,-4.626935645431157,sequence_50991,-8.436912109982138,3198.5122
215,sequence_51016,-4.626935645431157,sequence_51004,-4.72181656291134,4413.579
234,sequence_51016,-4.626935645431157,sequence_50967,-5.218809117262096,2863.0343000000003
184,sequence_51016,-4.626935645431157,sequence_50992,-7.440072608002367,5719.804099999999
155,sequence_51016,-4.626935645431157,sequence_51011,-5.444562277270213,1245.6749
71,sequence_51016,-4.626935645431157,sequence_50978,-8.571060179872774,9518.7169
164,sequence_51016,-4.626935645431157,sequence_51031,-4.656133116104559,1034.8494999999998
208,sequence_51016,-4.626935645431157,sequence_51057,-7.239446757304117,6986.494199999999
82,sequence_51016,-4.626935645431157,sequence_50988,-7.682347412816437,8227.7628
233,sequence_51016,-4.626935645431157,sequence_51036,-7.334007950928568,3321.4652
67,sequence_51016,-4.626935645431157,sequence_51018,-7.920386157149045,1534.5755
63,sequence_51016,-4.626935645431157,sequence_51033,-7.601809103963952,363.4862
68,sequence_51016,-4.626935645431157,sequence_51015,-5.194006961724645,807.7738999999999
165,sequence_51016,-4.626935645431157,sequence_51020,-4.576447227967023,907.4958
166,sequence_51016,-4.626935645431157,sequence_51034,-8.187646078101817,930.4968
207,sequence_51016,-4.626935645431157,sequence_51022,-4.7007583685399,1648.0974
219,sequence_51016,-4.626935645431157,sequence_50977,-6.601103781309464,5811.6642
244,sequence_51016,-4.626935645431157,sequence_51024,-4.606670807697861,3796.0231
194,sequence_51016,-4.626935645431157,sequence_51051,-8.47377823934988,4630.174
212,sequence_51016,-4.626935645431157,sequence_50982,-5.477456019885743,7070.3176
226,sequence_51016,-4.626935645431157,sequence_50964,-5.326405663918352,9111.3069
64,sequence_51016,-4.626935645431157,sequence_51027,-8.905971381085486,2128.4035000000003
210,sequence_51016,-4.626935645431157,sequence_51055,-6.073930941831184,4972.2057
89,sequence_51016,-4.626935645431157,sequence_50969,-7.993460215889013,6258.2095
147,sequence_51016,-4.626935645431157,sequence_50974,-4.78760150401719,10602.5704
159,sequence_51016,-4.626935645431157,sequence_51010,-5.965483650327768,737.4548
224,sequence_51016,-4.626935645431157,sequence_50971,-6.926741159901643,5344.0917
152,sequence_51016,-4.626935645431157,sequence_51050,-4.353862895527104,1229.6853
93,sequence_51016,-4.626935645431157,sequence_51053,-7.141996997362572,8760.7249
65,sequence_51016,-4.626935645431157,sequence_51023,-4.593912239723845,840.3235
178,sequence_51016,-4.626935645431157,sequence_50961,-7.602871394879726,6633.066699999999
56,sequence_51016,-4.626935645431157,sequence_51025,-5.7112769943557415,1663.5509
69,sequence_51016,-4.626935645431157,sequence_50973,-6.794567628611167,8505.8975
91,sequence_51016,-4.626935645431157,sequence_50989,-5.202960772973575,6769.51
170,sequence_51016,-4.626935645431157,sequence_51000,-7.071213324987105,10343.7561
51,sequence_51016,-4.626935645431157,sequence_50970,-4.986009935777647,605.2283
216,sequence_51016,-4.626935645431157,sequence_50968,-6.107021603142809,4881.2168
195,sequence_51016,-4.626935645431157,sequence_50975,-8.356998357359751,7765.031500000001
74,sequence_51016,-4.626935645431157,sequence_50972,-7.588913722504616,8804.897
52,sequence_51016,-4.626935645431157,sequence_51045,-6.269934534978312,1867.0188
168,sequence_51016,-4.626935645431157,sequence_51026,-5.036439269942528,385.0807
225,sequence_51016,-4.626935645431157,sequence_51047,-5.339031826467012,5203.3007
405,sequence_51170,-5.599110392902725,sequence_51005,-5.462621475453159,28251.2617
435,sequence_51170,-5.599110392902725,sequence_50963,-4.781440038086389,29427.519
423,sequence_51170,-5.599110392902725,sequence_50998,-5.944204158002268,28496.1877
410,sequence_51170,-5.599110392902725,sequence_51009,-4.573850042256471,28443.8301
470,sequence_51170,-5.599110392902725,sequence_50981,-7.512823751591346,28505.0449
401,sequence_51170,-5.599110392902725,sequence_51008,-4.585620137449986,29125.6859
474,sequence_51170,-5.599110392902725,sequence_51049,-5.345308323514202,28883.6937
306,sequence_51170,-5.599110392902725,sequence_51014,-4.875093284104756,28922.7839
341,sequence_51170,-5.599110392902725,sequence_50966,-7.12754277570154,28141.0133
465,sequence_51170,-5.599110392902725,sequence_50976,-7.644636157990131,30264.9863
304,sequence_51170,-5.599110392902725,sequence_51019,-6.115112568237896,28750.595500000003
327,sequence_51170,-5.599110392902725,sequence_50987,-8.15482384172899,28447.0446
429,sequence_51170,-5.599110392902725,sequence_50965,-8.132680322148055,28674.4334
404,sequence_51170,-5.599110392902725,sequence_51035,-6.5243104484277685,28518.1919
487,sequence_51170,-5.599110392902725,sequence_50985,-4.308443704891928,28974.7793
332,sequence_51170,-5.599110392902725,sequence_51046,-7.53760401737095,28586.5674
398,sequence_51170,-5.599110392902725,sequence_50962,-7.232986764011962,29130.7386
430,sequence_51170,-5.599110392902725,sequence_51048,-8.515067054902179,28234.2073
452,sequence_51170,-5.599110392902725,sequence_51021,-5.061021415988704,29244.688
309,sequence_51170,-5.599110392902725,sequence_51002,-5.509785716570097,28259.1457
305,sequence_51170,-5.599110392902725,sequence_51017,-7.84298595409709,28606.4517
445,sequence_51170,-5.599110392902725,sequence_50993,-7.312336322903731,28393.357000000004
313,sequence_51170,-5.599110392902725,sequence_51012,-5.769612631669962,28349.3419
335,sequence_51170,-5.599110392902725,sequence_50980,-5.395644495280823,28737.8317
456,sequence_51170,-5.599110392902725,sequence_51056,-5.850855450691768,28456.8603
408,sequence_51170,-5.599110392902725,sequence_50991,-8.436912109982138,28329.4619
462,sequence_51170,-5.599110392902725,sequence_51004,-4.72181656291134,29320.8809
481,sequence_51170,-5.599110392902725,sequence_50967,-5.218809117262096,28290.188
431,sequence_51170,-5.599110392902725,sequence_50992,-7.440072608002367,28490.023800000003
402,sequence_51170,-5.599110392902725,sequence_51011,-5.444562277270213,28986.1788
318,sequence_51170,-5.599110392902725,sequence_50978,-8.571060179872774,28454.596
411,sequence_51170,-5.599110392902725,sequence_51031,-4.656133116104559,28423.7694
455,sequence_51170,-5.599110392902725,sequence_51057,-7.239446757304117,28848.0343
329,sequence_51170,-5.599110392902725,sequence_50988,-7.682347412816437,28877.5599
480,sequence_51170,-5.599110392902725,sequence_51036,-7.334007950928568,28429.2755
314,sequence_51170,-5.599110392902725,sequence_51018,-7.920386157149045,28212.77
310,sequence_51170,-5.599110392902725,sequence_51033,-7.601809103963952,28303.285900000003
315,sequence_51170,-5.599110392902725,sequence_51015,-5.194006961724645,28555.049
412,sequence_51170,-5.599110392902725,sequence_51020,-4.576447227967023,28732.9969
413,sequence_51170,-5.599110392902725,sequence_51034,-8.187646078101817,28635.3591
454,sequence_51170,-5.599110392902725,sequence_51022,-4.7007583685399,28876.9531
466,sequence_51170,-5.599110392902725,sequence_50977,-6.601103781309464,28562.7141
247,sequence_51170,-5.599110392902725,sequence_51016,-4.626935645431157,28481.4965
491,sequence_51170,-5.599110392902725,sequence_51024,-4.606670807697861,29345.976
441,sequence_51170,-5.599110392902725,sequence_51051,-8.47377823934988,28713.0439
459,sequence_51170,-5.599110392902725,sequence_50982,-5.477456019885743,28317.3511
473,sequence_51170,-5.599110392902725,sequence_50964,-5.326405663918352,28517.4016
311,sequence_51170,-5.599110392902725,sequence_51027,-8.905971381085486,28694.91
457,sequence_51170,-5.599110392902725,sequence_51055,-6.073930941831184,28821.2422
336,sequence_51170,-5.599110392902725,sequence_50969,-7.993460215889013,29094.3794
394,sequence_51170,-5.599110392902725,sequence_50974,-4.78760150401719,29663.6535
406,sequence_51170,-5.599110392902725,sequence_51010,-5.965483650327768,28419.6185
471,sequence_51170,-5.599110392902725,sequence_50971,-6.926741159901643,29427.1988
399,sequence_51170,-5.599110392902725,sequence_51050,-4.353862895527104,28504.4188
340,sequence_51170,-5.599110392902725,sequence_51053,-7.141996997362572,28343.6864
312,sequence_51170,-5.599110392902725,sequence_51023,-4.593912239723845,28803.4006
425,sequence_51170,-5.599110392902725,sequence_50961,-7.602871394879726,28995.9194
303,sequence_51170,-5.599110392902725,sequence_51025,-5.7112769943557415,29036.8432
316,sequence_51170,-5.599110392902725,sequence_50973,-6.794567628611167,28907.6316
338,sequence_51170,-5.599110392902725,sequence_50989,-5.202960772973575,29103.9463
417,sequence_51170,-5.599110392902725,sequence_51000,-7.071213324987105,29084.721
298,sequence_51170,-5.599110392902725,sequence_50970,-4.986009935777647,28663.6348
463,sequence_51170,-5.599110392902725,sequence_50968,-6.107021603142809,28690.9913
442,sequence_51170,-5.599110392902725,sequence_50975,-8.356998357359751,28997.1262
321,sequence_51170,-5.599110392902725,sequence_50972,-7.588913722504616,29796.3723
299,sequence_51170,-5.599110392902725,sequence_51045,-6.269934534978312,28725.1731
415,sequence_51170,-5.599110392902725,sequence_51026,-5.036439269942528,28741.9044
472,sequence_51170,-5.599110392902725,sequence_51047,-5.339031826467012,29177.9994
