,id_seq1,target_seq1,id_seq2,target_seq2,distance
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,331.7199
211,sequence_51016,-4.626935645431157,sequence_51142,-7.121316080640148,331.7199
120,sequence_51016,-4.626935645431157,sequence_51188,-7.477058965090089,331.7199
238,sequence_51016,-4.626935645431157,sequence_51153,-7.196744445638808,331.7199
126,sequence_51016,-4.626935645431157,sequence_51129,-8.402091964503104,331.7199
14,sequence_51016,-4.626935645431157,sequence_51157,-7.993079403043451,331.7199
105,sequence_51016,-4.626935645431157,sequence_51165,-8.135108482126563,331.7199
246,sequence_51016,-4.626935645431157,sequence_51146,-3.958357370465748,331.7199
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,331.7199
107,sequence_51016,-4.626935645431157,sequence_51155,-5.6881928391837775,331.7199
30,sequence_51016,-4.626935645431157,sequence_51141,-6.2807344442384325,331.7199
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,331.7199
28,sequence_51016,-4.626935645431157,sequence_51187,-6.886468446878718,331.7199
109,sequence_51016,-4.626935645431157,sequence_51172,-6.315267818049118,331.7199
110,sequence_51016,-4.626935645431157,sequence_51195,-4.719117050535875,331.7199
206,sequence_51016,-4.626935645431157,sequence_51150,-7.330164570040457,331.7199
15,sequence_51016,-4.626935645431157,sequence_51163,-5.840652190889835,331.7199
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,331.7199
127,sequence_51016,-4.626935645431157,sequence_51185,-5.7929627601304565,331.7199
26,sequence_51016,-4.626935645431157,sequence_51151,-7.50501562302166,331.7199
123,sequence_51016,-4.626935645431157,sequence_51198,-7.041057436612152,331.7199
2,sequence_51016,-4.626935645431157,sequence_51136,-5.335352191963125,331.7199
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,331.7199
102,sequence_51016,-4.626935645431157,sequence_51186,-5.749568986531335,331.7199
31,sequence_51016,-4.626935645431157,sequence_51137,-8.113936450186205,331.7199
232,sequence_51016,-4.626935645431157,sequence_51201,-6.724658769791372,331.7199
222,sequence_51016,-4.626935645431157,sequence_51143,-5.813377959587455,331.7199
129,sequence_51016,-4.626935645431157,sequence_51134,-7.793345450173909,331.7199
115,sequence_51016,-4.626935645431157,sequence_51156,-6.2249740524313975,331.7199
114,sequence_51016,-4.626935645431157,sequence_51166,-7.112515562930268,331.7199
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,284.0754
458,sequence_51170,-5.599110392902725,sequence_51142,-7.121316080640148,284.0754
367,sequence_51170,-5.599110392902725,sequence_51188,-7.477058965090089,284.0754
485,sequence_51170,-5.599110392902725,sequence_51153,-7.196744445638808,281.8752
373,sequence_51170,-5.599110392902725,sequence_51129,-8.402091964503104,213.2659
261,sequence_51170,-5.599110392902725,sequence_51157,-7.993079403043451,156.5734
352,sequence_51170,-5.599110392902725,sequence_51165,-8.135108482126563,213.2659
493,sequence_51170,-5.599110392902725,sequence_51146,-3.958357370465748,281.8752
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,284.0754
354,sequence_51170,-5.599110392902725,sequence_51155,-5.6881928391837775,281.8752
277,sequence_51170,-5.599110392902725,sequence_51141,-6.2807344442384325,281.8752
353,sequence_51170,-5.599110392902725,sequence_51176,-6.977819960699303,112.8647
275,sequence_51170,-5.599110392902725,sequence_51187,-6.886468446878718,281.8752
356,sequence_51170,-5.599110392902725,sequence_51172,-6.315267818049118,162.4531
357,sequence_51170,-5.599110392902725,sequence_51195,-4.719117050535875,281.8752
453,sequence_51170,-5.599110392902725,sequence_51150,-7.330164570040457,281.8752
262,sequence_51170,-5.599110392902725,sequence_51163,-5.840652190889835,281.8752
350,sequence_51170,-5.599110392902725,sequence_51178,-5.206388367343241,281.8752
374,sequence_51170,-5.599110392902725,sequence_51185,-5.7929627601304565,284.0754
273,sequence_51170,-5.599110392902725,sequence_51151,-7.50501562302166,281.8752
370,sequence_51170,-5.599110392902725,sequence_51198,-7.041057436612152,284.0754
249,sequence_51170,-5.599110392902725,sequence_51136,-5.335352191963125,284.0754
251,sequence_51170,-5.599110392902725,sequence_51140,-6.732490772637745,213.2659
349,sequence_51170,-5.599110392902725,sequence_51186,-5.749568986531335,281.8752
278,sequence_51170,-5.599110392902725,sequence_51137,-8.113936450186205,281.8752
479,sequence_51170,-5.599110392902725,sequence_51201,-6.724658769791372,231.5773
469,sequence_51170,-5.599110392902725,sequence_51143,-5.813377959587455,281.8752
376,sequence_51170,-5.599110392902725,sequence_51134,-7.793345450173909,281.8752
362,sequence_51170,-5.599110392902725,sequence_51156,-6.2249740524313975,200.0453
361,sequence_51170,-5.599110392902725,sequence_51166,-7.112515562930268,127.502
618,sequence_32130,-5.7157882520247325,sequence_51160,-7.359947635110199,331.7199
705,sequence_32130,-5.7157882520247325,sequence_51142,-7.121316080640148,331.7199
614,sequence_32130,-5.7157882520247325,sequence_51188,-7.477058965090089,331.7199
732,sequence_32130,-5.7157882520247325,sequence_51153,-7.196744445638808,331.7199
620,sequence_32130,-5.7157882520247325,sequence_51129,-8.402091964503104,331.7199
508,sequence_32130,-5.7157882520247325,sequence_51157,-7.993079403043451,331.7199
599,sequence_32130,-5.7157882520247325,sequence_51165,-8.135108482126563,331.7199
740,sequence_32130,-5.7157882520247325,sequence_51146,-3.958357370465748,331.7199
598,sequence_32130,-5.7157882520247325,sequence_51158,-6.222980712367778,331.7199
601,sequence_32130,-5.7157882520247325,sequence_51155,-5.6881928391837775,331.7199
524,sequence_32130,-5.7157882520247325,sequence_51141,-6.2807344442384325,331.7199
600,sequence_32130,-5.7157882520247325,sequence_51176,-6.977819960699303,331.7199
522,sequence_32130,-5.7157882520247325,sequence_51187,-6.886468446878718,331.7199
603,sequence_32130,-5.7157882520247325,sequence_51172,-6.315267818049118,331.7199
604,sequence_32130,-5.7157882520247325,sequence_51195,-4.719117050535875,331.7199
700,sequence_32130,-5.7157882520247325,sequence_51150,-7.330164570040457,331.7199
509,sequence_32130,-5.7157882520247325,sequence_51163,-5.840652190889835,331.7199
597,sequence_32130,-5.7157882520247325,sequence_51178,-5.206388367343241,331.7199
621,sequence_32130,-5.7157882520247325,sequence_51185,-5.7929627601304565,331.7199
520,sequence_32130,-5.7157882520247325,sequence_51151,-7.50501562302166,331.7199
617,sequence_32130,-5.7157882520247325,sequence_51198,-7.041057436612152,331.7199
496,sequence_32130,-5.7157882520247325,sequence_51136,-5.335352191963125,331.7199
498,sequence_32130,-5.7157882520247325,sequence_51140,-6.732490772637745,331.7199
596,sequence_32130,-5.7157882520247325,sequence_51186,-5.749568986531335,331.7199
525,sequence_32130,-5.7157882520247325,sequence_51137,-8.113936450186205,331.7199
726,sequence_32130,-5.7157882520247325,sequence_51201,-6.724658769791372,331.7199
716,sequence_32130,-5.7157882520247325,sequence_51143,-5.813377959587455,331.7199
623,sequence_32130,-5.7157882520247325,sequence_51134,-7.793345450173909,331.7199
609,sequence_32130,-5.7157882520247325,sequence_51156,-6.2249740524313975,331.7199
608,sequence_32130,-5.7157882520247325,sequence_51166,-7.112515562930268,331.7199
