,id_seq1,target_seq1,id_seq2,target_seq2,distance
27,sequence_40826,539,sequence_40847,486,0.0133928926193168
34,sequence_40826,539,sequence_40861,464,0.013877172423466
25,sequence_40826,539,sequence_40815,498,0.012747264257153
37,sequence_40826,539,sequence_40853,463,0.0146482570892384
38,sequence_40826,539,sequence_40848,461,0.0135767116213675
39,sequence_40826,539,sequence_40849,464,0.0136702501207531
40,sequence_40826,539,sequence_40850,462,0.0178368929874177
29,sequence_40826,539,sequence_40852,474,0.0133927595113054
35,sequence_40826,539,sequence_40812,464,0.019955510126271
26,sequence_40826,539,sequence_40851,477,0.0139026488574118
36,sequence_40826,539,sequence_40854,465,0.0133986386718104
32,sequence_40826,539,sequence_40791,454,0.0165543881478268
33,sequence_40826,539,sequence_40793,456,0.0144422689105555
8,sequence_40826,539,sequence_40814,510,0.0104912543354011
9,sequence_40826,539,sequence_40845,495,0.0111402806552686
31,sequence_40826,539,sequence_40846,483,0.0139027125143256
