,id_seq1,target_seq1,id_seq2,target_seq2,distance
158,sequence_53082,55.0,sequence_19437,46.7,32.65545439157066
82,sequence_53082,55.0,sequence_19378,52.4,30.295473975463374
126,sequence_53082,55.0,sequence_19416,49.4,31.391191414676378
86,sequence_53082,55.0,sequence_19393,53.7,32.79522146262593
32,sequence_53082,55.0,sequence_19369,47.9,29.874730648089336
133,sequence_53082,55.0,sequence_19396,43.1,30.14949711855541
58,sequence_53082,55.0,sequence_19370,51.7,31.005647368758623
134,sequence_53082,55.0,sequence_19527,50.1,33.363233233440155
128,sequence_53082,55.0,sequence_19388,48.4,31.811629617232168
6,sequence_53082,55.0,sequence_19496,48.3,32.545488776305206
94,sequence_53082,55.0,sequence_19375,49.9,31.352109445039552
418,sequence_19402,43.0,sequence_19437,46.7,30.877245606139123
342,sequence_19402,43.0,sequence_19378,52.4,26.355193083138165
386,sequence_19402,43.0,sequence_19416,49.4,29.8403126104595
346,sequence_19402,43.0,sequence_19393,53.7,28.021496118284333
292,sequence_19402,43.0,sequence_19369,47.9,27.159563220056853
393,sequence_19402,43.0,sequence_19396,43.1,26.278689020816078
318,sequence_19402,43.0,sequence_19370,51.7,26.216650078044303
394,sequence_19402,43.0,sequence_19527,50.1,32.634140730185464
388,sequence_19402,43.0,sequence_19388,48.4,29.65008515408287
266,sequence_19402,43.0,sequence_19496,48.3,30.144713332042805
354,sequence_19402,43.0,sequence_19375,49.9,27.4967721133891
