id,label
sequence_47692,1
sequence_47704,3
sequence_47719,0
sequence_47663,0
sequence_47713,3
sequence_47761,1
sequence_47694,0
sequence_47764,1
sequence_47673,2
sequence_47795,1
sequence_47723,2
sequence_47791,1
sequence_47703,3
sequence_47677,3
sequence_47780,3
sequence_47773,1
sequence_47730,3
sequence_47688,3
sequence_47721,2
sequence_47711,1
sequence_47685,0
sequence_47722,2
sequence_47771,2
sequence_47729,3
sequence_47667,2
sequence_47796,3
sequence_47762,2
sequence_47672,3
sequence_47782,1
sequence_47812,2
sequence_47715,3
sequence_47772,0
sequence_47801,0
sequence_47763,1
sequence_47732,3
sequence_47689,3
sequence_47686,1
sequence_47809,0
sequence_47671,0
sequence_47797,2
sequence_47803,1
sequence_47787,2
sequence_47662,1
sequence_47712,2
sequence_47811,1
sequence_47802,0
sequence_47804,3
sequence_47697,1
sequence_47768,0
sequence_47661,0
sequence_47676,3
sequence_47668,0
sequence_47681,3
sequence_47696,0
sequence_47760,0
sequence_47799,3
sequence_47699,3
sequence_47744,0
sequence_47714,3
sequence_47728,0
sequence_47680,0
sequence_47781,0
sequence_47716,3
sequence_47665,0
sequence_47709,3
sequence_47741,1
sequence_47765,1
sequence_47695,0
sequence_47738,2
sequence_47784,0
sequence_47682,2
sequence_47736,0
sequence_47742,0
sequence_47790,0
sequence_47669,0
sequence_47746,2
sequence_47745,1
sequence_47798,2
sequence_47806,2
sequence_47759,2
sequence_47670,0
sequence_47794,1
sequence_47675,0
sequence_47800,3
sequence_47788,0
sequence_47766,1
sequence_47757,3
sequence_47733,0
sequence_47750,0
sequence_47678,1
sequence_47720,2
sequence_47706,1
sequence_47664,0
sequence_47684,0
sequence_47805,3
sequence_47789,1
sequence_47737,0
sequence_47810,0
sequence_47701,0
sequence_47785,3
sequence_47774,3
sequence_47776,0
sequence_47754,3
sequence_47718,3
sequence_47739,3
sequence_47690,0
sequence_47726,2
sequence_47786,3
sequence_47767,1
sequence_47793,3
sequence_47725,2
sequence_47756,2
sequence_47683,2
sequence_47753,2
sequence_47808,0
sequence_47666,0
sequence_47775,1
sequence_47749,1
sequence_47740,0
sequence_47743,1
sequence_47807,3
sequence_47708,1
sequence_47751,0
sequence_47778,1
sequence_47724,1
sequence_47707,2
sequence_47710,0
sequence_47769,2
sequence_47792,3
sequence_47779,1
sequence_47705,0
sequence_47727,2
sequence_47679,1
sequence_47777,0
sequence_47752,3
sequence_47693,3
sequence_47717,3
sequence_47702,3
sequence_47770,1
sequence_47731,3
sequence_47735,2
sequence_47691,3
sequence_47674,3
sequence_47783,1
sequence_47700,0
sequence_47748,3
sequence_47698,3
sequence_47747,1
sequence_47734,3
sequence_47755,3
sequence_47758,3
sequence_47687,0
