,id_seq1,target_seq1,id_seq2,target_seq2,distance
112,sequence_53082,55.0,sequence_19445,45.5,0.3006013140357174
57,sequence_53082,55.0,sequence_20040,47.2,0.3058816928160298
158,sequence_53082,55.0,sequence_19437,46.7,0.3523917280527454
152,sequence_53082,55.0,sequence_19529,48.8,0.2700881893011984
125,sequence_53082,55.0,sequence_19429,50.9,0.3019767375146635
59,sequence_53082,55.0,sequence_19432,51.0,0.3309727330158785
82,sequence_53082,55.0,sequence_19378,52.4,0.3431005392009753
93,sequence_53082,55.0,sequence_19488,51.3,0.3049681130872537
2,sequence_53082,55.0,sequence_20048,39.8,0.2863677356127956
0,sequence_53082,55.0,sequence_19402,43.0,0.3295794896531032
170,sequence_53082,55.0,sequence_20066,49.9,0.3229685588412593
13,sequence_53082,55.0,sequence_19523,50.8,0.2621768296398444
164,sequence_53082,55.0,sequence_19489,49.1,0.3361049092173455
78,sequence_53082,55.0,sequence_20051,42.5,0.3209866975436833
126,sequence_53082,55.0,sequence_19416,49.4,0.299322234389629
30,sequence_53082,55.0,sequence_19430,45.7,0.2728119682125401
194,sequence_53082,55.0,sequence_19398,46.2,0.279706971668566
1,sequence_53082,55.0,sequence_20054,49.0,0.3017106892372228
84,sequence_53082,55.0,sequence_19433,50.1,0.3146913249519281
155,sequence_53082,55.0,sequence_19421,53.0,0.2830086394440989
4,sequence_53082,55.0,sequence_19525,48.8,0.3031174359881001
148,sequence_53082,55.0,sequence_19457,43.6,0.3209646709530506
168,sequence_53082,55.0,sequence_19372,49.2,0.2901928496706975
39,sequence_53082,55.0,sequence_19530,45.6,0.3012617466589477
179,sequence_53082,55.0,sequence_19456,48.0,0.284391332498021
135,sequence_53082,55.0,sequence_19435,51.4,0.3019086451229908
90,sequence_53082,55.0,sequence_19495,58.9,0.3187125507412596
86,sequence_53082,55.0,sequence_19393,53.7,0.3002368065377728
115,sequence_53082,55.0,sequence_19377,50.3,0.3187215555935933
32,sequence_53082,55.0,sequence_19369,47.9,0.2694061060926422
75,sequence_53082,55.0,sequence_20041,48.5,0.3169690521170797
87,sequence_53082,55.0,sequence_20065,46.5,0.32004041932231
133,sequence_53082,55.0,sequence_19396,43.1,0.3077325299671778
169,sequence_53082,55.0,sequence_19507,46.0,0.2768778972760375
31,sequence_53082,55.0,sequence_20052,42.9,0.3231968904553383
23,sequence_53082,55.0,sequence_20042,49.4,0.2897026061325649
109,sequence_53082,55.0,sequence_19399,47.5,0.3105412210963304
28,sequence_53082,55.0,sequence_19509,50.6,0.3168209589026584
193,sequence_53082,55.0,sequence_19487,55.9,0.263672258684906
163,sequence_53082,55.0,sequence_19510,47.8,0.2703678050360287
58,sequence_53082,55.0,sequence_19370,51.7,0.3097979825628307
127,sequence_53082,55.0,sequence_20055,46.3,0.3324855034433832
134,sequence_53082,55.0,sequence_19527,50.1,0.3027538934514303
102,sequence_53082,55.0,sequence_19486,54.2,0.3173955261184379
24,sequence_53082,55.0,sequence_19419,53.3,0.2719630121909963
173,sequence_53082,55.0,sequence_19485,58.0,0.2946692722358407
20,sequence_53082,55.0,sequence_19391,46.8,0.2976003528223715
41,sequence_53082,55.0,sequence_19504,50.6,0.2883426087140088
61,sequence_53082,55.0,sequence_19434,48.0,0.2917996230292288
120,sequence_53082,55.0,sequence_19508,49.5,0.2966149187077413
151,sequence_53082,55.0,sequence_19454,43.1,0.3144632887953695
80,sequence_53082,55.0,sequence_19394,45.4,0.2913262947280935
79,sequence_53082,55.0,sequence_19397,49.6,0.320583390087509
128,sequence_53082,55.0,sequence_19388,48.4,0.3083256233270274
6,sequence_53082,55.0,sequence_19496,48.3,0.3375469745087341
132,sequence_53082,55.0,sequence_19373,53.1,0.279572977950302
110,sequence_53082,55.0,sequence_19436,46.4,0.3205712401323612
175,sequence_53082,55.0,sequence_19493,50.4,0.2421649850824846
150,sequence_53082,55.0,sequence_19494,60.0,0.2861304597556856
94,sequence_53082,55.0,sequence_19375,49.9,0.3319987198770501
372,sequence_19402,43.0,sequence_19445,45.5,0.1923988305577765
317,sequence_19402,43.0,sequence_20040,47.2,0.1859245814839985
418,sequence_19402,43.0,sequence_19437,46.7,0.2003845053890146
412,sequence_19402,43.0,sequence_19529,48.8,0.165663242754692
385,sequence_19402,43.0,sequence_19429,50.9,0.2111444292421659
319,sequence_19402,43.0,sequence_19432,51.0,0.2359060618127478
342,sequence_19402,43.0,sequence_19378,52.4,0.180736161295962
353,sequence_19402,43.0,sequence_19488,51.3,0.2255485091948071
262,sequence_19402,43.0,sequence_20048,39.8,0.144354632762513
430,sequence_19402,43.0,sequence_20066,49.9,0.1688524503819829
273,sequence_19402,43.0,sequence_19523,50.8,0.2728775366350261
424,sequence_19402,43.0,sequence_19489,49.1,0.2317122569049812
338,sequence_19402,43.0,sequence_20051,42.5,0.1343618249355076
386,sequence_19402,43.0,sequence_19416,49.4,0.2305679075673802
290,sequence_19402,43.0,sequence_19430,45.7,0.29697641320482
454,sequence_19402,43.0,sequence_19398,46.2,0.1483496208286358
261,sequence_19402,43.0,sequence_20054,49.0,0.2428147030144591
344,sequence_19402,43.0,sequence_19433,50.1,0.2612262429389513
415,sequence_19402,43.0,sequence_19421,53.0,0.1641255921543011
264,sequence_19402,43.0,sequence_19525,48.8,0.2055953793255091
408,sequence_19402,43.0,sequence_19457,43.6,0.1677654314809817
428,sequence_19402,43.0,sequence_19372,49.2,0.2552116572572656
299,sequence_19402,43.0,sequence_19530,45.6,0.1132522847451653
439,sequence_19402,43.0,sequence_19456,48.0,0.1721239960028816
395,sequence_19402,43.0,sequence_19435,51.4,0.2002411795810242
350,sequence_19402,43.0,sequence_19495,58.9,0.1842185929812732
346,sequence_19402,43.0,sequence_19393,53.7,0.2003908680554081
375,sequence_19402,43.0,sequence_19377,50.3,0.1427203909748008
292,sequence_19402,43.0,sequence_19369,47.9,0.1927633004490222
335,sequence_19402,43.0,sequence_20041,48.5,0.1939360719412456
347,sequence_19402,43.0,sequence_20065,46.5,0.2193792834339651
393,sequence_19402,43.0,sequence_19396,43.1,0.1631103614121432
429,sequence_19402,43.0,sequence_19507,46.0,0.1939649710643651
291,sequence_19402,43.0,sequence_20052,42.9,0.1352210412620757
283,sequence_19402,43.0,sequence_20042,49.4,0.1597734646303947
369,sequence_19402,43.0,sequence_19399,47.5,0.0928368999913288
288,sequence_19402,43.0,sequence_19509,50.6,0.162856624059324
453,sequence_19402,43.0,sequence_19487,55.9,0.2491655273106615
423,sequence_19402,43.0,sequence_19510,47.8,0.1567601671343839
318,sequence_19402,43.0,sequence_19370,51.7,0.1925376586540929
387,sequence_19402,43.0,sequence_20055,46.3,0.2218254493965919
394,sequence_19402,43.0,sequence_19527,50.1,0.2002707667134671
362,sequence_19402,43.0,sequence_19486,54.2,0.2301341782526011
284,sequence_19402,43.0,sequence_19419,53.3,0.2235923075599874
433,sequence_19402,43.0,sequence_19485,58.0,0.2610862309659397
280,sequence_19402,43.0,sequence_19391,46.8,0.1875150927258923
301,sequence_19402,43.0,sequence_19504,50.6,0.1838940999597322
