,id_seq1,target_seq1,id_seq2,target_seq2,distance
136,sequence_47787,5.0,sequence_47801,4.0,6342.839200000003
20,sequence_47787,5.0,sequence_47803,12.0,6354.127800000002
37,sequence_47787,5.0,sequence_47697,55.5,9759.883700000002
26,sequence_47787,5.0,sequence_47760,26.0,16498.773500000003
140,sequence_47787,5.0,sequence_47728,12.0,7109.599
14,sequence_47787,5.0,sequence_47695,52.0,9745.9628
150,sequence_47787,5.0,sequence_47736,19.0,15029.3324
66,sequence_47787,5.0,sequence_47759,36.0,8988.027900000001
149,sequence_47787,5.0,sequence_47766,4.19,8755.151599999997
25,sequence_47787,5.0,sequence_47750,25.0,11195.0302
38,sequence_47787,5.0,sequence_47678,37.0,10055.9751
1,sequence_47787,5.0,sequence_47789,10.0,681.5645000000018
148,sequence_47787,5.0,sequence_47810,5.57,973.4880999999976
11,sequence_47787,5.0,sequence_47776,9.0,8117.4751
7,sequence_47787,5.0,sequence_47786,18.0,15437.485899999998
141,sequence_47787,5.0,sequence_47808,4.0,14026.3929
15,sequence_47787,5.0,sequence_47710,43.0,15775.642199999998
