,id_seq1,target_seq1,id_seq2,target_seq2,distance
228,sequence_53082,55.0,sequence_19351,60.9,5.190899999999999
70,sequence_53082,55.0,sequence_19410,49.9,6.401400000000001
21,sequence_53082,55.0,sequence_19447,51.0,5.944100000000001
199,sequence_53082,55.0,sequence_19470,61.0,5.4942
85,sequence_53082,55.0,sequence_20062,57.9,6.272
227,sequence_53082,55.0,sequence_19478,60.1,5.2896
220,sequence_53082,55.0,sequence_19353,64.3,5.185499999999999
48,sequence_53082,55.0,sequence_19497,54.9,5.7752
195,sequence_53082,55.0,sequence_19424,50.9,6.0352
212,sequence_53082,55.0,sequence_19480,62.8,5.2436
182,sequence_53082,55.0,sequence_20053,54.7,5.586
114,sequence_53082,55.0,sequence_19428,49.3,5.3849
145,sequence_53082,55.0,sequence_19469,50.5,5.6651
123,sequence_53082,55.0,sequence_19442,47.4,5.1063
34,sequence_53082,55.0,sequence_20072,48.7,6.1682
3,sequence_53082,55.0,sequence_20036,52.9,6.1121
101,sequence_53082,55.0,sequence_19438,56.1,5.7659
56,sequence_53082,55.0,sequence_19354,60.0,5.666399999999999
196,sequence_53082,55.0,sequence_20037,57.8,5.4355
185,sequence_53082,55.0,sequence_20047,49.9,6.3742
200,sequence_53082,55.0,sequence_19364,57.1,5.2409
210,sequence_53082,55.0,sequence_19465,62.9,5.3883
107,sequence_53082,55.0,sequence_20076,55.7,5.5435
218,sequence_53082,55.0,sequence_19471,60.0,6.1561
66,sequence_53082,55.0,sequence_20056,56.9,5.953799999999999
181,sequence_53082,55.0,sequence_19502,59.9,5.4321
165,sequence_53082,55.0,sequence_19440,48.5,5.9335
213,sequence_53082,55.0,sequence_19463,62.7,5.4063
178,sequence_53082,55.0,sequence_20034,52.0,5.1686
105,sequence_53082,55.0,sequence_20068,50.6,7.0077
140,sequence_53082,55.0,sequence_19516,51.9,5.8733
146,sequence_53082,55.0,sequence_19449,54.3,5.3683
99,sequence_53082,55.0,sequence_19515,50.4,5.1753
232,sequence_53082,55.0,sequence_19518,61.6,5.177099999999999
183,sequence_53082,55.0,sequence_19355,58.8,5.534599999999999
233,sequence_53082,55.0,sequence_19356,59.0,5.1535
73,sequence_53082,55.0,sequence_20071,44.9,5.5769
5,sequence_53082,55.0,sequence_20061,45.0,5.2539
108,sequence_53082,55.0,sequence_20070,51.8,5.0656
51,sequence_53082,55.0,sequence_19406,53.8,5.7119
77,sequence_53082,55.0,sequence_20035,52.5,5.4999
17,sequence_53082,55.0,sequence_20060,52.6,5.8809000000000005
88,sequence_53082,55.0,sequence_19383,50.5,5.038
69,sequence_53082,55.0,sequence_19443,48.0,5.3221
239,sequence_53082,55.0,sequence_19513,61.0,5.34
141,sequence_53082,55.0,sequence_19512,54.4,5.058
116,sequence_53082,55.0,sequence_19427,53.8,5.8285
192,sequence_53082,55.0,sequence_19499,53.3,5.1563
224,sequence_53082,55.0,sequence_19462,63.2,5.1514
174,sequence_53082,55.0,sequence_19384,50.8,6.644
76,sequence_53082,55.0,sequence_19415,52.8,6.452999999999999
243,sequence_53082,55.0,sequence_19381,50.0,5.8187
240,sequence_53082,55.0,sequence_19413,58.7,6.0614
217,sequence_53082,55.0,sequence_19367,61.0,5.801900000000001
26,sequence_53082,55.0,sequence_19450,46.0,5.8327
83,sequence_53082,55.0,sequence_19441,49.0,5.276300000000001
