,id_seq1,target_seq1,id_seq2,target_seq2,distance
95,sequence_53082,55.0,sequence_19511,62.4,0.8379000000000001
208,sequence_53082,55.0,sequence_19459,59.2,0.9508
131,sequence_53082,55.0,sequence_19467,64.4,0.9636000000000002
220,sequence_53082,55.0,sequence_19353,64.3,1.0053
195,sequence_53082,55.0,sequence_19424,50.9,1.0349000000000002
204,sequence_53082,55.0,sequence_19360,63.5,0.9993
101,sequence_53082,55.0,sequence_19438,56.1,0.9468
40,sequence_53082,55.0,sequence_19498,63.2,0.9204
210,sequence_53082,55.0,sequence_19465,62.9,1.0015
211,sequence_53082,55.0,sequence_19476,62.2,0.95
7,sequence_53082,55.0,sequence_19477,61.5,1.0246
221,sequence_53082,55.0,sequence_19461,61.2,0.8846
146,sequence_53082,55.0,sequence_19449,54.3,0.8931999999999999
232,sequence_53082,55.0,sequence_19518,61.6,0.8701
216,sequence_53082,55.0,sequence_19350,60.1,0.9659
239,sequence_53082,55.0,sequence_19513,61.0,0.8889000000000001
141,sequence_53082,55.0,sequence_19512,54.4,0.8915
116,sequence_53082,55.0,sequence_19427,53.8,1.0419999999999998
139,sequence_53082,55.0,sequence_19423,61.2,1.0013
205,sequence_53082,55.0,sequence_19474,64.4,0.9841
