,id_seq1,target_seq1,id_seq2,target_seq2,distance
83,sequence_47787,5.0,sequence_47708,111.0,16.658730372247785
36,sequence_47787,5.0,sequence_47683,75.0,16.75935264213912
133,sequence_47787,5.0,sequence_47739,35.0,17.695200109828207
19,sequence_47787,5.0,sequence_47785,25.0,17.002038805166194
131,sequence_47787,5.0,sequence_47676,56.0,17.677346113590083
68,sequence_47787,5.0,sequence_47770,25.0,18.08844532534203
85,sequence_47787,5.0,sequence_47677,103.0,17.408045893427044
82,sequence_47787,5.0,sequence_47704,98.0,17.667376655985613
45,sequence_47787,5.0,sequence_47799,24.0,17.075148637964226
43,sequence_47787,5.0,sequence_47804,23.0,19.54072017903932
98,sequence_47787,5.0,sequence_47693,64.0,16.827382241641196
96,sequence_47787,5.0,sequence_47699,62.0,19.741988009961016
97,sequence_47787,5.0,sequence_47687,92.0,16.202237350634093
84,sequence_47787,5.0,sequence_47709,119.0,17.903206768904543
86,sequence_47787,5.0,sequence_47692,87.5,19.6970078752545
18,sequence_47787,5.0,sequence_47780,23.0,17.078500579494232
42,sequence_47787,5.0,sequence_47807,42.0,18.47005014452101
87,sequence_47787,5.0,sequence_47703,95.0,18.02183300110191
