,id_seq1,target_seq1,id_seq2,target_seq2,distance
23,sequence_40826,539,sequence_40831,525,1.1225999999999996
63,sequence_40826,539,sequence_40822,549,1.5134000000000007
79,sequence_40826,539,sequence_40867,622,2.5495
15,sequence_40826,539,sequence_40844,519,0.960500000000002
69,sequence_40826,539,sequence_40798,579,1.4754000000000005
75,sequence_40826,539,sequence_40795,562,1.063900000000001
19,sequence_40826,539,sequence_40818,522,2.3790000000000004
21,sequence_40826,539,sequence_40828,519,2.7481999999999984
13,sequence_40826,539,sequence_40841,528,1.0178000000000005
67,sequence_40826,539,sequence_40833,549,2.2451000000000008
14,sequence_40826,539,sequence_40842,522,1.332800000000001
22,sequence_40826,539,sequence_40829,528,2.5390999999999986
77,sequence_40826,539,sequence_40799,597,1.9813000000000005
6,sequence_40826,539,sequence_40811,534,1.2361999999999984
74,sequence_40826,539,sequence_40796,567,1.482800000000002
57,sequence_40826,539,sequence_40862,546,1.3889000000000014
18,sequence_40826,539,sequence_40817,528,2.3103
45,sequence_40826,539,sequence_40835,535,1.952900000000001
41,sequence_40826,539,sequence_40792,517,1.4366999999999996
70,sequence_40826,539,sequence_40865,580,1.850800000000001
