,id_seq1,target_seq1,id_seq2,target_seq2,distance
57,sequence_53082,55.0,sequence_20040,47.2,0.0040997288332738
2,sequence_53082,55.0,sequence_20048,39.8,0.0043744666243165
170,sequence_53082,55.0,sequence_20066,49.9,0.0038948450805814
250,sequence_53082,55.0,sequence_53098,42.0,0.0031116444348658
78,sequence_53082,55.0,sequence_20051,42.5,0.0039472398149874
242,sequence_53082,55.0,sequence_53088,48.0,0.0026556620457879
22,sequence_53082,55.0,sequence_53079,47.8,0.0033253903892445
180,sequence_53082,55.0,sequence_53067,40.9,0.0034143562365169
29,sequence_53082,55.0,sequence_53059,47.1,0.0034996770837789
75,sequence_53082,55.0,sequence_20041,48.5,0.0040790836306315
87,sequence_53082,55.0,sequence_20065,46.5,0.0042379845764397
167,sequence_53082,55.0,sequence_53076,46.3,0.0036752399903218
31,sequence_53082,55.0,sequence_20052,42.9,0.0037784492751548
23,sequence_53082,55.0,sequence_20042,49.4,0.0036527306940902
14,sequence_53082,55.0,sequence_53078,43.3,0.0034604393773073
127,sequence_53082,55.0,sequence_20055,46.3,0.0044749158070696
259,sequence_53082,55.0,sequence_19401,47.4,0.0025184478641349
248,sequence_53082,55.0,sequence_53068,36.0,0.0030051993226067
18,sequence_53082,55.0,sequence_53066,39.2,0.003576581796704
245,sequence_53082,55.0,sequence_53086,40.0,0.0030576568589401
63,sequence_53082,55.0,sequence_53070,45.7,0.0035114002315858
129,sequence_53082,55.0,sequence_20049,43.9,0.0037514040820055
124,sequence_53082,55.0,sequence_53077,43.5,0.003433608126558
206,sequence_53082,55.0,sequence_53060,47.9,0.0040168590442246
317,sequence_19402,43.0,sequence_20040,47.2,0.0018365283237642
262,sequence_19402,43.0,sequence_20048,39.8,0.0014916938151185
430,sequence_19402,43.0,sequence_20066,49.9,0.0020375888038479
510,sequence_19402,43.0,sequence_53098,42.0,0.0022340950501648
338,sequence_19402,43.0,sequence_20051,42.5,0.0014640915894512
502,sequence_19402,43.0,sequence_53088,48.0,0.0025019730559904
282,sequence_19402,43.0,sequence_53079,47.8,0.0026959076850647
440,sequence_19402,43.0,sequence_53067,40.9,0.0019184652863231
289,sequence_19402,43.0,sequence_53059,47.1,0.0026359117804725
335,sequence_19402,43.0,sequence_20041,48.5,0.0016912085778966
347,sequence_19402,43.0,sequence_20065,46.5,0.0022092944740409
427,sequence_19402,43.0,sequence_53076,46.3,0.0031438549764321
291,sequence_19402,43.0,sequence_20052,42.9,0.0017160890107251
283,sequence_19402,43.0,sequence_20042,49.4,0.0021551497960307
274,sequence_19402,43.0,sequence_53078,43.3,0.0028329209621916
387,sequence_19402,43.0,sequence_20055,46.3,0.0022126804429619
519,sequence_19402,43.0,sequence_19401,47.4,0.002383760222463
508,sequence_19402,43.0,sequence_53068,36.0,0.0022534201038009
278,sequence_19402,43.0,sequence_53066,39.2,0.0020295131446694
505,sequence_19402,43.0,sequence_53086,40.0,0.0024717313028909
323,sequence_19402,43.0,sequence_53070,45.7,0.0034376689768224
389,sequence_19402,43.0,sequence_20049,43.9,0.0024816512465644
384,sequence_19402,43.0,sequence_53077,43.5,0.0028443893260411
466,sequence_19402,43.0,sequence_53060,47.9,0.0020729176421468
