,id_seq1,target_seq1,id_seq2,target_seq2,distance
20,sequence_51016,-4.626935645431157,sequence_51131,-7.774340977997347,246.09953776357384
221,sequence_51016,-4.626935645431157,sequence_51126,-6.8444229718282426,248.0941392866077
98,sequence_51016,-4.626935645431157,sequence_51133,-5.587718813645618,248.4689696997815
2,sequence_51016,-4.626935645431157,sequence_51136,-5.335352191963125,248.06617201435287
213,sequence_51016,-4.626935645431157,sequence_51132,-4.340049860624873,247.43043198315692
267,sequence_51170,-5.599110392902725,sequence_51131,-7.774340977997347,95.19813907578674
468,sequence_51170,-5.599110392902725,sequence_51126,-6.8444229718282426,87.37998977415005
345,sequence_51170,-5.599110392902725,sequence_51133,-5.587718813645618,91.3718315452745
249,sequence_51170,-5.599110392902725,sequence_51136,-5.335352191963125,98.1541208240561
460,sequence_51170,-5.599110392902725,sequence_51132,-4.340049860624873,104.43508503341792
