,id_seq1,target_seq1,id_seq2,target_seq2,distance
12,sequence_40826,539,sequence_40840,528,652.907346691818
79,sequence_40826,539,sequence_40867,622,1950.3452323199424
15,sequence_40826,539,sequence_40844,519,1751.17604738834
69,sequence_40826,539,sequence_40798,579,1367.05206341037
76,sequence_40826,539,sequence_40866,620,1815.4878433303984
78,sequence_40826,539,sequence_40788,510,1377.4327926685462
68,sequence_40826,539,sequence_40830,558,1128.8136554046775
26,sequence_40826,539,sequence_40851,477,2060.401463294472
13,sequence_40826,539,sequence_40841,528,484.0420555252611
77,sequence_40826,539,sequence_40799,597,1581.7674838475125
20,sequence_40826,539,sequence_40827,525,604.7290072077491
74,sequence_40826,539,sequence_40796,567,1937.77412930146
72,sequence_40826,539,sequence_40801,561,1216.6581535632226
70,sequence_40826,539,sequence_40865,580,1171.6530620088654
