,id_seq1,target_seq1,id_seq2,target_seq2,distance
144,sequence_47787,5.0,sequence_47788,5.0,154.9948
75,sequence_47787,5.0,sequence_47694,51.0,265.4201719399451
136,sequence_47787,5.0,sequence_47801,4.0,80.9096
140,sequence_47787,5.0,sequence_47728,12.0,179.1467
10,sequence_47787,5.0,sequence_47795,7.0,223.0844
56,sequence_47787,5.0,sequence_47751,34.0,297.80325228088094
9,sequence_47787,5.0,sequence_47772,12.0,179.1467
25,sequence_47787,5.0,sequence_47750,25.0,254.28997039212933
138,sequence_47787,5.0,sequence_47802,4.0,174.84207559738016
0,sequence_47787,5.0,sequence_47684,23.0,179.6280504677652
12,sequence_47787,5.0,sequence_47685,24.0,237.2543456754586
15,sequence_47787,5.0,sequence_47710,43.0,220.14342530137029
31,sequence_47787,5.0,sequence_47696,47.0,250.67107514440116
149,sequence_47787,5.0,sequence_47766,4.19,150.6328
14,sequence_47787,5.0,sequence_47695,52.0,197.0091365571912
11,sequence_47787,5.0,sequence_47776,9.0,57.0365
